Gross     Social      State       Federal     Health      Union    Net
 Pay     Security   Income Tax  Income Tax   Insurance     Dues    Pay
-----    --------   ----------  ----------   ---------    -----    ---
511.88     30.71      40.95       61.42         0.00      6.00    372.79
450.00     27.00      36.00       54.00         0.00      6.00    327.00
408.75     24.52      32.70       49.05         0.00      6.00    296.48
476.30     28.58      38.10       57.16         0.00      6.00    346.46
476.30     28.58      38.10       57.16        10.00      6.00    336.46
579.42     34.77      46.35       69.53        10.00      6.00    412.77
654.08     39.24      52.33       78.49         0.00      6.00    478.02
562.69     33.76      45.01       67.52        10.00      6.00    400.39
562.69     33.76      45.01       67.52        10.00      6.00    400.39
