County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Autauga;22;22;15212;4774;74;
Baldwin;50;50;52910;15579;371;
Barbour;24;24;5893;4826;26;
Bibb;16;16;5471;2089;12;
Blount;26;26;17364;3932;92;
Bullock;27;27;1494;3210;3;
Butler;27;27;4978;3409;13;
Calhoun;53;53;29806;15076;182;
Chambers;24;24;7618;5346;42;
Cherokee;32;32;5919;3036;43;
Chilton;19;19;12824;3773;46;
Choctaw;33;33;3889;3289;15;
Clarke;30;30;6729;4627;19;
Clay;24;24;4622;1893;38;
Cleburne;19;19;4362;1387;24;
Coffee;34;34;13010;4477;73;
Colbert;36;36;13179;10586;88;
Conecuh;27;27;3266;2715;17;
Coosa;14;14;2902;2055;8;
Covington;37;37;11108;3422;37;
Crenshaw;19;19;3774;1698;17;
Cullman;53;53;26783;8022;155;
Dale;26;26;13614;4479;75;
Dallas;32;32;7318;11145;28;
DeKalb;77;77;16901;7092;99;
Elmore;31;31;22024;6455;68;
Escambia;34;34;8501;3812;28;
Etowah;53;53;26972;15311;195;
Fayette;28;28;5532;2408;29;
Franklin;25;25;7688;4513;48;
Geneva;31;31;8324;2105;27;
Greene;21;21;958;3763;12;
Hale;16;16;3278;4622;15;
Henry;20;20;4859;2432;15;
Houston;29;29;26868;9141;91;
Jackson;38;38;11507;8618;92;
Jefferson;379;379;158504;132145;999;
Lamar;25;25;4894;1956;5;
Lauderdale;33;33;22123;14615;155;
Lawrence;32;32;7728;6153;44;
Lee;36;36;27911;16177;203;
Limestone;33;33;18994;8859;117;
Lowndes;14;14;1786;4233;0;
Macon;18;18;1540;7495;16;
Madison;83;83;77150;52614;548;
Marengo;32;32;5242;5026;16;
Marion;22;22;8983;3806;61;
Marshall;50;50;22745;8441;154;
Mobile;90;90;91877;63614;697;
Monroe;14;14;5831;3666;23;
Montgomery;59;59;44074;45127;198;
Morgan;47;47;32435;14113;187;
Perry;18;18;1733;3754;7;
Pickens;27;27;5170;3915;24;
Pike;28;28;7473;4323;44;
Randolph;47;47;6127;2817;35;
Russell;19;19;8332;8372;51;
Shelby;65;65;63326;14826;283;
St Clair;36;36;23468;5449;95;
Sumter;21;21;1880;4527;10;
Talladega;37;37;18326;11373;89;
Tallapoosa;29;29;12378;5449;53;
Tuscaloosa;53;53;42827;26420;263;
Walker;45;45;19162;9012;108;
Washington;26;26;5042;3127;28;
Wilcox;29;29;1778;3238;19;
Winston;23;23;8052;2234;29;
