   County Total Precincts Precincts Reporting Bush Kerry Nader
   Autauga 22 22 15,212 4,774 74
   Baldwin 50 50 52,910 15,579 371
   Barbour 24 24 5,893 4,826 26
   Bibb 16 16 5,471 2,089 12
   Blount 26 26 17,364 3,932 92
   Bullock 27 27 1,494 3,210 3
   Butler 27 27 4,978 3,409 13
   Calhoun 53 53 29,806 15,076 182
   Chambers 24 24 7,618 5,346 42
   Cherokee 32 32 5,919 3,036 43
   Chilton 19 19 12,824 3,773 46
   Choctaw 33 33 3,889 3,289 15
   Clarke 30 30 6,729 4,627 19
   Clay 24 24 4,622 1,893 38
   Cleburne 19 19 4,362 1,387 24
   Coffee 34 34 13,010 4,477 73
   Colbert 36 36 13,179 10,586 88
   Conecuh 27 27 3,266 2,715 17
   Coosa 14 14 2,902 2,055 8
   Covington 37 37 11,108 3,422 37
   Crenshaw 19 19 3,774 1,698 17
   Cullman 53 53 26,783 8,022 155
   Dale 26 26 13,614 4,479 75
   Dallas 32 32 7,318 11,145 28
   DeKalb 77 77 16,901 7,092 99
   Elmore 31 31 22,024 6,455 68
   Escambia 34 34 8,501 3,812 28
   Etowah 53 53 26,972 15,311 195
   Fayette 28 28 5,532 2,408 29
   Franklin 25 25 7,688 4,513 48
   Geneva 31 31 8,324 2,105 27
   Greene 21 21 958 3,763 12
   Hale 16 16 3,278 4,622 15
   Henry 20 20 4,859 2,432 15
   Houston 29 29 26,868 9,141 91
   Jackson 38 38 11,507 8,618 92
   Jefferson 379 379 158,504 132,145 999
   Lamar 25 25 4,894 1,956 5
   Lauderdale 33 33 22,123 14,615 155
   Lawrence 32 32 7,728 6,153 44
   Lee 36 36 27,911 16,177 203
   Limestone 33 33 18,994 8,859 117
   Lowndes 14 14 1,786 4,233 0
   Macon 18 18 1,540 7,495 16
   Madison 83 83 77,150 52,614 548
   Marengo 32 32 5,242 5,026 16
   Marion 22 22 8,983 3,806 61
   Marshall 50 50 22,745 8,441 154
   Mobile 90 90 91,877 63,614 697
   Monroe 14 14 5,831 3,666 23
   Montgomery 59 59 44,074 45,127 198
   Morgan 47 47 32,435 14,113 187
   Perry 18 18 1,733 3,754 7
   Pickens 27 27 5,170 3,915 24
   Pike 28 28 7,473 4,323 44
   Randolph 47 47 6,127 2,817 35
   Russell 19 19 8,332 8,372 51
   Shelby 65 65 63,326 14,826 283
   St. Clair 36 36 23,468 5,449 95
   Sumter 21 21 1,880 4,527 10
   Talladega 37 37 18,326 11,373 89
   Tallapoosa 29 29 12,378 5,449 53
   Tuscaloosa 53 53 42,827 26,420 263
   Walker 45 45 19,162 9,012 108
   Washington 26 26 5,042 3,127 28
   Wilcox 29 29 1,778 3,238 19
   Winston 23 23 8,052 2,234 29
