County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Arkansas;30;30;3783;3105;31;
Ashley;24;24;4566;3879;38;
Baxter;42;42;11117;7120;154;
Benton;83;83;46173;20594;394;
Boone;29;29;9742;4617;117;
Bradley;16;16;2190;2005;21;
Calhoun;13;13;1334;934;10;
Carroll;29;29;6184;4161;76;
Chicot;11;11;1723;2815;23;
Clark;25;25;4118;4981;46;
Clay;19;19;2735;3258;45;
Cleburne;31;31;6938;4419;78;
Cleveland;20;20;2008;1450;22;
Columbia;19;19;5706;4102;39;
Conway;29;29;3998;3972;56;
Craighead;25;25;15810;13647;179;
Crawford;45;45;13353;6747;143;
Crittenden;42;42;6930;8278;53;
Cross;18;18;3864;3135;31;
Dallas;19;19;1699;1670;1;
Desha;23;23;1783;2818;28;
Drew;19;19;3279;2965;23;
Faulkner;47;47;21514;14538;231;
Franklin;30;30;4179;3005;62;
Fulton;18;18;2187;2083;37;
Garland;68;68;21699;18014;195;
Grant;20;20;4205;2524;25;
Greene;21;21;7232;6561;88;
Hempstead;29;29;3580;3817;28;
Hot Spring;29;29;5960;5901;136;
Howard;21;21;2728;2163;22;
Independence;30;30;7408;5428;72;
Izard;42;42;2833;2586;35;
Jackson;47;47;2617;3513;49;
Jefferson;208;208;10165;19536;327;
Johnson;21;21;4300;3621;18;
Lafayette;22;22;1595;1562;15;
Lawrence;23;23;2951;3543;59;
Lee;15;15;1491;2543;16;
Lincoln;27;27;1972;2190;27;
Little River;22;22;2574;2677;29;
Logan;31;31;5057;3357;67;
Lonoke;35;35;12860;6708;81;
Madison;27;27;3871;2420;42;
Marion;36;36;4102;2590;91;
Miller;28;28;8439;6135;58;
Mississippi;25;25;6090;7536;55;
Monroe;18;18;1585;2040;15;
Montgomery;16;16;2355;1518;37;
Nevada;21;21;1748;1688;16;
Newton;21;21;2778;1505;51;
Ouachita;23;23;5323;5171;48;
Perry;19;19;2435;1919;44;
Phillips;57;57;3138;5563;29;
Pike;15;15;2009;1310;26;
Poinsett;42;42;3554;4068;68;
Polk;20;20;5181;2468;73;
Pope;58;58;13614;7100;90;
Prairie;22;22;2029;1554;15;
Pulaski;133;133;65052;81291;611;
Randolph;26;26;3157;3411;35;
Saint Francis;25;25;3603;5486;42;
Saline;70;70;24833;14140;231;
Scott;28;28;2522;1477;32;
Searcy;18;18;2562;1352;15;
Sebastian;54;54;27251;16426;215;
Sevier;17;17;2513;2034;31;
Sharp;26;26;4090;3262;64;
Stone;31;31;3188;2255;60;
Union;32;32;10468;7056;62;
Van Buren;23;23;3719;3310;34;
Washington;116;116;35652;27530;387;
White;91;91;17001;9129;171;
Woodruff;13;13;1016;1969;16;
Yell;31;31;3660;2902;40;
