   County Total Precincts Precincts Reporting Bush Kerry Nader
   Arkansas 30 30 3,783 3,105 31
   Ashley 24 24 4,566 3,879 38
   Baxter 42 42 11,117 7,120 154
   Benton 83 83 46,173 20,594 394
   Boone 29 29 9,742 4,617 117
   Bradley 16 16 2,190 2,005 21
   Calhoun 13 13 1,334 934 10
   Carroll 29 29 6,184 4,161 76
   Chicot 11 11 1,723 2,815 23
   Clark 25 25 4,118 4,981 46
   Clay 19 19 2,735 3,258 45
   Cleburne 31 31 6,938 4,419 78
   Cleveland 20 20 2,008 1,450 22
   Columbia 19 19 5,706 4,102 39
   Conway 29 29 3,998 3,972 56
   Craighead 25 25 15,810 13,647 179
   Crawford 45 45 13,353 6,747 143
   Crittenden 42 42 6,930 8,278 53
   Cross 18 18 3,864 3,135 31
   Dallas 19 19 1,699 1,670 1
   Desha 23 23 1,783 2,818 28
   Drew 19 19 3,279 2,965 23
   Faulkner 47 47 21,514 14,538 231
   Franklin 30 30 4,179 3,005 62
   Fulton 18 18 2,187 2,083 37
   Garland 68 68 21,699 18,014 195
   Grant 20 20 4,205 2,524 25
   Greene 21 21 7,232 6,561 88
   Hempstead 29 29 3,580 3,817 28
   Hot Spring 29 29 5,960 5,901 136
   Howard 21 21 2,728 2,163 22
   Independence 30 30 7,408 5,428 72
   Izard 42 42 2,833 2,586 35
   Jackson 47 47 2,617 3,513 49
   Jefferson 208 208 10,165 19,536 327
   Johnson 21 21 4,300 3,621 18
   Lafayette 22 22 1,595 1,562 15
   Lawrence 23 23 2,951 3,543 59
   Lee 15 15 1,491 2,543 16
   Lincoln 27 27 1,972 2,190 27
   Little River 22 22 2,574 2,677 29
   Logan 31 31 5,057 3,357 67
   Lonoke 35 35 12,860 6,708 81
   Madison 27 27 3,871 2,420 42
   Marion 36 36 4,102 2,590 91
   Miller 28 28 8,439 6,135 58
   Mississippi 25 25 6,090 7,536 55
   Monroe 18 18 1,585 2,040 15
   Montgomery 16 16 2,355 1,518 37
   Nevada 21 21 1,748 1,688 16
   Newton 21 21 2,778 1,505 51
   Ouachita 23 23 5,323 5,171 48
   Perry 19 19 2,435 1,919 44
   Phillips 57 57 3,138 5,563 29
   Pike 15 15 2,009 1,310 26
   Poinsett 42 42 3,554 4,068 68
   Polk 20 20 5,181 2,468 73
   Pope 58 58 13,614 7,100 90
   Prairie 22 22 2,029 1,554 15
   Pulaski 133 133 65,052 81,291 611
   Randolph 26 26 3,157 3,411 35
   Saint Francis 25 25 3,603 5,486 42
   Saline 70 70 24,833 14,140 231
   Scott 28 28 2,522 1,477 32
   Searcy 18 18 2,562 1,352 15
   Sebastian 54 54 27,251 16,426 215
   Sevier 17 17 2,513 2,034 31
   Sharp 26 26 4,090 3,262 64
   Stone 31 31 3,188 2,255 60
   Union 32 32 10,468 7,056 62
   Van Buren 23 23 3,719 3,310 34
   Washington 116 116 35,652 27,530 387
   White 91 91 17,001 9,129 171
   Woodruff 13 13 1,016 1,969 16
   Yell 31 31 3,660 2,902 40
