   County Total Precincts Precincts Reporting Bush Kerry Nader
   Apache 45 45 8,068 15,082 0
   Cochise 64 64 24,828 16,219 0
   Coconino 83 83 20,619 26,513 0
   Gila 40 40 10,494 7,107 0
   Graham 18 18 7,302 3,141 0
   Greenlee 8 8 1,899 1,146 0
   La Paz 12 12 3,158 1,849 0
   Maricopa 1,058 1,058 539,776 403,882 0
   Mohave 73 73 29,608 16,267 0
   Navajo 70 70 16,474 14,224 0
   Pima 401 401 138,431 154,291 0
   Pinal 67 67 34,813 25,652 0
   Santa Cruz 24 24 4,668 6,909 0
   Yavapai 103 103 49,675 30,377 0
   Yuma 42 42 18,398 12,668 0
