County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Alameda;1141;1141;107489;326675;0;
Alpine;5;5;311;373;0;
Amador;57;57;10479;6211;0;
Butte;183;183;42645;35073;0;
Calaveras;30;30;12469;7750;0;
Colusa;17;17;3938;1858;0;
Contra Costa;921;921;130527;221449;0;
Del Norte;19;19;5125;3736;0;
El Dorado;150;150;34514;21478;0;
Fresno;667;667;120272;85943;0;
Glenn;23;23;6299;2985;0;
Humboldt;139;139;23014;34270;0;
Imperial;152;152;11628;13955;0;
Inyo;31;31;4559;3021;0;
Kern;658;658;118571;57129;0;
Kings;140;140;16846;8788;0;
Lake;52;52;8185;9679;0;
Lassen;37;37;7373;2867;0;
Los Angeles;4602;4602;954764;1670341;0;
Madera;100;100;21881;11841;0;
Marin;209;209;26141;73946;0;
Mariposa;21;21;4750;2961;0;
Mendocino;98;98;11963;22276;0;
Merced;106;106;29968;22403;0;
Modoc;20;20;2987;1049;0;
Mono;13;13;2200;2200;0;
Monterey;304;304;31382;48415;0;
Napa;114;114;18886;28860;0;
Nevada;138;138;25078;20716;0;
Orange;2146;2146;455500;300490;0;
Placer;391;391;84551;49519;0;
Plumas;29;29;6681;3923;0;
Riverside;1103;1103;263147;187823;0;
Sacramento;926;926;171569;175725;0;
San Benito;58;58;6158;7253;0;
San Bernardino;881;881;226133;175533;0;
San Diego;2235;2235;439242;394752;0;
San Francisco;578;578;41157;222013;0;
San Joaquin;527;527;87336;74868;0;
San Luis Obispo;160;160;53683;47079;0;
San Mateo;522;522;66152;156570;0;
Santa Barbara;355;355;48451;60565;0;
Santa Clara;1088;1088;151660;280016;0;
Santa Cruz;279;279;25297;74302;0;
Shasta;133;133;45392;20980;0;
Sierra;22;22;1429;646;0;
Siskiyou;86;86;10399;6545;0;
Solano;295;295;49710;69729;0;
Sonoma;494;494;55541;119821;0;
Stanislaus;333;333;70981;49640;0;
Sutter;101;101;17329;8254;0;
Tehama;47;47;13384;6505;0;
Trinity;24;24;3406;2682;0;
Tulare;286;286;56556;27989;0;
Tuolumne;75;75;14001;8971;0;
Ventura;541;541;109007;103360;0;
Yolo;132;132;24594;38190;0;
Yuba;45;45;10805;5064;0;
