   County Total Precincts Precincts Reporting Bush Kerry Nader
   Alameda 1,141 1,141 107,489 326,675 0
   Alpine 5 5 311 373 0
   Amador 57 57 10,479 6,211 0
   Butte 183 183 42,645 35,073 0
   Calaveras 30 30 12,469 7,750 0
   Colusa 17 17 3,938 1,858 0
   Contra Costa 921 921 130,527 221,449 0
   Del Norte 19 19 5,125 3,736 0
   El Dorado 150 150 34,514 21,478 0
   Fresno 667 667 120,272 85,943 0
   Glenn 23 23 6,299 2,985 0
   Humboldt 139 139 23,014 34,270 0
   Imperial 152 152 11,628 13,955 0
   Inyo 31 31 4,559 3,021 0
   Kern 658 658 118,571 57,129 0
   Kings 140 140 16,846 8,788 0
   Lake 52 52 8,185 9,679 0
   Lassen 37 37 7,373 2,867 0
   Los Angeles 4,602 4,602 954,764 1,670,341 0
   Madera 100 100 21,881 11,841 0
   Marin 209 209 26,141 73,946 0
   Mariposa 21 21 4,750 2,961 0
   Mendocino 98 98 11,963 22,276 0
   Merced 106 106 29,968 22,403 0
   Modoc 20 20 2,987 1,049 0
   Mono 13 13 2,200 2,200 0
   Monterey 304 304 31,382 48,415 0
   Napa 114 114 18,886 28,860 0
   Nevada 138 138 25,078 20,716 0
   Orange 2,146 2,146 455,500 300,490 0
   Placer 391 391 84,551 49,519 0
   Plumas 29 29 6,681 3,923 0
   Riverside 1,103 1,103 263,147 187,823 0
   Sacramento 926 926 171,569 175,725 0
   San Benito 58 58 6,158 7,253 0
   San Bernardino 881 881 226,133 175,533 0
   San Diego 2,235 2,235 439,242 394,752 0
   San Francisco 578 578 41,157 222,013 0
   San Joaquin 527 527 87,336 74,868 0
   San Luis Obispo 160 160 53,683 47,079 0
   San Mateo 522 522 66,152 156,570 0
   Santa Barbara 355 355 48,451 60,565 0
   Santa Clara 1,088 1,088 151,660 280,016 0
   Santa Cruz 279 279 25,297 74,302 0
   Shasta 133 133 45,392 20,980 0
   Sierra 22 22 1,429 646 0
   Siskiyou 86 86 10,399 6,545 0
   Solano 295 295 49,710 69,729 0
   Sonoma 494 494 55,541 119,821 0
   Stanislaus 333 333 70,981 49,640 0
   Sutter 101 101 17,329 8,254 0
   Tehama 47 47 13,384 6,505 0
   Trinity 24 24 3,406 2,682 0
   Tulare 286 286 56,556 27,989 0
   Tuolumne 75 75 14,001 8,971 0
   Ventura 541 541 109,007 103,360 0
   Yolo 132 132 24,594 38,190 0
   Yuba 45 45 10,805 5,064 0
