County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;201;201;62485;65081;767;
Alamosa;9;9;3137;2975;39;
Arapahoe;363;363;114703;105008;1108;
Archuleta;10;10;2555;2111;40;
Baca;7;7;1673;482;11;
Bent;6;6;1310;757;21;
Boulder;227;200;43248;92870;810;
Broomfield;41;41;11847;10760;134;
Chaffee;15;15;4634;3595;73;
Cheyenne;7;7;902;193;7;
Clear Creek;11;11;2467;2899;45;
Conejos;10;10;1855;1889;19;
Costilla;9;9;547;1149;15;
Crowley;7;7;977;469;1;
Custer;4;4;1644;733;13;
Delta;20;20;9563;4165;104;
Denver;423;423;62868;148599;1213;
Dolores;4;4;785;333;9;
Douglas;142;142;79115;38956;406;
Eagle;29;29;8469;9630;117;
El Paso;378;378;157594;75558;1273;
Elbert;16;16;8292;3103;49;
Fremont;32;32;12241;5900;135;
Garfield;28;28;10937;9077;142;
Gilpin;6;6;1304;1772;22;
Grand;12;12;4170;3159;57;
Gunnison;15;15;3452;4730;93;
Hinsdale;4;4;355;234;4;
Huerfano;11;11;1661;1628;24;
Jackson;6;6;710;209;7;
Jefferson;325;325;137251;123174;1667;
Kiowa;4;4;688;167;3;
Kit Carson;10;10;2668;723;23;
La Plata;30;30;11593;13266;193;
Lake;8;8;1231;1574;38;
Larimer;31;31;74899;67266;978;
Las Animas;18;18;3152;3248;42;
Lincoln;11;11;1793;493;7;
Logan;18;18;6054;2426;56;
Mesa;82;82;40457;19072;407;
Mineral;1;1;381;227;6;
Moffat;14;14;4210;1343;64;
Montezuma;13;13;6952;3839;87;
Montrose;22;22;11045;4708;98;
Morgan;18;18;6741;3017;63;
Otero;18;18;4832;3092;37;
Ouray;7;7;1383;1250;19;
Park;13;13;4739;3405;59;
Phillips;9;9;1661;565;13;
Pitkin;12;12;2750;6275;77;
Prowers;13;13;3382;1306;26;
Pueblo;133;133;30665;34654;413;
Rio Blanco;7;7;2370;560;17;
Rio Grande;15;15;3413;1970;46;
Routt;22;22;5109;6270;86;
Saguache;9;9;1134;1558;18;
San Juan;1;1;216;253;10;
San Miguel;6;6;1070;2857;30;
Sedgwick;6;6;947;368;7;
Summit;19;19;5320;8032;113;
Teller;16;16;7868;3447;87;
Washington;6;6;2019;450;12;
Weld;101;101;55213;31623;495;
Yuma;15;15;3423;1044;17;
