   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 201 201 62,485 65,081 767
   Alamosa 9 9 3,137 2,975 39
   Arapahoe 363 363 114,703 105,008 1,108
   Archuleta 10 10 2,555 2,111 40
   Baca 7 7 1,673 482 11
   Bent 6 6 1,310 757 21
   Boulder 227 200 43,248 92,870 810
   Broomfield 41 41 11,847 10,760 134
   Chaffee 15 15 4,634 3,595 73
   Cheyenne 7 7 902 193 7
   Clear Creek 11 11 2,467 2,899 45
   Conejos 10 10 1,855 1,889 19
   Costilla 9 9 547 1,149 15
   Crowley 7 7 977 469 1
   Custer 4 4 1,644 733 13
   Delta 20 20 9,563 4,165 104
   Denver 423 423 62,868 148,599 1,213
   Dolores 4 4 785 333 9
   Douglas 142 142 79,115 38,956 406
   Eagle 29 29 8,469 9,630 117
   El Paso 378 378 157,594 75,558 1,273
   Elbert 16 16 8,292 3,103 49
   Fremont 32 32 12,241 5,900 135
   Garfield 28 28 10,937 9,077 142
   Gilpin 6 6 1,304 1,772 22
   Grand 12 12 4,170 3,159 57
   Gunnison 15 15 3,452 4,730 93
   Hinsdale 4 4 355 234 4
   Huerfano 11 11 1,661 1,628 24
   Jackson 6 6 710 209 7
   Jefferson 325 325 137,251 123,174 1,667
   Kiowa 4 4 688 167 3
   Kit Carson 10 10 2,668 723 23
   La Plata 30 30 11,593 13,266 193
   Lake 8 8 1,231 1,574 38
   Larimer 31 31 74,899 67,266 978
   Las Animas 18 18 3,152 3,248 42
   Lincoln 11 11 1,793 493 7
   Logan 18 18 6,054 2,426 56
   Mesa 82 82 40,457 19,072 407
   Mineral 1 1 381 227 6
   Moffat 14 14 4,210 1,343 64
   Montezuma 13 13 6,952 3,839 87
   Montrose 22 22 11,045 4,708 98
   Morgan 18 18 6,741 3,017 63
   Otero 18 18 4,832 3,092 37
   Ouray 7 7 1,383 1,250 19
   Park 13 13 4,739 3,405 59
   Phillips 9 9 1,661 565 13
   Pitkin 12 12 2,750 6,275 77
   Prowers 13 13 3,382 1,306 26
   Pueblo 133 133 30,665 34,654 413
   Rio Blanco 7 7 2,370 560 17
   Rio Grande 15 15 3,413 1,970 46
   Routt 22 22 5,109 6,270 86
   Saguache 9 9 1,134 1,558 18
   San Juan 1 1 216 253 10
   San Miguel 6 6 1,070 2,857 30
   Sedgwick 6 6 947 368 7
   Summit 19 19 5,320 8,032 113
   Teller 16 16 7,868 3,447 87
   Washington 6 6 2,019 450 12
   Weld 101 101 55,213 31,623 495
   Yuma 15 15 3,423 1,044 17
