County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Andover;1;1;793;972;22;
Ansonia;7;7;3272;4065;80;
Ashford;1;1;933;1307;31;
Avon;2;2;5141;4925;77;
Barkhamsted;1;1;995;1124;30;
Beacon Falls;1;1;1634;1206;35;
Berlin;5;5;5018;5559;73;
Bethany;1;1;1618;1617;39;
Bethel;5;5;4928;4486;79;
Bethlehem;1;1;1337;922;31;
Bloomfield;6;6;2337;8156;41;
Bolton;1;1;1459;1542;30;
Bozrah;1;1;646;723;13;
Branford;7;7;6285;8335;109;
Bridgeport;25;25;10326;26280;140;
Bridgewater;1;1;628;521;15;
Bristol;10;10;10611;14188;179;
Brookfield;2;2;5162;3618;59;
Brooklyn;1;1;1628;1668;49;
Burlington;1;1;2539;2501;33;
Canaan;1;1;219;378;17;
Canterbury;1;1;1370;1193;47;
Canton;1;1;2502;3003;54;
Chaplin;1;1;505;590;27;
Cheshire;7;7;7583;7283;114;
Chester;1;1;796;1375;26;
Clinton;1;1;3160;3332;42;
Colchester;1;1;3418;4081;67;
Colebrook;1;1;429;458;20;
Columbia;1;1;1272;1771;41;
Cornwall;1;1;296;625;13;
Coventry;2;2;2641;3588;85;
Cromwell;1;1;3226;4126;68;
Danbury;7;7;11327;12178;151;
Darien;6;6;6888;4057;54;
Deep River;1;1;1007;1548;30;
Derby;2;2;2600;2582;40;
Durham;2;2;2024;2017;53;
East Granby;2;2;1375;1352;21;
East Haddam;1;1;2009;2607;53;
East Hampton;1;1;2941;3360;63;
East Hartford;7;7;6320;11993;160;
East Haven;7;7;5427;6196;94;
East Lyme;3;3;4030;5306;84;
East Windsor;2;2;2074;2571;44;
Eastford;1;1;513;416;11;
Easton;1;1;2462;2002;24;
Ellington;2;2;3700;3467;67;
Enfield;9;9;8669;10826;166;
Essex;2;2;1852;2201;33;
Fairfield;10;10;14694;15047;204;
Farmington;4;4;6294;7205;93;
Franklin;1;1;540;513;8;
Glastonbury;9;9;8094;8986;149;
Goshen;1;1;954;715;15;
Granby;2;2;3108;3015;61;
Greenwich;21;21;14086;12363;147;
Griswold;2;2;2143;2599;51;
Groton;8;8;6464;8006;139;
Guilford;4;4;5554;7294;95;
Haddam;2;2;2039;2354;37;
Hamden;11;11;9990;17774;199;
Hampton;1;1;445;608;13;
Hartford;23;23;4623;22595;168;
Hartland;1;1;708;435;19;
Harwinton;2;2;1762;1308;47;
Hebron;1;1;2426;2623;52;
Kent;1;1;713;1038;16;
Killingly;8;8;2993;3341;92;
Killingworth;1;1;1865;1895;35;
Lebanon;1;1;1799;1944;42;
Ledyard;2;2;3580;3438;77;
Lisbon;1;1;915;1086;20;
Litchfield;4;4;2375;2164;44;
Lyme;1;1;594;850;23;
Madison;2;2;5377;4864;76;
Manchester;10;10;9948;15268;241;
Mansfield;3;3;2171;6169;162;
Marlborough;1;1;1710;1850;42;
Meriden;17;17;8845;13368;203;
Middlebury;1;1;2423;1584;43;
Middlefield;1;1;1099;1478;25;
Middletown;14;14;5955;11854;0;
Milford;10;10;12880;13145;261;
Monroe;4;4;6195;4349;62;
Montville;6;6;3527;4259;84;
Morris;1;1;783;581;18;
Naugatuck;10;10;6838;5745;123;
New Britain;17;17;6012;12988;145;
New Canaan;3;3;6618;4180;56;
New Fairfield;2;2;4072;2687;51;
New Hartford;2;2;1950;1874;42;
New Haven;42;42;7163;30926;341;
New London;7;7;2381;5984;68;
New Milford;7;7;7174;5854;129;
Newington;8;8;6252;9365;127;
Newtown;4;4;7739;6540;103;
Norfolk;1;1;407;555;11;
North Branford;2;2;3556;3439;60;
North Canaan;1;1;708;796;2;
North Haven;5;5;6471;6359;96;
North Stonington;1;1;1360;1407;32;
Norwalk;14;14;14201;20615;246;
Norwich;10;10;4841;8223;163;
Old Lyme;1;1;1896;2394;53;
Old Saybrook;2;2;2828;3119;51;
Orange;2;2;4390;3774;60;
Oxford;1;1;3628;2286;59;
Plainfield;4;4;2844;3103;89;
Plainville;4;4;3407;4403;72;
Plymouth;2;2;2773;2737;56;
Pomfret;1;1;1087;1098;27;
Portland;1;1;2105;2930;50;
Preston;1;1;1184;1297;37;
Prospect;2;2;2983;1804;50;
Putnam;2;2;1738;1825;37;
Redding;2;2;2589;2797;34;
Ridgefield;3;3;6567;5643;77;
Rocky Hill;3;3;4130;5485;74;
Roxbury;1;1;715;727;14;
Salem;1;1;986;1125;28;
Salisbury;1;1;730;1600;23;
Scotland;1;1;430;430;8;
Seymour;3;3;4035;3202;99;
Sharon;1;1;649;897;15;
Shelton;6;6;11137;8247;149;
Sherman;1;1;1121;958;21;
Simsbury;4;4;6753;6799;111;
Somers;1;1;2734;2114;37;
South Windsor;7;7;6174;7643;106;
Southbury;5;5;6526;4828;97;
Southington;12;12;10179;11044;136;
Sprague;1;1;631;717;15;
Stafford;3;3;2795;3234;65;
Stamford;23;23;18856;27575;213;
Sterling;1;1;707;643;12;
Stonington;5;5;3948;5728;100;
Stratford;13;13;11945;12057;194;
Suffield;1;1;3525;3224;61;
Thomaston;1;1;2272;1582;34;
Thompson;4;4;2126;2116;39;
Tolland;2;2;3976;4031;70;
Torrington;8;8;8175;7362;184;
Trumbull;10;10;10789;8656;128;
Union;1;1;245;222;5;
Vernon;6;6;5765;7695;110;
Voluntown;1;1;633;564;19;
Wallingford;9;9;9956;11644;220;
Warren;1;1;427;342;10;
Washington;1;1;941;1242;17;
Waterbury;23;23;15052;14735;247;
Waterford;4;4;4405;5798;87;
Watertown;4;4;6954;4146;121;
West Hartford;20;20;11641;21612;216;
West Haven;12;12;7840;13047;176;
Westbrook;2;2;1787;1908;30;
Weston;2;2;2410;3136;28;
Westport;6;6;6063;9115;63;
Wethersfield;10;10;6517;8227;113;
Willington;1;1;1265;1710;36;
Wilton;3;3;5422;4823;51;
Winchester;1;1;2532;2577;89;
Windham;5;5;2770;5134;100;
Windsor;7;7;5253;9297;139;
Windsor Locks;2;2;2651;3200;55;
Wolcott;3;3;5213;2974;84;
Woodbridge;1;1;2290;3070;40;
Woodbury;2;2;3260;2519;41;
Woodstock;1;1;2229;1996;34;
