   County Total Precincts Precincts Reporting Bush Kerry Nader
   Andover 1 1 793 972 22
   Ansonia 7 7 3,272 4,065 80
   Ashford 1 1 933 1,307 31
   Avon 2 2 5,141 4,925 77
   Barkhamsted 1 1 995 1,124 30
   Beacon Falls 1 1 1,634 1,206 35
   Berlin 5 5 5,018 5,559 73
   Bethany 1 1 1,618 1,617 39
   Bethel 5 5 4,928 4,486 79
   Bethlehem 1 1 1,337 922 31
   Bloomfield 6 6 2,337 8,156 41
   Bolton 1 1 1,459 1,542 30
   Bozrah 1 1 646 723 13
   Branford 7 7 6,285 8,335 109
   Bridgeport 25 25 10,326 26,280 140
   Bridgewater 1 1 628 521 15
   Bristol 10 10 10,611 14,188 179
   Brookfield 2 2 5,162 3,618 59
   Brooklyn 1 1 1,628 1,668 49
   Burlington 1 1 2,539 2,501 33
   Canaan 1 1 219 378 17
   Canterbury 1 1 1,370 1,193 47
   Canton 1 1 2,502 3,003 54
   Chaplin 1 1 505 590 27
   Cheshire 7 7 7,583 7,283 114
   Chester 1 1 796 1,375 26
   Clinton 1 1 3,160 3,332 42
   Colchester 1 1 3,418 4,081 67
   Colebrook 1 1 429 458 20
   Columbia 1 1 1,272 1,771 41
   Cornwall 1 1 296 625 13
   Coventry 2 2 2,641 3,588 85
   Cromwell 1 1 3,226 4,126 68
   Danbury 7 7 11,327 12,178 151
   Darien 6 6 6,888 4,057 54
   Deep River 1 1 1,007 1,548 30
   Derby 2 2 2,600 2,582 40
   Durham 2 2 2,024 2,017 53
   East Granby 2 2 1,375 1,352 21
   East Haddam 1 1 2,009 2,607 53
   East Hampton 1 1 2,941 3,360 63
   East Hartford 7 7 6,320 11,993 160
   East Haven 7 7 5,427 6,196 94
   East Lyme 3 3 4,030 5,306 84
   East Windsor 2 2 2,074 2,571 44
   Eastford 1 1 513 416 11
   Easton 1 1 2,462 2,002 24
   Ellington 2 2 3,700 3,467 67
   Enfield 9 9 8,669 10,826 166
   Essex 2 2 1,852 2,201 33
   Fairfield 10 10 14,694 15,047 204
   Farmington 4 4 6,294 7,205 93
   Franklin 1 1 540 513 8
   Glastonbury 9 9 8,094 8,986 149
   Goshen 1 1 954 715 15
   Granby 2 2 3,108 3,015 61
   Greenwich 21 21 14,086 12,363 147
   Griswold 2 2 2,143 2,599 51
   Groton 8 8 6,464 8,006 139
   Guilford 4 4 5,554 7,294 95
   Haddam 2 2 2,039 2,354 37
   Hamden 11 11 9,990 17,774 199
   Hampton 1 1 445 608 13
   Hartford 23 23 4,623 22,595 168
   Hartland 1 1 708 435 19
   Harwinton 2 2 1,762 1,308 47
   Hebron 1 1 2,426 2,623 52
   Kent 1 1 713 1,038 16
   Killingly 8 8 2,993 3,341 92
   Killingworth 1 1 1,865 1,895 35
   Lebanon 1 1 1,799 1,944 42
   Ledyard 2 2 3,580 3,438 77
   Lisbon 1 1 915 1,086 20
   Litchfield 4 4 2,375 2,164 44
   Lyme 1 1 594 850 23
   Madison 2 2 5,377 4,864 76
   Manchester 10 10 9,948 15,268 241
   Mansfield 3 3 2,171 6,169 162
   Marlborough 1 1 1,710 1,850 42
   Meriden 17 17 8,845 13,368 203
   Middlebury 1 1 2,423 1,584 43
   Middlefield 1 1 1,099 1,478 25
   Middletown 14 14 5,955 11,854 0
   Milford 10 10 12,880 13,145 261
   Monroe 4 4 6,195 4,349 62
   Montville 6 6 3,527 4,259 84
   Morris 1 1 783 581 18
   Naugatuck 10 10 6,838 5,745 123
   New Britain 17 17 6,012 12,988 145
   New Canaan 3 3 6,618 4,180 56
   New Fairfield 2 2 4,072 2,687 51
   New Hartford 2 2 1,950 1,874 42
   New Haven 42 42 7,163 30,926 341
   New London 7 7 2,381 5,984 68
   New Milford 7 7 7,174 5,854 129
   Newington 8 8 6,252 9,365 127
   Newtown 4 4 7,739 6,540 103
   Norfolk 1 1 407 555 11
   North Branford 2 2 3,556 3,439 60
   North Canaan 1 1 708 796 2
   North Haven 5 5 6,471 6,359 96
   North Stonington 1 1 1,360 1,407 32
   Norwalk 14 14 14,201 20,615 246
   Norwich 10 10 4,841 8,223 163
   Old Lyme 1 1 1,896 2,394 53
   Old Saybrook 2 2 2,828 3,119 51
   Orange 2 2 4,390 3,774 60
   Oxford 1 1 3,628 2,286 59
   Plainfield 4 4 2,844 3,103 89
   Plainville 4 4 3,407 4,403 72
   Plymouth 2 2 2,773 2,737 56
   Pomfret 1 1 1,087 1,098 27
   Portland 1 1 2,105 2,930 50
   Preston 1 1 1,184 1,297 37
   Prospect 2 2 2,983 1,804 50
   Putnam 2 2 1,738 1,825 37
   Redding 2 2 2,589 2,797 34
   Ridgefield 3 3 6,567 5,643 77
   Rocky Hill 3 3 4,130 5,485 74
   Roxbury 1 1 715 727 14
   Salem 1 1 986 1,125 28
   Salisbury 1 1 730 1,600 23
   Scotland 1 1 430 430 8
   Seymour 3 3 4,035 3,202 99
   Sharon 1 1 649 897 15
   Shelton 6 6 11,137 8,247 149
   Sherman 1 1 1,121 958 21
   Simsbury 4 4 6,753 6,799 111
   Somers 1 1 2,734 2,114 37
   South Windsor 7 7 6,174 7,643 106
   Southbury 5 5 6,526 4,828 97
   Southington 12 12 10,179 11,044 136
   Sprague 1 1 631 717 15
   Stafford 3 3 2,795 3,234 65
   Stamford 23 23 18,856 27,575 213
   Sterling 1 1 707 643 12
   Stonington 5 5 3,948 5,728 100
   Stratford 13 13 11,945 12,057 194
   Suffield 1 1 3,525 3,224 61
   Thomaston 1 1 2,272 1,582 34
   Thompson 4 4 2,126 2,116 39
   Tolland 2 2 3,976 4,031 70
   Torrington 8 8 8,175 7,362 184
   Trumbull 10 10 10,789 8,656 128
   Union 1 1 245 222 5
   Vernon 6 6 5,765 7,695 110
   Voluntown 1 1 633 564 19
   Wallingford 9 9 9,956 11,644 220
   Warren 1 1 427 342 10
   Washington 1 1 941 1,242 17
   Waterbury 23 23 15,052 14,735 247
   Waterford 4 4 4,405 5,798 87
   Watertown 4 4 6,954 4,146 121
   West Hartford 20 20 11,641 21,612 216
   West Haven 12 12 7,840 13,047 176
   Westbrook 2 2 1,787 1,908 30
   Weston 2 2 2,410 3,136 28
   Westport 6 6 6,063 9,115 63
   Wethersfield 10 10 6,517 8,227 113
   Willington 1 1 1,265 1,710 36
   Wilton 3 3 5,422 4,823 51
   Winchester 1 1 2,532 2,577 89
   Windham 5 5 2,770 5,134 100
   Windsor 7 7 5,253 9,297 139
   Windsor Locks 2 2 2,651 3,200 55
   Wolcott 3 3 5,213 2,974 84
   Woodbridge 1 1 2,290 3,070 40
   Woodbury 2 2 3,260 2,519 41
   Woodstock 1 1 2,229 1,996 34
