County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Alachua;69;69;47615;62348;557;
Baker;9;9;7738;2180;22;
Bay;59;59;53388;21058;359;
Bradford;22;22;7553;3244;28;
Brevard;221;221;152838;110153;1196;
Broward;1044;1044;243699;452360;3806;
Calhoun;15;15;3780;2116;38;
Charlotte;80;80;44402;34227;555;
Citrus;41;41;39498;29274;452;
Clay;62;62;61881;18905;258;
Collier;93;93;83485;43713;595;
Columbia;25;25;16753;8029;109;
DeSoto;17;17;5512;3910;48;
Dixie;11;11;4433;1959;29;
Duval;285;285;219251;158121;1218;
Escambia;91;91;93367;48243;545;
Flagler;34;34;19632;18574;181;
Franklin;10;10;3472;2400;37;
Gadsden;26;26;6253;14629;54;
Gilchrist;12;12;4934;2016;32;
Glades;13;13;2443;1718;16;
Gulf;16;16;4794;2398;40;
Hamilton;10;10;2792;2260;16;
Hardee;12;12;5047;2148;39;
Hendry;26;26;5756;3960;24;
Hernando;56;56;41847;36521;508;
Highlands;27;27;25874;15346;188;
Hillsborough;360;360;244606;213413;1947;
Holmes;18;18;6410;1810;42;
Indian River;57;57;36869;23932;292;
Jackson;28;28;12115;7552;74;
Jefferson;15;15;3298;4134;27;
Lafayette;6;6;2460;845;11;
Lake;102;102;74382;48216;659;
Lee;175;175;144414;94365;1394;
Leon;116;116;51594;83830;476;
Levy;20;20;10408;6073;97;
Liberty;10;10;1927;1070;14;
Madison;11;11;4196;4048;41;
Manatee;136;136;81272;61228;681;
Marion;143;143;81267;57255;649;
Martin;51;51;41350;30197;418;
Miami-Dade;856;856;358613;406099;1999;
Monroe;33;33;19462;19649;283;
Nassau;24;24;23732;8545;183;
Okaloosa;54;54;69654;19358;372;
Okeechobee;18;18;6987;5151;32;
Orange;272;272;192390;193217;1141;
Osceola;93;93;43108;38617;280;
Palm Beach;695;695;211894;327698;1565;
Pasco;170;170;103198;84731;1440;
Pinellas;377;377;225627;225367;2401;
Polk;161;161;123532;85983;799;
Putnam;55;55;18305;12409;136;
Santa Rosa;43;43;51988;14637;295;
Sarasota;156;156;104630;88382;1259;
Seminole;126;126;108126;76938;570;
St Johns;68;68;59178;26389;403;
St Lucie;75;75;47575;51816;436;
Sumter;42;42;19795;11584;248;
Suwannee;19;19;11153;4521;85;
Taylor;14;14;5466;3049;45;
Union;11;11;3396;1251;16;
Volusia;179;179;111544;115319;911;
Wakulla;12;12;6777;4896;47;
Walton;33;33;17553;6213;119;
Washington;21;21;7368;2912;53;
