   County Total Precincts Precincts Reporting Bush Kerry Nader
   Alachua 69 69 47,615 62,348 557
   Baker 9 9 7,738 2,180 22
   Bay 59 59 53,388 21,058 359
   Bradford 22 22 7,553 3,244 28
   Brevard 221 221 152,838 110,153 1,196
   Broward 1,044 1,044 243,699 452,360 3,806
   Calhoun 15 15 3,780 2,116 38
   Charlotte 80 80 44,402 34,227 555
   Citrus 41 41 39,498 29,274 452
   Clay 62 62 61,881 18,905 258
   Collier 93 93 83,485 43,713 595
   Columbia 25 25 16,753 8,029 109
   DeSoto 17 17 5,512 3,910 48
   Dixie 11 11 4,433 1,959 29
   Duval 285 285 219,251 158,121 1,218
   Escambia 91 91 93,367 48,243 545
   Flagler 34 34 19,632 18,574 181
   Franklin 10 10 3,472 2,400 37
   Gadsden 26 26 6,253 14,629 54
   Gilchrist 12 12 4,934 2,016 32
   Glades 13 13 2,443 1,718 16
   Gulf 16 16 4,794 2,398 40
   Hamilton 10 10 2,792 2,260 16
   Hardee 12 12 5,047 2,148 39
   Hendry 26 26 5,756 3,960 24
   Hernando 56 56 41,847 36,521 508
   Highlands 27 27 25,874 15,346 188
   Hillsborough 360 360 244,606 213,413 1,947
   Holmes 18 18 6,410 1,810 42
   Indian River 57 57 36,869 23,932 292
   Jackson 28 28 12,115 7,552 74
   Jefferson 15 15 3,298 4,134 27
   Lafayette 6 6 2,460 845 11
   Lake 102 102 74,382 48,216 659
   Lee 175 175 144,414 94,365 1,394
   Leon 116 116 51,594 83,830 476
   Levy 20 20 10,408 6,073 97
   Liberty 10 10 1,927 1,070 14
   Madison 11 11 4,196 4,048 41
   Manatee 136 136 81,272 61,228 681
   Marion 143 143 81,267 57,255 649
   Martin 51 51 41,350 30,197 418
   Miami-Dade 856 856 358,613 406,099 1,999
   Monroe 33 33 19,462 19,649 283
   Nassau 24 24 23,732 8,545 183
   Okaloosa 54 54 69,654 19,358 372
   Okeechobee 18 18 6,987 5,151 32
   Orange 272 272 192,390 193,217 1,141
   Osceola 93 93 43,108 38,617 280
   Palm Beach 695 695 211,894 327,698 1,565
   Pasco 170 170 103,198 84,731 1,440
   Pinellas 377 377 225,627 225,367 2,401
   Polk 161 161 123,532 85,983 799
   Putnam 55 55 18,305 12,409 136
   Santa Rosa 43 43 51,988 14,637 295
   Sarasota 156 156 104,630 88,382 1,259
   Seminole 126 126 108,126 76,938 570
   St. Johns 68 68 59,178 26,389 403
   St. Lucie 75 75 47,575 51,816 436
   Sumter 42 42 19,795 11,584 248
   Suwannee 19 19 11,153 4,521 85
   Taylor 14 14 5,466 3,049 45
   Union 11 11 3,396 1,251 16
   Volusia 179 179 111,544 115,319 911
   Wakulla 12 12 6,777 4,896 47
   Walton 33 33 17,553 6,213 119
   Washington 21 21 7,368 2,912 53
