County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Appling;18;18;4494;1848;0;
Atkinson;5;5;1666;799;0;
Bacon;6;6;2853;930;0;
Baker;6;6;821;936;0;
Baldwin;15;15;7707;6774;0;
Banks;14;14;4410;1149;0;
Barrow;14;14;13022;3937;0;
Bartow;20;20;22302;7737;0;
Ben Hill;6;6;3331;2180;0;
Berrien;10;10;3914;1637;0;
Bibb;51;51;28079;29268;0;
Bleckley;2;2;3167;1281;0;
Brantley;10;10;4332;1258;0;
Brooks;10;10;2722;2053;0;
Bryan;10;10;7453;2632;0;
Bulloch;15;15;12245;6832;0;
Burke;16;16;4232;4213;0;
Butts;11;11;5119;2570;0;
Calhoun;6;6;890;1118;0;
Camden;15;15;9471;4629;0;
Candler;3;3;2048;1096;0;
Carroll;33;33;24813;10203;0;
Catoosa;13;13;16402;5805;0;
Charlton;10;10;2310;1064;0;
Chatham;109;109;41384;42910;0;
Chattahoochee;2;2;902;773;0;
Chattooga;14;14;4964;2791;0;
Cherokee;45;45;55447;14090;0;
Clarke;25;25;15042;21707;0;
Clay;6;6;509;798;0;
Clayton;51;51;19808;50445;0;
Clinch;6;6;1501;750;0;
Cobb;206;206;173206;103720;0;
Coffee;7;7;8304;3977;0;
Colquitt;20;20;8296;3378;0;
Columbia;44;44;35546;11441;0;
Cook;9;9;3065;1733;0;
Coweta;29;29;31649;10630;0;
Crawford;7;7;2827;1551;0;
Crisp;7;7;3865;2357;0;
Dade;8;8;4367;1822;0;
Dawson;9;9;6649;1407;0;
Decatur;15;15;5346;3573;0;
DeKalb;194;194;73527;200632;0;
Dodge;17;17;4584;2384;0;
Dooly;6;6;1853;1973;0;
Dougherty;32;32;13709;19795;0;
Douglas;23;23;25835;15986;0;
Early;12;12;2494;1698;0;
Echols;2;2;757;231;0;
Effingham;22;22;12451;3597;0;
Elbert;12;12;4618;2979;0;
Emanuel;15;15;4665;2774;0;
Evans;11;11;2291;1213;0;
Fannin;12;12;6859;2727;0;
Fayette;37;37;37322;14862;0;
Floyd;26;26;21338;10010;0;
Forsyth;31;31;47254;9198;0;
Franklin;14;14;5216;2245;0;
Fulton;327;327;123670;189899;0;
Gilmer;14;14;7414;2510;0;
Glascock;3;3;1016;250;0;
Glynn;25;25;18602;8960;0;
Gordon;15;15;11671;4028;0;
Grady;14;14;5065;3092;0;
Greene;9;9;4069;2774;0;
Gwinnett;149;149;160013;81334;0;
Habersham;15;15;10428;2748;0;
Hall;40;40;38861;10506;0;
Hancock;8;8;822;2715;0;
Haralson;13;13;7695;2431;0;
Harris;13;13;8874;3400;0;
Hart;8;8;5499;3476;0;
Heard;10;10;2788;1148;0;
Henry;32;32;42748;21091;0;
Houston;29;29;29848;15042;0;
Irwin;9;9;2347;1051;0;
Jackson;15;15;12605;3466;0;
Jasper;8;8;3157;1558;0;
Jeff Davis;10;10;3549;1277;0;
Jefferson;9;9;3066;3447;0;
Jenkins;6;6;1896;1493;0;
Johnson;8;8;2279;1263;0;
Jones;12;12;6939;3854;0;
Lamar;7;7;4027;2432;0;
Lanier;4;4;1641;931;0;
Laurens;21;21;10882;6280;0;
Lee;11;11;8201;2182;0;
Liberty;14;13;6127;6616;0;
Lincoln;8;8;2309;1337;0;
Long;6;6;1992;1029;0;
Lowndes;38;38;18942;12491;0;
Lumpkin;16;16;6690;2091;0;
Macon;6;6;1851;2906;0;
Madison;13;13;7253;2527;0;
Marion;8;8;1670;1275;0;
McDuffie;11;11;4755;2858;0;
McIntosh;7;7;2837;2523;0;
Meriwether;15;15;4401;3709;0;
Miller;2;2;1688;736;0;
Mitchell;12;12;3885;3360;0;
Monroe;15;15;6522;3216;0;
Montgomery;8;8;2150;1007;0;
Morgan;11;11;4902;2304;0;
Murray;8;8;7745;2899;0;
Muscogee;49;49;30544;32727;0;
Newton;24;24;18094;10939;0;
Oconee;15;15;10273;3785;0;
Oglethorpe;11;11;3686;1899;0;
Paulding;26;26;30830;9414;0;
Peach;8;8;4554;3960;0;
Pickens;13;13;7897;2353;0;
Pierce;9;9;4677;1233;0;
Pike;9;9;5193;1506;0;
Polk;12;12;8467;3868;0;
Pulaski;4;4;2202;1294;0;
Putnam;10;10;5187;2876;0;
Quitman;3;3;409;543;0;
Rabun;10;10;4649;1918;0;
Randolph;10;10;1418;1612;0;
Richmond;71;71;29764;39262;0;
Rockdale;17;17;18855;12134;0;
Schley;2;2;1063;464;0;
Screven;13;13;3360;2534;0;
Seminole;7;7;1975;1278;0;
Spalding;21;21;13458;7457;0;
Stephens;9;9;6904;2714;0;
Stewart;6;6;797;1220;0;
Sumter;11;11;5682;5555;0;
Talbot;9;9;1102;1830;0;
Taliaferro;3;3;335;612;0;
Tattnall;16;16;4657;1787;0;
Taylor;7;7;1912;1458;0;
Telfair;7;7;2171;1590;0;
Terrell;8;8;1859;1950;0;
Thomas;21;21;9659;5997;0;
Tift;13;13;8616;3862;0;
Toombs;15;15;6192;2561;0;
Towns;5;5;3819;1430;0;
Treutlen;7;7;1688;1052;0;
Troup;17;17;14180;7625;0;
Turner;4;4;1815;1135;0;
Twiggs;6;6;2109;2219;0;
Union;12;12;6843;2325;0;
Upson;11;11;6632;3423;0;
Walker;19;19;15340;5986;0;
Walton;20;20;21585;5885;0;
Ware;13;13;6789;2832;0;
Warren;7;7;1121;1359;0;
Washington;9;9;4081;3733;0;
Wayne;16;16;6817;2683;0;
Webster;5;5;485;515;0;
Wheeler;3;3;1192;847;0;
White;11;11;7403;2016;0;
Whitfield;24;24;19295;6933;0;
Wilcox;7;7;1705;902;0;
Wilkes;8;8;2488;2028;0;
Wilkinson;10;10;2257;2233;0;
Worth;17;17;5103;2217;0;
