   County Total Precincts Precincts Reporting Bush Kerry Nader
   Appling 18 18 4,494 1,848 0
   Atkinson 5 5 1,666 799 0
   Bacon 6 6 2,853 930 0
   Baker 6 6 821 936 0
   Baldwin 15 15 7,707 6,774 0
   Banks 14 14 4,410 1,149 0
   Barrow 14 14 13,022 3,937 0
   Bartow 20 20 22,302 7,737 0
   Ben Hill 6 6 3,331 2,180 0
   Berrien 10 10 3,914 1,637 0
   Bibb 51 51 28,079 29,268 0
   Bleckley 2 2 3,167 1,281 0
   Brantley 10 10 4,332 1,258 0
   Brooks 10 10 2,722 2,053 0
   Bryan 10 10 7,453 2,632 0
   Bulloch 15 15 12,245 6,832 0
   Burke 16 16 4,232 4,213 0
   Butts 11 11 5,119 2,570 0
   Calhoun 6 6 890 1,118 0
   Camden 15 15 9,471 4,629 0
   Candler 3 3 2,048 1,096 0
   Carroll 33 33 24,813 10,203 0
   Catoosa 13 13 16,402 5,805 0
   Charlton 10 10 2,310 1,064 0
   Chatham 109 109 41,384 42,910 0
   Chattahoochee 2 2 902 773 0
   Chattooga 14 14 4,964 2,791 0
   Cherokee 45 45 55,447 14,090 0
   Clarke 25 25 15,042 21,707 0
   Clay 6 6 509 798 0
   Clayton 51 51 19,808 50,445 0
   Clinch 6 6 1,501 750 0
   Cobb 206 206 173,206 103,720 0
   Coffee 7 7 8,304 3,977 0
   Colquitt 20 20 8,296 3,378 0
   Columbia 44 44 35,546 11,441 0
   Cook 9 9 3,065 1,733 0
   Coweta 29 29 31,649 10,630 0
   Crawford 7 7 2,827 1,551 0
   Crisp 7 7 3,865 2,357 0
   Dade 8 8 4,367 1,822 0
   Dawson 9 9 6,649 1,407 0
   Decatur 15 15 5,346 3,573 0
   DeKalb 194 194 73,527 200,632 0
   Dodge 17 17 4,584 2,384 0
   Dooly 6 6 1,853 1,973 0
   Dougherty 32 32 13,709 19,795 0
   Douglas 23 23 25,835 15,986 0
   Early 12 12 2,494 1,698 0
   Echols 2 2 757 231 0
   Effingham 22 22 12,451 3,597 0
   Elbert 12 12 4,618 2,979 0
   Emanuel 15 15 4,665 2,774 0
   Evans 11 11 2,291 1,213 0
   Fannin 12 12 6,859 2,727 0
   Fayette 37 37 37,322 14,862 0
   Floyd 26 26 21,338 10,010 0
   Forsyth 31 31 47,254 9,198 0
   Franklin 14 14 5,216 2,245 0
   Fulton 327 327 123,670 189,899 0
   Gilmer 14 14 7,414 2,510 0
   Glascock 3 3 1,016 250 0
   Glynn 25 25 18,602 8,960 0
   Gordon 15 15 11,671 4,028 0
   Grady 14 14 5,065 3,092 0
   Greene 9 9 4,069 2,774 0
   Gwinnett 149 149 160,013 81,334 0
   Habersham 15 15 10,428 2,748 0
   Hall 40 40 38,861 10,506 0
   Hancock 8 8 822 2,715 0
   Haralson 13 13 7,695 2,431 0
   Harris 13 13 8,874 3,400 0
   Hart 8 8 5,499 3,476 0
   Heard 10 10 2,788 1,148 0
   Henry 32 32 42,748 21,091 0
   Houston 29 29 29,848 15,042 0
   Irwin 9 9 2,347 1,051 0
   Jackson 15 15 12,605 3,466 0
   Jasper 8 8 3,157 1,558 0
   Jeff Davis 10 10 3,549 1,277 0
   Jefferson 9 9 3,066 3,447 0
   Jenkins 6 6 1,896 1,493 0
   Johnson 8 8 2,279 1,263 0
   Jones 12 12 6,939 3,854 0
   Lamar 7 7 4,027 2,432 0
   Lanier 4 4 1,641 931 0
   Laurens 21 21 10,882 6,280 0
   Lee 11 11 8,201 2,182 0
   Liberty 14 13 6,127 6,616 0
   Lincoln 8 8 2,309 1,337 0
   Long 6 6 1,992 1,029 0
   Lowndes 38 38 18,942 12,491 0
   Lumpkin 16 16 6,690 2,091 0
   Macon 6 6 1,851 2,906 0
   Madison 13 13 7,253 2,527 0
   Marion 8 8 1,670 1,275 0
   McDuffie 11 11 4,755 2,858 0
   McIntosh 7 7 2,837 2,523 0
   Meriwether 15 15 4,401 3,709 0
   Miller 2 2 1,688 736 0
   Mitchell 12 12 3,885 3,360 0
   Monroe 15 15 6,522 3,216 0
   Montgomery 8 8 2,150 1,007 0
   Morgan 11 11 4,902 2,304 0
   Murray 8 8 7,745 2,899 0
   Muscogee 49 49 30,544 32,727 0
   Newton 24 24 18,094 10,939 0
   Oconee 15 15 10,273 3,785 0
   Oglethorpe 11 11 3,686 1,899 0
   Paulding 26 26 30,830 9,414 0
   Peach 8 8 4,554 3,960 0
   Pickens 13 13 7,897 2,353 0
   Pierce 9 9 4,677 1,233 0
   Pike 9 9 5,193 1,506 0
   Polk 12 12 8,467 3,868 0
   Pulaski 4 4 2,202 1,294 0
   Putnam 10 10 5,187 2,876 0
   Quitman 3 3 409 543 0
   Rabun 10 10 4,649 1,918 0
   Randolph 10 10 1,418 1,612 0
   Richmond 71 71 29,764 39,262 0
   Rockdale 17 17 18,855 12,134 0
   Schley 2 2 1,063 464 0
   Screven 13 13 3,360 2,534 0
   Seminole 7 7 1,975 1,278 0
   Spalding 21 21 13,458 7,457 0
   Stephens 9 9 6,904 2,714 0
   Stewart 6 6 797 1,220 0
   Sumter 11 11 5,682 5,555 0
   Talbot 9 9 1,102 1,830 0
   Taliaferro 3 3 335 612 0
   Tattnall 16 16 4,657 1,787 0
   Taylor 7 7 1,912 1,458 0
   Telfair 7 7 2,171 1,590 0
   Terrell 8 8 1,859 1,950 0
   Thomas 21 21 9,659 5,997 0
   Tift 13 13 8,616 3,862 0
   Toombs 15 15 6,192 2,561 0
   Towns 5 5 3,819 1,430 0
   Treutlen 7 7 1,688 1,052 0
   Troup 17 17 14,180 7,625 0
   Turner 4 4 1,815 1,135 0
   Twiggs 6 6 2,109 2,219 0
   Union 12 12 6,843 2,325 0
   Upson 11 11 6,632 3,423 0
   Walker 19 19 15,340 5,986 0
   Walton 20 20 21,585 5,885 0
   Ware 13 13 6,789 2,832 0
   Warren 7 7 1,121 1,359 0
   Washington 9 9 4,081 3,733 0
   Wayne 16 16 6,817 2,683 0
   Webster 5 5 485 515 0
   Wheeler 3 3 1,192 847 0
   White 11 11 7,403 2,016 0
   Whitfield 24 24 19,295 6,933 0
   Wilcox 7 7 1,705 902 0
   Wilkes 8 8 2,488 2,028 0
   Wilkinson 10 10 2,257 2,233 0
   Worth 17 17 5,103 2,217 0
