County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adair;10;10;2393;1833;14;
Adams;12;12;1313;973;11;
Allamakee;23;23;3523;3437;35;
Appanoose;14;14;3328;3047;23;
Audubon;7;7;1951;1599;13;
Benton;20;20;6634;6690;48;
Black Hawk;64;64;27825;34614;245;
Boone;17;17;6809;6956;42;
Bremer;17;17;6662;6022;56;
Buchanan;16;16;4785;5555;29;
Buena Vista;19;19;4846;3497;43;
Butler;13;13;4413;3001;26;
Calhoun;15;15;3240;2232;7;
Carroll;16;16;5760;4688;42;
Cass;18;18;4780;2666;37;
Cedar;14;14;4831;4692;40;
Cerro Gordo;27;27;10917;13247;89;
Cherokee;12;12;3750;2977;28;
Chickasaw;18;18;3030;3694;26;
Clarke;8;8;2188;2301;16;
Clay;14;14;4878;3499;55;
Clayton;26;26;4302;4715;51;
Clinton;31;31;10749;13742;99;
Crawford;17;17;3946;3213;45;
Dallas;28;28;15094;10825;86;
Davis;9;9;2142;1726;14;
Decatur;14;14;2083;1854;22;
Delaware;17;17;4894;4203;41;
Des Moines;20;20;8156;12296;94;
Dickinson;16;16;5319;4115;43;
Dubuque;40;40;19934;26265;196;
Emmet;12;12;2686;2395;41;
Fayette;29;29;5106;5156;43;
Floyd;14;14;3716;4314;33;
Franklin;19;19;3124;2333;11;
Fremont;13;13;2348;1500;21;
Greene;15;15;2609;2449;8;
Grundy;8;8;4411;2373;13;
Guthrie;19;19;3314;2591;31;
Hamilton;14;14;4345;3866;32;
Hancock;11;11;3352;2471;30;
Hardin;13;13;4853;3989;28;
Harrison;14;14;4659;2895;41;
Henry;19;19;5199;4097;49;
Howard;11;11;2020;2612;29;
Humboldt;12;12;3146;2133;24;
Ida;9;9;2335;1411;6;
Iowa;12;12;4530;3820;37;
Jackson;17;17;4231;5609;61;
Jasper;22;22;9396;10346;61;
Jefferson;13;13;3600;4388;40;
Johnson;58;58;22287;40431;295;
Jones;18;18;4809;5007;53;
Keokuk;17;17;3110;2285;30;
Kossuth;23;23;5022;4115;47;
Lee;24;24;7303;9701;85;
Linn;87;87;49243;59995;420;
Louisa;11;11;2535;2239;19;
Lucas;9;9;2534;1983;0;
Lyon;9;9;4732;1295;30;
Madison;11;11;4519;3346;39;
Mahaska;18;18;6826;3763;39;
Marion;22;22;9971;6564;69;
Marshall;20;20;9481;9316;75;
Mills;12;12;4538;2296;48;
Mitchell;15;15;2629;2758;31;
Monona;17;17;2561;2387;25;
Monroe;11;11;2066;1854;13;
Montgomery;14;14;3560;1862;34;
Muscatine;28;28;8936;9397;65;
OBrien;10;10;5318;2321;36;
Osceola;10;10;2286;932;15;
Page;13;13;5214;2199;34;
Palo Alto;19;19;2665;2479;19;
Plymouth;14;14;7778;4251;53;
Pocahontas;12;12;2440;1822;18;
Polk;184;184;95056;103774;554;
Pottawattamie;47;47;23521;16410;180;
Poweshiek;22;22;4933;4999;26;
Ringgold;9;9;1465;1284;7;
Sac;10;10;3118;2208;19;
Scott;64;64;39750;41738;282;
Shelby;17;17;4240;2333;31;
Sioux;22;22;14167;2247;41;
Story;44;44;20716;23082;218;
Tama;17;17;4434;4471;25;
Taylor;10;10;1900;1245;11;
Union;10;10;3143;2738;32;
Van Buren;10;10;2204;1556;19;
Wapello;25;25;7234;8996;96;
Warren;26;26;12130;10699;70;
Washington;14;14;5955;4540;58;
Wayne;11;11;1724;1373;6;
Webster;34;34;8906;9468;53;
Winnebago;17;17;3168;2691;28;
Winneshiek;28;28;5308;5332;52;
Woodbury;45;45;22274;21191;142;
Worth;10;10;1790;2277;27;
Wright;13;13;3625;2922;18;
