   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adair 10 10 2,393 1,833 14
   Adams 12 12 1,313 973 11
   Allamakee 23 23 3,523 3,437 35
   Appanoose 14 14 3,328 3,047 23
   Audubon 7 7 1,951 1,599 13
   Benton 20 20 6,634 6,690 48
   Black Hawk 64 64 27,825 34,614 245
   Boone 17 17 6,809 6,956 42
   Bremer 17 17 6,662 6,022 56
   Buchanan 16 16 4,785 5,555 29
   Buena Vista 19 19 4,846 3,497 43
   Butler 13 13 4,413 3,001 26
   Calhoun 15 15 3,240 2,232 7
   Carroll 16 16 5,760 4,688 42
   Cass 18 18 4,780 2,666 37
   Cedar 14 14 4,831 4,692 40
   Cerro Gordo 27 27 10,917 13,247 89
   Cherokee 12 12 3,750 2,977 28
   Chickasaw 18 18 3,030 3,694 26
   Clarke 8 8 2,188 2,301 16
   Clay 14 14 4,878 3,499 55
   Clayton 26 26 4,302 4,715 51
   Clinton 31 31 10,749 13,742 99
   Crawford 17 17 3,946 3,213 45
   Dallas 28 28 15,094 10,825 86
   Davis 9 9 2,142 1,726 14
   Decatur 14 14 2,083 1,854 22
   Delaware 17 17 4,894 4,203 41
   Des Moines 20 20 8,156 12,296 94
   Dickinson 16 16 5,319 4,115 43
   Dubuque 40 40 19,934 26,265 196
   Emmet 12 12 2,686 2,395 41
   Fayette 29 29 5,106 5,156 43
   Floyd 14 14 3,716 4,314 33
   Franklin 19 19 3,124 2,333 11
   Fremont 13 13 2,348 1,500 21
   Greene 15 15 2,609 2,449 8
   Grundy 8 8 4,411 2,373 13
   Guthrie 19 19 3,314 2,591 31
   Hamilton 14 14 4,345 3,866 32
   Hancock 11 11 3,352 2,471 30
   Hardin 13 13 4,853 3,989 28
   Harrison 14 14 4,659 2,895 41
   Henry 19 19 5,199 4,097 49
   Howard 11 11 2,020 2,612 29
   Humboldt 12 12 3,146 2,133 24
   Ida 9 9 2,335 1,411 6
   Iowa 12 12 4,530 3,820 37
   Jackson 17 17 4,231 5,609 61
   Jasper 22 22 9,396 10,346 61
   Jefferson 13 13 3,600 4,388 40
   Johnson 58 58 22,287 40,431 295
   Jones 18 18 4,809 5,007 53
   Keokuk 17 17 3,110 2,285 30
   Kossuth 23 23 5,022 4,115 47
   Lee 24 24 7,303 9,701 85
   Linn 87 87 49,243 59,995 420
   Louisa 11 11 2,535 2,239 19
   Lucas 9 9 2,534 1,983 0
   Lyon 9 9 4,732 1,295 30
   Madison 11 11 4,519 3,346 39
   Mahaska 18 18 6,826 3,763 39
   Marion 22 22 9,971 6,564 69
   Marshall 20 20 9,481 9,316 75
   Mills 12 12 4,538 2,296 48
   Mitchell 15 15 2,629 2,758 31
   Monona 17 17 2,561 2,387 25
   Monroe 11 11 2,066 1,854 13
   Montgomery 14 14 3,560 1,862 34
   Muscatine 28 28 8,936 9,397 65
   OBrien 10 10 5,318 2,321 36
   Osceola 10 10 2,286 932 15
   Page 13 13 5,214 2,199 34
   Palo Alto 19 19 2,665 2,479 19
   Plymouth 14 14 7,778 4,251 53
   Pocahontas 12 12 2,440 1,822 18
   Polk 184 184 95,056 103,774 554
   Pottawattamie 47 47 23,521 16,410 180
   Poweshiek 22 22 4,933 4,999 26
   Ringgold 9 9 1,465 1,284 7
   Sac 10 10 3,118 2,208 19
   Scott 64 64 39,750 41,738 282
   Shelby 17 17 4,240 2,333 31
   Sioux 22 22 14,167 2,247 41
   Story 44 44 20,716 23,082 218
   Tama 17 17 4,434 4,471 25
   Taylor 10 10 1,900 1,245 11
   Union 10 10 3,143 2,738 32
   Van Buren 10 10 2,204 1,556 19
   Wapello 25 25 7,234 8,996 96
   Warren 26 26 12,130 10,699 70
   Washington 14 14 5,955 4,540 58
   Wayne 11 11 1,724 1,373 6
   Webster 34 34 8,906 9,468 53
   Winnebago 17 17 3,168 2,691 28
   Winneshiek 28 28 5,308 5,332 52
   Woodbury 45 45 22,274 21,191 142
   Worth 10 10 1,790 2,277 27
   Wright 13 13 3,625 2,922 18
