County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Ada;146;146;93870;58230;0;
Adams;6;6;1468;555;0;
Bannock;54;54;21479;12903;0;
Bear Lake;14;14;2506;494;0;
Benewah;11;11;2823;1148;0;
Bingham;22;22;12734;3605;0;
Blaine;15;15;4034;5992;0;
Boise;7;7;2501;970;0;
Bonner;33;33;10697;6649;0;
Bonneville;52;52;30047;8352;0;
Boundary;7;7;3012;1268;0;
Butte;4;4;1078;321;0;
Camas;2;2;450;139;0;
Canyon;53;53;41599;13415;0;
Caribou;10;10;2753;491;0;
Cassia;26;26;6562;1153;0;
Clark;3;3;302;46;0;
Clearwater;15;15;2839;1117;0;
Custer;10;10;1762;559;0;
Elmore;18;18;5940;1931;0;
Franklin;17;17;4527;456;0;
Fremont;15;15;4965;751;0;
Gem;14;14;5415;1628;0;
Gooding;8;8;3973;1278;0;
Idaho County;27;27;6017;1686;0;
Jefferson;18;18;7703;1084;0;
Jerome;11;11;5177;1344;0;
Kootenai;75;75;36173;17584;0;
Latah;33;33;8686;8430;0;
Lemhi;14;14;3079;915;0;
Lewis;8;8;1359;440;0;
Lincoln;6;6;1388;466;0;
Madison;20;20;10693;826;0;
Minidoka;12;12;5797;1331;0;
Nez Perce;37;37;11009;6476;0;
Oneida;6;6;1789;304;0;
Owyhee;13;13;2859;685;0;
Payette;11;11;6256;1848;0;
Power;7;7;2105;829;0;
Shoshone;19;19;2921;2331;0;
Teton;3;3;2235;1614;0;
Twin Falls;47;47;19535;6400;0;
Valley;9;9;2863;1843;0;
Washington;11;11;3274;1033;0;
