   County Total Precincts Precincts Reporting Bush Kerry Nader
   Ada 146 146 93,870 58,230 0
   Adams 6 6 1,468 555 0
   Bannock 54 54 21,479 12,903 0
   Bear Lake 14 14 2,506 494 0
   Benewah 11 11 2,823 1,148 0
   Bingham 22 22 12,734 3,605 0
   Blaine 15 15 4,034 5,992 0
   Boise 7 7 2,501 970 0
   Bonner 33 33 10,697 6,649 0
   Bonneville 52 52 30,047 8,352 0
   Boundary 7 7 3,012 1,268 0
   Butte 4 4 1,078 321 0
   Camas 2 2 450 139 0
   Canyon 53 53 41,599 13,415 0
   Caribou 10 10 2,753 491 0
   Cassia 26 26 6,562 1,153 0
   Clark 3 3 302 46 0
   Clearwater 15 15 2,839 1,117 0
   Custer 10 10 1,762 559 0
   Elmore 18 18 5,940 1,931 0
   Franklin 17 17 4,527 456 0
   Fremont 15 15 4,965 751 0
   Gem 14 14 5,415 1,628 0
   Gooding 8 8 3,973 1,278 0
   Idaho County 27 27 6,017 1,686 0
   Jefferson 18 18 7,703 1,084 0
   Jerome 11 11 5,177 1,344 0
   Kootenai 75 75 36,173 17,584 0
   Latah 33 33 8,686 8,430 0
   Lemhi 14 14 3,079 915 0
   Lewis 8 8 1,359 440 0
   Lincoln 6 6 1,388 466 0
   Madison 20 20 10,693 826 0
   Minidoka 12 12 5,797 1,331 0
   Nez Perce 37 37 11,009 6,476 0
   Oneida 6 6 1,789 304 0
   Owyhee 13 13 2,859 685 0
   Payette 11 11 6,256 1,848 0
   Power 7 7 2,105 829 0
   Shoshone 19 19 2,921 2,331 0
   Teton 3 3 2,235 1,614 0
   Twin Falls 47 47 19,535 6,400 0
   Valley 9 9 2,863 1,843 0
   Washington 11 11 3,274 1,033 0
