County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;80;80;20788;10467;0;
Alexander;11;11;1823;1978;0;
Bond;25;25;4068;3228;0;
Boone;38;38;11132;8286;0;
Brown;14;14;1678;891;0;
Bureau;51;51;9822;7961;0;
Calhoun;8;8;1317;1367;0;
Carroll;22;22;4534;3537;0;
Cass;21;21;3163;2492;0;
Champaign;117;117;39865;41455;0;
Christian;30;30;9042;6111;0;
Clark;23;23;5082;2877;0;
Clay;22;22;4416;2101;0;
Clinton;39;39;10205;6792;0;
Coles;44;44;13013;9564;0;
Cook;5111;5106;583774;1389631;0;
Crawford;24;24;6081;3192;0;
Cumberland;12;12;3497;1862;0;
DeKalb;81;81;21095;19263;0;
DeWitt;23;23;4920;2836;0;
Douglas;20;20;5702;2767;0;
DuPage;733;732;203195;168363;0;
Edgar;29;29;5256;3093;0;
Edwards;12;12;2412;930;0;
Effingham;37;37;11769;4382;0;
Fayette;32;32;5879;3570;0;
Ford;22;22;4511;1912;0;
Franklin;35;35;10385;8815;0;
Fulton;57;57;7818;9080;0;
Gallatin;13;13;1619;1577;0;
Greene;24;24;3557;2455;0;
Grundy;39;39;11191;8462;0;
Hamilton;18;18;2653;1814;0;
Hancock;35;35;5837;3975;0;
Hardin;7;7;1501;923;0;
Henderson;13;13;1857;2269;0;
Henry;52;52;13212;11877;0;
Iroquois;37;37;9909;3828;0;
Jackson;61;61;11182;14275;0;
Jasper;16;16;3529;1781;0;
Jefferson;37;37;10158;6712;0;
Jersey;25;25;5434;4596;0;
JoDaviess;29;29;6171;5310;0;
Johnson;17;17;3997;1813;0;
Kane;295;295;94010;75625;0;
Kankakee;88;88;24717;19989;0;
Kendall;61;61;19104;11931;0;
Knox;61;61;11104;13396;0;
Lake;458;458;139006;134231;0;
LaSalle;128;128;26091;24251;0;
Lawrence;27;27;4160;2518;0;
Lee;49;49;9304;6415;0;
Livingston;52;52;10316;5632;0;
Logan;45;45;9108;4271;0;
Macon;87;87;28077;23293;0;
Macoupin;61;61;11413;11193;0;
Madison;232;232;59262;63269;0;
Marion;48;48;9410;7691;0;
Marshall;16;16;3732;2806;0;
Mason;24;24;3907;3215;0;
Massac;17;17;4578;2804;0;
McDonough;31;31;7645;7109;0;
McHenry;200;200;76371;50294;0;
McLean;110;110;41265;29865;0;
Menard;16;16;4406;2137;0;
Mercer;28;28;4403;4512;0;
Monroe;37;37;9458;6783;0;
Montgomery;42;42;6851;5979;0;
Morgan;40;40;9392;5650;0;
Moultrie;18;18;4026;2388;0;
Ogle;52;52;14918;9018;0;
Peoria;146;146;40968;41062;0;
Perry;27;27;5588;4769;0;
Piatt;16;16;5392;3124;0;
Pike;34;34;5030;2847;0;
Pope;6;6;1500;918;0;
Pulaski;11;11;1720;1372;0;
Putnam;8;8;1623;1704;0;
Randolph;37;37;8073;6765;0;
Richland;22;22;5152;2528;0;
Rock Island;120;120;29661;39879;0;
Saline;43;43;7056;4697;0;
Sangamon;246;246;55824;38564;0;
Schuyler;17;17;2402;1593;0;
Scott;10;10;1696;927;0;
Shelby;33;33;6749;3744;0;
St Clair;225;225;50149;62355;0;
Stark;11;11;1841;1189;0;
Stephenson;46;46;12204;8909;0;
Tazewell;130;130;36037;25803;0;
Union;20;20;5325;3730;0;
Vermilion;98;98;18723;14721;0;
Wabash;16;16;4210;1751;0;
Warren;28;28;4474;3938;0;
Washington;24;24;5072;2986;0;
Wayne;28;28;6102;2139;0;
White;27;27;5180;3071;0;
Whiteside;60;60;12949;13713;0;
Will;391;391;128983;115499;0;
Williamson;65;65;18080;11677;0;
Winnebago;241;241;58887;58054;0;
Woodford;35;35;12682;5994;0;
