   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 80 80 20,788 10,467 0
   Alexander 11 11 1,823 1,978 0
   Bond 25 25 4,068 3,228 0
   Boone 38 38 11,132 8,286 0
   Brown 14 14 1,678 891 0
   Bureau 51 51 9,822 7,961 0
   Calhoun 8 8 1,317 1,367 0
   Carroll 22 22 4,534 3,537 0
   Cass 21 21 3,163 2,492 0
   Champaign 117 117 39,865 41,455 0
   Christian 30 30 9,042 6,111 0
   Clark 23 23 5,082 2,877 0
   Clay 22 22 4,416 2,101 0
   Clinton 39 39 10,205 6,792 0
   Coles 44 44 13,013 9,564 0
   Cook 5,111 5,106 583,774 1,389,631 0
   Crawford 24 24 6,081 3,192 0
   Cumberland 12 12 3,497 1,862 0
   DeKalb 81 81 21,095 19,263 0
   DeWitt 23 23 4,920 2,836 0
   Douglas 20 20 5,702 2,767 0
   DuPage 733 732 203,195 168,363 0
   Edgar 29 29 5,256 3,093 0
   Edwards 12 12 2,412 930 0
   Effingham 37 37 11,769 4,382 0
   Fayette 32 32 5,879 3,570 0
   Ford 22 22 4,511 1,912 0
   Franklin 35 35 10,385 8,815 0
   Fulton 57 57 7,818 9,080 0
   Gallatin 13 13 1,619 1,577 0
   Greene 24 24 3,557 2,455 0
   Grundy 39 39 11,191 8,462 0
   Hamilton 18 18 2,653 1,814 0
   Hancock 35 35 5,837 3,975 0
   Hardin 7 7 1,501 923 0
   Henderson 13 13 1,857 2,269 0
   Henry 52 52 13,212 11,877 0
   Iroquois 37 37 9,909 3,828 0
   Jackson 61 61 11,182 14,275 0
   Jasper 16 16 3,529 1,781 0
   Jefferson 37 37 10,158 6,712 0
   Jersey 25 25 5,434 4,596 0
   JoDaviess 29 29 6,171 5,310 0
   Johnson 17 17 3,997 1,813 0
   Kane 295 295 94,010 75,625 0
   Kankakee 88 88 24,717 19,989 0
   Kendall 61 61 19,104 11,931 0
   Knox 61 61 11,104 13,396 0
   Lake 458 458 139,006 134,231 0
   LaSalle 128 128 26,091 24,251 0
   Lawrence 27 27 4,160 2,518 0
   Lee 49 49 9,304 6,415 0
   Livingston 52 52 10,316 5,632 0
   Logan 45 45 9,108 4,271 0
   Macon 87 87 28,077 23,293 0
   Macoupin 61 61 11,413 11,193 0
   Madison 232 232 59,262 63,269 0
   Marion 48 48 9,410 7,691 0
   Marshall 16 16 3,732 2,806 0
   Mason 24 24 3,907 3,215 0
   Massac 17 17 4,578 2,804 0
   McDonough 31 31 7,645 7,109 0
   McHenry 200 200 76,371 50,294 0
   McLean 110 110 41,265 29,865 0
   Menard 16 16 4,406 2,137 0
   Mercer 28 28 4,403 4,512 0
   Monroe 37 37 9,458 6,783 0
   Montgomery 42 42 6,851 5,979 0
   Morgan 40 40 9,392 5,650 0
   Moultrie 18 18 4,026 2,388 0
   Ogle 52 52 14,918 9,018 0
   Peoria 146 146 40,968 41,062 0
   Perry 27 27 5,588 4,769 0
   Piatt 16 16 5,392 3,124 0
   Pike 34 34 5,030 2,847 0
   Pope 6 6 1,500 918 0
   Pulaski 11 11 1,720 1,372 0
   Putnam 8 8 1,623 1,704 0
   Randolph 37 37 8,073 6,765 0
   Richland 22 22 5,152 2,528 0
   Rock Island 120 120 29,661 39,879 0
   Saline 43 43 7,056 4,697 0
   Sangamon 246 246 55,824 38,564 0
   Schuyler 17 17 2,402 1,593 0
   Scott 10 10 1,696 927 0
   Shelby 33 33 6,749 3,744 0
   St. Clair 225 225 50,149 62,355 0
   Stark 11 11 1,841 1,189 0
   Stephenson 46 46 12,204 8,909 0
   Tazewell 130 130 36,037 25,803 0
   Union 20 20 5,325 3,730 0
   Vermilion 98 98 18,723 14,721 0
   Wabash 16 16 4,210 1,751 0
   Warren 28 28 4,474 3,938 0
   Washington 24 24 5,072 2,986 0
   Wayne 28 28 6,102 2,139 0
   White 27 27 5,180 3,071 0
   Whiteside 60 60 12,949 13,713 0
   Will 391 391 128,983 115,499 0
   Williamson 65 65 18,080 11,677 0
   Winnebago 241 241 58,887 58,054 0
   Woodford 35 35 12,682 5,994 0
