County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;30;30;9733;3512;0;
Allen;232;232;81586;46385;0;
Bartholomew;67;67;19093;9191;0;
Benton;15;15;2797;1135;0;
Blackford;12;12;3447;1903;0;
Boone;47;47;17055;5636;0;
Brown;12;12;4511;2729;0;
Carroll;19;19;5863;2689;0;
Cass;39;39;9432;4290;0;
Clark;75;75;24495;17648;0;
Clay;23;23;7361;3333;0;
Clinton;39;39;8470;3334;0;
Crawford;17;17;2609;1932;0;
Daviess;28;28;7934;2573;0;
Dearborn;45;45;14231;6596;0;
Decatur;20;20;7499;2621;0;
DeKalb;39;39;10141;4696;0;
Delaware;75;75;27053;20429;0;
Dubois;37;37;11726;5210;0;
Elkhart;105;105;42933;17947;0;
Fayette;28;28;5761;3626;0;
Floyd;60;60;19877;13857;0;
Fountain;22;22;5260;2477;0;
Franklin;24;24;6978;2299;0;
Fulton;17;17;6027;2607;0;
Gibson;38;38;9133;5378;0;
Grant;65;65;18769;8509;0;
Greene;32;32;8666;4589;0;
Hamilton;165;165;77883;26387;0;
Hancock;38;38;20710;6891;0;
Harrison;35;35;11015;6171;0;
Hendricks;87;87;38430;13548;0;
Henry;42;42;13136;7176;0;
Howard;67;67;23714;12998;0;
Huntington;34;34;11615;3877;0;
Jackson;33;33;11079;5092;0;
Jasper;29;29;8055;3678;0;
Jay;21;21;5425;2740;0;
Jefferson;26;26;7763;5117;0;
Jennings;25;25;6864;3538;0;
Johnson;104;104;37765;13109;0;
Knox;36;36;9988;5647;0;
Kosciusko;65;65;22136;5977;0;
LaGrange;16;16;6430;2523;0;
Lake;549;540;68512;108219;0;
LaPorte;74;74;20916;21114;0;
Lawrence;39;39;12207;5346;0;
Madison;110;110;32526;21882;0;
Marion;915;915;155843;161957;0;
Marshall;28;28;12074;5593;0;
Martin;18;18;3414;1522;0;
Miami;31;31;9548;3867;0;
Monroe;96;96;22832;26962;0;
Montgomery;27;27;10901;3536;0;
Morgan;48;48;19176;6640;0;
Newton;18;18;3756;2032;0;
Noble;29;29;10859;4696;0;
Ohio;11;11;1794;1139;0;
Orange;22;22;5683;2885;0;
Owen;19;19;5000;2536;0;
Parke;17;17;4550;2362;0;
Perry;21;21;4136;4210;0;
Pike;18;18;3745;2418;0;
Porter;124;124;34688;29313;0;
Posey;33;33;7829;4084;0;
Pulaski;15;15;3797;1750;0;
Putnam;29;29;8906;4099;0;
Randolph;25;25;7172;3812;0;
Ripley;27;27;8224;3510;0;
Rush;20;20;5362;1999;0;
Scott;16;16;4793;3822;0;
Shelby;39;39;11397;4519;0;
Spencer;24;24;5922;3917;0;
St Joseph;218;218;55254;52637;0;
Starke;21;21;4846;3987;0;
Steuben;19;19;8431;4345;0;
Sullivan;20;20;4999;3341;0;
Switzerland;12;12;2161;1479;0;
Tippecanoe;82;82;30729;20683;0;
Tipton;16;16;5545;2202;0;
Union;10;10;2266;1045;0;
Vanderburgh;139;139;41463;28767;0;
Vermillion;17;17;3738;3583;0;
Vigo;87;87;20988;18426;0;
Wabash;25;25;9402;3812;0;
Warren;13;13;2565;1356;0;
Warrick;59;59;16930;8980;0;
Washington;22;22;6915;3879;0;
Wayne;58;58;16586;10775;0;
Wells;22;22;9163;3106;0;
White;23;23;6974;3277;0;
Whitley;34;34;9510;3878;0;
