   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 30 30 9,733 3,512 0
   Allen 232 232 81,586 46,385 0
   Bartholomew 67 67 19,093 9,191 0
   Benton 15 15 2,797 1,135 0
   Blackford 12 12 3,447 1,903 0
   Boone 47 47 17,055 5,636 0
   Brown 12 12 4,511 2,729 0
   Carroll 19 19 5,863 2,689 0
   Cass 39 39 9,432 4,290 0
   Clark 75 75 24,495 17,648 0
   Clay 23 23 7,361 3,333 0
   Clinton 39 39 8,470 3,334 0
   Crawford 17 17 2,609 1,932 0
   Daviess 28 28 7,934 2,573 0
   Dearborn 45 45 14,231 6,596 0
   Decatur 20 20 7,499 2,621 0
   DeKalb 39 39 10,141 4,696 0
   Delaware 75 75 27,053 20,429 0
   Dubois 37 37 11,726 5,210 0
   Elkhart 105 105 42,933 17,947 0
   Fayette 28 28 5,761 3,626 0
   Floyd 60 60 19,877 13,857 0
   Fountain 22 22 5,260 2,477 0
   Franklin 24 24 6,978 2,299 0
   Fulton 17 17 6,027 2,607 0
   Gibson 38 38 9,133 5,378 0
   Grant 65 65 18,769 8,509 0
   Greene 32 32 8,666 4,589 0
   Hamilton 165 165 77,883 26,387 0
   Hancock 38 38 20,710 6,891 0
   Harrison 35 35 11,015 6,171 0
   Hendricks 87 87 38,430 13,548 0
   Henry 42 42 13,136 7,176 0
   Howard 67 67 23,714 12,998 0
   Huntington 34 34 11,615 3,877 0
   Jackson 33 33 11,079 5,092 0
   Jasper 29 29 8,055 3,678 0
   Jay 21 21 5,425 2,740 0
   Jefferson 26 26 7,763 5,117 0
   Jennings 25 25 6,864 3,538 0
   Johnson 104 104 37,765 13,109 0
   Knox 36 36 9,988 5,647 0
   Kosciusko 65 65 22,136 5,977 0
   LaGrange 16 16 6,430 2,523 0
   Lake 549 540 68,512 108,219 0
   LaPorte 74 74 20,916 21,114 0
   Lawrence 39 39 12,207 5,346 0
   Madison 110 110 32,526 21,882 0
   Marion 915 915 155,843 161,957 0
   Marshall 28 28 12,074 5,593 0
   Martin 18 18 3,414 1,522 0
   Miami 31 31 9,548 3,867 0
   Monroe 96 96 22,832 26,962 0
   Montgomery 27 27 10,901 3,536 0
   Morgan 48 48 19,176 6,640 0
   Newton 18 18 3,756 2,032 0
   Noble 29 29 10,859 4,696 0
   Ohio 11 11 1,794 1,139 0
   Orange 22 22 5,683 2,885 0
   Owen 19 19 5,000 2,536 0
   Parke 17 17 4,550 2,362 0
   Perry 21 21 4,136 4,210 0
   Pike 18 18 3,745 2,418 0
   Porter 124 124 34,688 29,313 0
   Posey 33 33 7,829 4,084 0
   Pulaski 15 15 3,797 1,750 0
   Putnam 29 29 8,906 4,099 0
   Randolph 25 25 7,172 3,812 0
   Ripley 27 27 8,224 3,510 0
   Rush 20 20 5,362 1,999 0
   Scott 16 16 4,793 3,822 0
   Shelby 39 39 11,397 4,519 0
   Spencer 24 24 5,922 3,917 0
   St. Joseph 218 218 55,254 52,637 0
   Starke 21 21 4,846 3,987 0
   Steuben 19 19 8,431 4,345 0
   Sullivan 20 20 4,999 3,341 0
   Switzerland 12 12 2,161 1,479 0
   Tippecanoe 82 82 30,729 20,683 0
   Tipton 16 16 5,545 2,202 0
   Union 10 10 2,266 1,045 0
   Vanderburgh 139 139 41,463 28,767 0
   Vermillion 17 17 3,738 3,583 0
   Vigo 87 87 20,988 18,426 0
   Wabash 25 25 9,402 3,812 0
   Warren 13 13 2,565 1,356 0
   Warrick 59 59 16,930 8,980 0
   Washington 22 22 6,915 3,879 0
   Wayne 58 58 16,586 10,775 0
   Wells 22 22 9,163 3,106 0
   White 23 23 6,974 3,277 0
   Whitley 34 34 9,510 3,878 0
