County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Allen;21;21;3808;1885;53;
Anderson;18;18;2490;1291;40;
Atchison;17;17;3769;3028;62;
Barber;23;23;1754;585;19;
Barton;40;40;8545;2837;106;
Bourbon;20;20;4268;2167;62;
Brown;19;19;3034;1234;33;
Butler;45;45;18069;7307;170;
Chase;11;11;1043;413;12;
Chautauqua;15;15;1496;400;10;
Cherokee;39;39;6045;3694;69;
Cheyenne;9;9;1346;317;9;
Clark;7;7;998;254;8;
Clay;23;23;3119;777;21;
Cloud;27;27;3134;1179;42;
Coffey;17;17;3204;1076;33;
Comanche;5;5;765;198;3;
Cowley;57;57;9237;4747;118;
Crawford;51;51;8423;7470;176;
Decatur;28;28;1354;355;20;
Dickinson;32;32;6186;2316;70;
Doniphan;14;14;2460;1049;25;
Douglas;68;68;19923;27282;586;
Edwards;16;16;1072;383;18;
Elk;11;11;1114;367;17;
Ellis;31;31;7683;3938;151;
Ellsworth;26;26;2246;794;22;
Finney;30;30;7361;2303;62;
Ford;25;25;6460;2212;61;
Franklin;26;26;7278;3874;102;
Geary;39;39;4553;2436;56;
Gove;10;10;1182;245;12;
Graham;16;16;1067;330;10;
Grant;5;5;2082;549;11;
Gray;7;7;1730;387;17;
Greeley;4;4;577;137;9;
Greenwood;19;19;2247;899;30;
Hamilton;12;12;874;222;5;
Harper;12;12;2123;717;28;
Harvey;33;33;9364;5237;170;
Haskell;8;8;1309;221;10;
Hodgeman;11;11;949;222;6;
Jackson;19;19;3682;2026;44;
Jefferson;14;14;5345;3226;78;
Jewell;26;26;1494;384;13;
Johnson;415;415;153718;95002;1368;
Kearny;10;10;1160;272;4;
Kingman;28;28;2795;902;27;
Kiowa;6;6;1248;253;18;
Labette;37;37;5345;3582;76;
Lane;12;12;815;179;4;
Leavenworth;44;44;15609;10802;182;
Lincoln;23;23;1350;390;23;
Linn;14;14;2954;1592;36;
Logan;13;13;1252;248;13;
Lyon;39;39;7604;5003;146;
Marion;32;32;4393;1496;66;
Marshall;31;31;3217;1754;39;
McPherson;33;33;9395;3538;109;
Meade;9;9;1721;349;12;
Miami;30;30;8645;4681;85;
Mitchell;25;25;2577;687;25;
Montgomery;48;48;9435;4254;97;
Morris;16;16;1945;921;28;
Morton;11;11;1258;275;5;
Nemaha;30;30;3966;1336;39;
Neosho;25;25;4530;2318;66;
Ness;11;11;1387;379;16;
Norton;12;12;2069;472;21;
Osage;24;24;4698;2482;74;
Osborne;30;30;1552;444;25;
Ottawa;24;24;2330;595;26;
Pawnee;25;25;2144;759;26;
Phillips;28;28;2206;550;20;
Pottawatomie;28;28;6210;2147;89;
Pratt;13;13;3075;1181;37;
Rawlins;18;18;1408;288;7;
Reno;79;79;17139;8739;263;
Republic;24;24;2205;601;20;
Rice;26;26;3124;1116;39;
Riley;41;41;12415;7774;218;
Rooks;15;15;2116;529;37;
Rush;14;14;1224;516;27;
Russell;17;17;2628;795;24;
Saline;53;53;14758;7365;245;
Scott;11;11;1897;339;17;
Sedgwick;213;213;105413;61418;1276;
Seward;23;23;4144;1086;23;
Shawnee;190;190;43467;35438;663;
Sheridan;15;15;1133;232;16;
Sherman;19;19;2063;630;24;
Smith;26;26;1786;538;27;
Stafford;24;24;1636;506;20;
Stanton;4;4;780;160;4;
Stevens;12;12;1912;308;12;
Sumner;41;41;6997;3163;90;
Thomas;19;19;2959;804;27;
Trego;12;12;1219;434;21;
Wabaunsee;14;14;2464;982;35;
Wallace;6;6;741;112;13;
Washington;27;27;2436;632;31;
Wichita;4;4;861;183;6;
Wilson;24;24;3204;1037;39;
Woodson;9;9;1201;527;19;
Wyandotte;159;159;17312;32781;322;
