   County Total Precincts Precincts Reporting Bush Kerry Nader
   Allen 21 21 3,808 1,885 53
   Anderson 18 18 2,490 1,291 40
   Atchison 17 17 3,769 3,028 62
   Barber 23 23 1,754 585 19
   Barton 40 40 8,545 2,837 106
   Bourbon 20 20 4,268 2,167 62
   Brown 19 19 3,034 1,234 33
   Butler 45 45 18,069 7,307 170
   Chase 11 11 1,043 413 12
   Chautauqua 15 15 1,496 400 10
   Cherokee 39 39 6,045 3,694 69
   Cheyenne 9 9 1,346 317 9
   Clark 7 7 998 254 8
   Clay 23 23 3,119 777 21
   Cloud 27 27 3,134 1,179 42
   Coffey 17 17 3,204 1,076 33
   Comanche 5 5 765 198 3
   Cowley 57 57 9,237 4,747 118
   Crawford 51 51 8,423 7,470 176
   Decatur 28 28 1,354 355 20
   Dickinson 32 32 6,186 2,316 70
   Doniphan 14 14 2,460 1,049 25
   Douglas 68 68 19,923 27,282 586
   Edwards 16 16 1,072 383 18
   Elk 11 11 1,114 367 17
   Ellis 31 31 7,683 3,938 151
   Ellsworth 26 26 2,246 794 22
   Finney 30 30 7,361 2,303 62
   Ford 25 25 6,460 2,212 61
   Franklin 26 26 7,278 3,874 102
   Geary 39 39 4,553 2,436 56
   Gove 10 10 1,182 245 12
   Graham 16 16 1,067 330 10
   Grant 5 5 2,082 549 11
   Gray 7 7 1,730 387 17
   Greeley 4 4 577 137 9
   Greenwood 19 19 2,247 899 30
   Hamilton 12 12 874 222 5
   Harper 12 12 2,123 717 28
   Harvey 33 33 9,364 5,237 170
   Haskell 8 8 1,309 221 10
   Hodgeman 11 11 949 222 6
   Jackson 19 19 3,682 2,026 44
   Jefferson 14 14 5,345 3,226 78
   Jewell 26 26 1,494 384 13
   Johnson 415 415 153,718 95,002 1,368
   Kearny 10 10 1,160 272 4
   Kingman 28 28 2,795 902 27
   Kiowa 6 6 1,248 253 18
   Labette 37 37 5,345 3,582 76
   Lane 12 12 815 179 4
   Leavenworth 44 44 15,609 10,802 182
   Lincoln 23 23 1,350 390 23
   Linn 14 14 2,954 1,592 36
   Logan 13 13 1,252 248 13
   Lyon 39 39 7,604 5,003 146
   Marion 32 32 4,393 1,496 66
   Marshall 31 31 3,217 1,754 39
   McPherson 33 33 9,395 3,538 109
   Meade 9 9 1,721 349 12
   Miami 30 30 8,645 4,681 85
   Mitchell 25 25 2,577 687 25
   Montgomery 48 48 9,435 4,254 97
   Morris 16 16 1,945 921 28
   Morton 11 11 1,258 275 5
   Nemaha 30 30 3,966 1,336 39
   Neosho 25 25 4,530 2,318 66
   Ness 11 11 1,387 379 16
   Norton 12 12 2,069 472 21
   Osage 24 24 4,698 2,482 74
   Osborne 30 30 1,552 444 25
   Ottawa 24 24 2,330 595 26
   Pawnee 25 25 2,144 759 26
   Phillips 28 28 2,206 550 20
   Pottawatomie 28 28 6,210 2,147 89
   Pratt 13 13 3,075 1,181 37
   Rawlins 18 18 1,408 288 7
   Reno 79 79 17,139 8,739 263
   Republic 24 24 2,205 601 20
   Rice 26 26 3,124 1,116 39
   Riley 41 41 12,415 7,774 218
   Rooks 15 15 2,116 529 37
   Rush 14 14 1,224 516 27
   Russell 17 17 2,628 795 24
   Saline 53 53 14,758 7,365 245
   Scott 11 11 1,897 339 17
   Sedgwick 213 213 105,413 61,418 1,276
   Seward 23 23 4,144 1,086 23
   Shawnee 190 190 43,467 35,438 663
   Sheridan 15 15 1,133 232 16
   Sherman 19 19 2,063 630 24
   Smith 26 26 1,786 538 27
   Stafford 24 24 1,636 506 20
   Stanton 4 4 780 160 4
   Stevens 12 12 1,912 308 12
   Sumner 41 41 6,997 3,163 90
   Thomas 19 19 2,959 804 27
   Trego 12 12 1,219 434 21
   Wabaunsee 14 14 2,464 982 35
   Wallace 6 6 741 112 13
   Washington 27 27 2,436 632 31
   Wichita 4 4 861 183 6
   Wilson 24 24 3,204 1,037 39
   Woodson 9 9 1,201 527 19
   Wyandotte 159 159 17,312 32,781 322
