County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adair;16;16;5628;1764;35;
Allen;13;13;5202;1923;28;
Anderson;14;14;6363;3141;62;
Ballard;13;13;2389;1759;15;
Barren;24;24;10822;5216;63;
Bath;12;12;2269;2608;29;
Bell;34;34;6722;4210;48;
Boone;54;54;32329;12391;189;
Bourbon;18;18;4953;3198;46;
Boyd;47;47;11501;10132;99;
Boyle;25;25;7764;4646;52;
Bracken;8;8;2363;1213;19;
Breathitt;21;21;2542;3328;36;
Breckinridge;15;15;5580;2884;38;
Bullitt;42;42;19433;9043;106;
Butler;12;12;4109;1436;20;
Caldwell;13;13;4066;2245;23;
Calloway;28;28;9289;5726;96;
Campbell;65;65;25539;14252;212;
Carlisle;7;7;1734;1102;7;
Carroll;11;11;2175;1688;25;
Carter;23;23;5422;5577;72;
Casey;15;15;5109;1174;22;
Christian;46;46;13938;6980;74;
Clark;25;25;9540;5661;69;
Clay;20;20;5726;1901;31;
Clinton;13;13;3369;952;19;
Crittenden;12;12;2726;1438;21;
Cumberland;9;9;2356;848;18;
Daviess;85;85;25372;15788;211;
Edmonson;10;10;3595;1856;17;
Elliott;7;7;871;2064;15;
Estill;15;15;3633;1907;24;
Fayette;251;251;66399;57989;750;
Fleming;18;18;3749;2406;29;
Floyd;42;42;6612;11132;88;
Franklin;44;44;12281;11620;160;
Fulton;13;13;1527;1340;15;
Gallatin;8;8;1869;1188;7;
Garrard;13;13;4784;1841;18;
Grant;21;21;5951;2818;44;
Graves;30;30;9903;6206;82;
Grayson;23;23;7170;2905;39;
Green;10;10;3866;1312;14;
Greenup;32;32;8696;7630;62;
Hancock;10;10;2286;1709;19;
Hardin;55;55;24627;11507;207;
Harlan;35;35;6659;4400;60;
Harrison;17;17;4855;2807;48;
Hart;19;19;4269;2470;31;
Henderson;38;38;10467;8101;87;
Henry;19;19;4094;2366;24;
Hickman;6;6;1395;926;15;
Hopkins;40;40;12314;6420;75;
Jackson;14;14;4369;769;21;
Jefferson;506;506;164547;170114;1784;
Jessamine;33;33;12972;5476;77;
Johnson;31;31;5940;3288;45;
Kenton;107;107;43664;22834;391;
Knott;30;30;2648;4685;23;
Knox;30;30;8108;3822;68;
LaRue;12;12;4111;1823;27;
Laurel;43;43;16819;5297;85;
Lawrence;18;18;3755;2705;41;
Lee;10;10;2018;878;14;
Leslie;17;17;3661;1266;23;
Letcher;32;32;4801;4192;41;
Lewis;14;14;3778;1667;26;
Lincoln;17;17;5996;2796;35;
Livingston;10;10;2675;2007;14;
Logan;20;20;6815;3768;32;
Lyon;6;6;2132;1769;19;
Madison;56;56;18922;11525;178;
Magoffin;14;14;2836;2843;19;
Marion;17;17;3905;3399;35;
Marshall;25;25;9049;6383;54;
Martin;14;14;2996;1504;24;
Mason;20;20;4381;2644;36;
McCracken;54;54;18218;11361;119;
McCreary;18;18;4121;1530;28;
McLean;8;8;2584;1823;22;
Meade;18;18;7152;3724;49;
Menifee;6;6;1215;1284;12;
Mercer;17;17;6745;3224;47;
Metcalfe;12;12;2645;1472;30;
Monroe;12;12;4657;1158;16;
Montgomery;17;17;5647;4506;62;
Morgan;12;12;2682;2532;34;
Muhlenberg;27;27;6749;6636;62;
Nelson;27;27;10161;6524;111;
Nicholas;5;5;1700;1332;15;
Ohio;25;25;6311;3627;69;
Oldham;34;34;18801;8080;151;
Owen;13;13;3084;1615;28;
Owsley;8;8;1558;430;8;
Pendleton;12;12;4045;1940;24;
Perry;37;37;6187;5400;50;
Pike;57;57;12611;14002;106;
Powell;11;11;2687;2249;15;
Pulaski;57;57;19535;5829;107;
Robertson;5;5;669;412;5;
Rockcastle;14;14;4804;1320;29;
Rowan;18;18;4063;4556;56;
Russell;16;16;6007;1772;25;
Scott;35;35;10595;6323;86;
Shelby;31;31;10909;5277;83;
Simpson;13;13;4273;2730;26;
Spencer;9;9;4816;1970;26;
Taylor;20;20;7247;2979;45;
Todd;13;13;3242;1491;14;
Trigg;14;14;4023;2046;28;
Trimble;12;12;2332;1428;19;
Union;16;16;3534;2398;31;
Warren;60;60;25100;14326;177;
Washington;14;14;3479;1724;24;
Wayne;19;19;5027;2616;31;
Webster;14;14;3207;2308;29;
Whitley;36;36;9559;3985;55;
Wolfe;8;8;1385;1744;18;
Woodford;16;16;6937;4480;60;
