   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adair 16 16 5,628 1,764 35
   Allen 13 13 5,202 1,923 28
   Anderson 14 14 6,363 3,141 62
   Ballard 13 13 2,389 1,759 15
   Barren 24 24 10,822 5,216 63
   Bath 12 12 2,269 2,608 29
   Bell 34 34 6,722 4,210 48
   Boone 54 54 32,329 12,391 189
   Bourbon 18 18 4,953 3,198 46
   Boyd 47 47 11,501 10,132 99
   Boyle 25 25 7,764 4,646 52
   Bracken 8 8 2,363 1,213 19
   Breathitt 21 21 2,542 3,328 36
   Breckinridge 15 15 5,580 2,884 38
   Bullitt 42 42 19,433 9,043 106
   Butler 12 12 4,109 1,436 20
   Caldwell 13 13 4,066 2,245 23
   Calloway 28 28 9,289 5,726 96
   Campbell 65 65 25,539 14,252 212
   Carlisle 7 7 1,734 1,102 7
   Carroll 11 11 2,175 1,688 25
   Carter 23 23 5,422 5,577 72
   Casey 15 15 5,109 1,174 22
   Christian 46 46 13,938 6,980 74
   Clark 25 25 9,540 5,661 69
   Clay 20 20 5,726 1,901 31
   Clinton 13 13 3,369 952 19
   Crittenden 12 12 2,726 1,438 21
   Cumberland 9 9 2,356 848 18
   Daviess 85 85 25,372 15,788 211
   Edmonson 10 10 3,595 1,856 17
   Elliott 7 7 871 2,064 15
   Estill 15 15 3,633 1,907 24
   Fayette 251 251 66,399 57,989 750
   Fleming 18 18 3,749 2,406 29
   Floyd 42 42 6,612 11,132 88
   Franklin 44 44 12,281 11,620 160
   Fulton 13 13 1,527 1,340 15
   Gallatin 8 8 1,869 1,188 7
   Garrard 13 13 4,784 1,841 18
   Grant 21 21 5,951 2,818 44
   Graves 30 30 9,903 6,206 82
   Grayson 23 23 7,170 2,905 39
   Green 10 10 3,866 1,312 14
   Greenup 32 32 8,696 7,630 62
   Hancock 10 10 2,286 1,709 19
   Hardin 55 55 24,627 11,507 207
   Harlan 35 35 6,659 4,400 60
   Harrison 17 17 4,855 2,807 48
   Hart 19 19 4,269 2,470 31
   Henderson 38 38 10,467 8,101 87
   Henry 19 19 4,094 2,366 24
   Hickman 6 6 1,395 926 15
   Hopkins 40 40 12,314 6,420 75
   Jackson 14 14 4,369 769 21
   Jefferson 506 506 164,547 170,114 1,784
   Jessamine 33 33 12,972 5,476 77
   Johnson 31 31 5,940 3,288 45
   Kenton 107 107 43,664 22,834 391
   Knott 30 30 2,648 4,685 23
   Knox 30 30 8,108 3,822 68
   LaRue 12 12 4,111 1,823 27
   Laurel 43 43 16,819 5,297 85
   Lawrence 18 18 3,755 2,705 41
   Lee 10 10 2,018 878 14
   Leslie 17 17 3,661 1,266 23
   Letcher 32 32 4,801 4,192 41
   Lewis 14 14 3,778 1,667 26
   Lincoln 17 17 5,996 2,796 35
   Livingston 10 10 2,675 2,007 14
   Logan 20 20 6,815 3,768 32
   Lyon 6 6 2,132 1,769 19
   Madison 56 56 18,922 11,525 178
   Magoffin 14 14 2,836 2,843 19
   Marion 17 17 3,905 3,399 35
   Marshall 25 25 9,049 6,383 54
   Martin 14 14 2,996 1,504 24
   Mason 20 20 4,381 2,644 36
   McCracken 54 54 18,218 11,361 119
   McCreary 18 18 4,121 1,530 28
   McLean 8 8 2,584 1,823 22
   Meade 18 18 7,152 3,724 49
   Menifee 6 6 1,215 1,284 12
   Mercer 17 17 6,745 3,224 47
   Metcalfe 12 12 2,645 1,472 30
   Monroe 12 12 4,657 1,158 16
   Montgomery 17 17 5,647 4,506 62
   Morgan 12 12 2,682 2,532 34
   Muhlenberg 27 27 6,749 6,636 62
   Nelson 27 27 10,161 6,524 111
   Nicholas 5 5 1,700 1,332 15
   Ohio 25 25 6,311 3,627 69
   Oldham 34 34 18,801 8,080 151
   Owen 13 13 3,084 1,615 28
   Owsley 8 8 1,558 430 8
   Pendleton 12 12 4,045 1,940 24
   Perry 37 37 6,187 5,400 50
   Pike 57 57 12,611 14,002 106
   Powell 11 11 2,687 2,249 15
   Pulaski 57 57 19,535 5,829 107
   Robertson 5 5 669 412 5
   Rockcastle 14 14 4,804 1,320 29
   Rowan 18 18 4,063 4,556 56
   Russell 16 16 6,007 1,772 25
   Scott 35 35 10,595 6,323 86
   Shelby 31 31 10,909 5,277 83
   Simpson 13 13 4,273 2,730 26
   Spencer 9 9 4,816 1,970 26
   Taylor 20 20 7,247 2,979 45
   Todd 13 13 3,242 1,491 14
   Trigg 14 14 4,023 2,046 28
   Trimble 12 12 2,332 1,428 19
   Union 16 16 3,534 2,398 31
   Warren 60 60 25,100 14,326 177
   Washington 14 14 3,479 1,724 24
   Wayne 19 19 5,027 2,616 31
   Webster 14 14 3,207 2,308 29
   Whitley 36 36 9,559 3,985 55
   Wolfe 8 8 1,385 1,744 18
   Woodford 16 16 6,937 4,480 60
