County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Acadia;63;63;16083;8937;102;
Allen;34;34;5140;3791;43;
Ascension;60;60;24652;13952;168;
Assumption;24;24;4966;5585;48;
Avoyelles;50;50;8302;6976;48;
Beauregard;48;48;9468;3666;36;
Bienville;26;26;3539;3285;20;
Bossier;68;68;29921;12116;108;
Caddo;154;154;54162;51502;218;
Calcasieu;118;118;46058;32844;367;
Caldwell;29;29;3308;1384;10;
Cameron;13;13;3190;1367;23;
Catahoula;31;31;3215;1673;12;
Claiborne;31;31;3704;2854;10;
Concordia;28;28;5426;3446;19;
DeSoto;54;54;6211;5026;17;
East Baton Rouge;300;300;99890;82171;630;
East Carroll;24;24;1357;1980;8;
East Feliciana;24;24;5020;4091;26;
Evangeline;73;73;7949;5757;50;
Franklin;32;32;6140;2828;20;
Grant;23;23;5908;1976;34;
Iberia;59;59;19416;12423;114;
Iberville;45;45;6560;8063;27;
Jackson;36;36;5037;2523;13;
Jeff Davis;45;45;8054;4744;51;
Jefferson;267;267;117692;71936;945;
Lafayette;121;121;57730;31205;358;
Lafourche;72;72;22734;14417;191;
LaSalle;29;29;5012;1154;14;
Lincoln;42;42;10791;7242;41;
Livingston;56;56;33948;9888;116;
Madison;38;38;2291;2334;8;
Morehouse;71;71;7470;5331;32;
Natchitoches;51;51;9260;7396;72;
Orleans;442;442;42760;151686;823;
Ouachita;79;79;41747;22011;148;
Plaquemines;20;20;7865;4181;46;
Pointe Coupee;31;31;5429;5712;26;
Rapides;105;105;34432;18904;177;
Red River;20;20;2507;2140;14;
Richland;40;40;5471;3082;18;
Sabine;44;44;6704;2741;38;
St Bernard;36;36;19596;9956;167;
St Charles;45;45;14747;8895;69;
St Helena;15;15;2235;3173;20;
St James;28;28;4545;6406;29;
St John the Baptist;35;35;8937;10293;74;
St Landry;95;95;18314;18162;96;
St Martin;60;60;12091;10319;77;
St Mary;56;56;12876;9544;68;
St Tammany;149;149;75081;24643;436;
Tangipahoa;89;89;26170;15335;194;
Tensas;22;22;1453;1468;1;
Terrebonne;103;103;26357;13678;159;
Union;46;46;7457;3088;14;
Vermilion;62;62;15069;9085;99;
Vernon;76;76;11030;4035;49;
Washington;41;41;11006;6554;58;
Webster;49;49;11066;6821;48;
West Baton Rouge;21;21;5820;4931;36;
West Carroll;17;17;3730;1231;7;
West Feliciana;18;18;2832;2214;14;
Winn;41;41;4365;2056;10;
