   County Total Precincts Precincts Reporting Bush Kerry Nader
   Acadia 63 63 16,083 8,937 102
   Allen 34 34 5,140 3,791 43
   Ascension 60 60 24,652 13,952 168
   Assumption 24 24 4,966 5,585 48
   Avoyelles 50 50 8,302 6,976 48
   Beauregard 48 48 9,468 3,666 36
   Bienville 26 26 3,539 3,285 20
   Bossier 68 68 29,921 12,116 108
   Caddo 154 154 54,162 51,502 218
   Calcasieu 118 118 46,058 32,844 367
   Caldwell 29 29 3,308 1,384 10
   Cameron 13 13 3,190 1,367 23
   Catahoula 31 31 3,215 1,673 12
   Claiborne 31 31 3,704 2,854 10
   Concordia 28 28 5,426 3,446 19
   DeSoto 54 54 6,211 5,026 17
   East Baton Rouge 300 300 99,890 82,171 630
   East Carroll 24 24 1,357 1,980 8
   East Feliciana 24 24 5,020 4,091 26
   Evangeline 73 73 7,949 5,757 50
   Franklin 32 32 6,140 2,828 20
   Grant 23 23 5,908 1,976 34
   Iberia 59 59 19,416 12,423 114
   Iberville 45 45 6,560 8,063 27
   Jackson 36 36 5,037 2,523 13
   Jeff Davis 45 45 8,054 4,744 51
   Jefferson 267 267 117,692 71,936 945
   Lafayette 121 121 57,730 31,205 358
   Lafourche 72 72 22,734 14,417 191
   LaSalle 29 29 5,012 1,154 14
   Lincoln 42 42 10,791 7,242 41
   Livingston 56 56 33,948 9,888 116
   Madison 38 38 2,291 2,334 8
   Morehouse 71 71 7,470 5,331 32
   Natchitoches 51 51 9,260 7,396 72
   Orleans 442 442 42,760 151,686 823
   Ouachita 79 79 41,747 22,011 148
   Plaquemines 20 20 7,865 4,181 46
   Pointe Coupee 31 31 5,429 5,712 26
   Rapides 105 105 34,432 18,904 177
   Red River 20 20 2,507 2,140 14
   Richland 40 40 5,471 3,082 18
   Sabine 44 44 6,704 2,741 38
   St. Bernard 36 36 19,596 9,956 167
   St. Charles 45 45 14,747 8,895 69
   St. Helena 15 15 2,235 3,173 20
   St. James 28 28 4,545 6,406 29
   St. John the Baptist 35 35 8,937 10,293 74
   St. Landry 95 95 18,314 18,162 96
   St. Martin 60 60 12,091 10,319 77
   St. Mary 56 56 12,876 9,544 68
   St. Tammany 149 149 75,081 24,643 436
   Tangipahoa 89 89 26,170 15,335 194
   Tensas 22 22 1,453 1,468 1
   Terrebonne 103 103 26,357 13,678 159
   Union 46 46 7,457 3,088 14
   Vermilion 62 62 15,069 9,085 99
   Vernon 76 76 11,030 4,035 49
   Washington 41 41 11,006 6,554 58
   Webster 49 49 11,066 6,821 48
   West Baton Rouge 21 21 5,820 4,931 36
   West Carroll 17 17 3,730 1,231 7
   West Feliciana 18 18 2,832 2,214 14
   Winn 41 41 4,365 2,056 10
