County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Abington;4;4;3442;4179;0;
Acton;6;6;3478;7047;0;
Acushnet;3;3;1696;3789;0;
Adams;5;5;972;3042;0;
Agawam;8;8;5971;7683;0;
Alford;1;1;88;205;0;
Amesbury;6;6;3225;4588;0;
Amherst;10;10;1463;9705;0;
Andover;9;9;7883;9177;0;
Aquinnah;1;1;22;270;0;
Arlington;21;21;6422;17821;0;
Ashburnham;1;1;1424;1651;0;
Ashby;1;1;889;829;0;
Ashfield;1;1;236;836;0;
Ashland;4;4;3036;4712;0;
Athol;3;3;2092;2463;0;
Attleboro;12;12;7702;9838;0;
Auburn;5;5;3729;4979;0;
Avon;1;1;1039;1351;0;
Ayer;2;2;1315;1613;0;
Barnstable;13;13;11913;13183;0;
Barre;2;2;1173;1321;0;
Becket;1;1;280;538;0;
Bedford;4;4;2593;4158;0;
Belchertown;4;4;2458;4300;0;
Bellingham;5;5;3388;4354;0;
Belmont;8;8;4274;8923;0;
Berkley;1;1;1357;1541;0;
Berlin;1;1;696;843;0;
Bernardston;1;1;447;762;0;
Beverly;12;12;7785;11513;0;
Billerica;11;11;8422;9399;0;
Blackstone;3;3;1816;2206;0;
Blandford;1;1;322;309;0;
Bolton;1;1;1177;1421;0;
Boston;254;254;44103;158922;0;
Bourne;6;6;4034;4190;0;
Boxborough;1;1;989;1528;0;
Boxford;3;3;2664;2059;0;
Boylston;1;1;1113;1302;0;
Braintree;12;12;7792;10207;0;
Brewster;3;3;2725;3822;0;
Bridgewater;7;7;5499;5561;0;
Brimfield;1;1;893;917;0;
Brockton;28;28;10041;20019;0;
Brookfield;1;1;782;816;0;
Brookline;16;16;5202;21065;0;
Buckland;1;1;312;684;0;
Burlington;6;6;5238;6745;0;
Cambridge;33;33;5275;35241;0;
Canton;6;6;4864;6461;0;
Carlisle;1;1;1124;1946;0;
Carver;3;3;2728;3050;0;
Charlemont;1;1;223;431;0;
Charlton;3;3;2983;1639;0;
Chatham;2;2;2340;2421;0;
Chelmsford;9;9;8478;9670;0;
Chelsea;16;16;1823;5116;0;
Cheshire;1;1;542;1251;0;
Chester;1;1;330;322;0;
Chesterfield;1;1;293;362;0;
Chicopee;26;26;7956;14640;0;
Chilmark;1;1;156;577;0;
Clarksburg;1;1;267;592;0;
Clinton;4;4;2397;3514;0;
Cohasset;2;2;2164;2284;0;
Colrain;1;1;314;545;0;
Concord;5;5;3179;6774;0;
Conway;1;1;309;844;0;
Cummington;1;1;173;370;0;
Dalton;2;2;1039;2446;0;
Danvers;8;8;6086;7046;0;
Dartmouth;10;10;4848;10204;0;
Dedham;7;7;4859;7392;0;
Deerfield;1;1;861;2114;0;
Dennis;5;5;4320;5236;0;
Dighton;1;1;1475;1743;0;
Douglas;2;2;2048;1866;0;
Dover;1;1;1685;1602;0;
Dracut;10;10;6671;6972;0;
Dudley;4;4;2173;2617;0;
Dunstable;1;1;883;842;0;
Duxbury;6;6;4581;4454;0;
East Bridgewater;4;4;3393;3116;0;
East Brookfield;1;1;623;467;0;
East Longmeadow;4;4;3993;4204;0;
Eastham;1;1;1479;2227;0;
Easthampton;5;5;2651;5496;0;
Easton;6;6;5418;5856;0;
Edgartown;1;1;793;1532;0;
Egremont;1;1;199;591;0;
Erving;1;1;263;499;0;
Essex;1;1;954;1123;0;
Everett;18;18;4025;8719;0;
Fairhaven;6;6;2413;5663;0;
Fall River;30;30;7225;23396;0;
Falmouth;9;9;7775;11212;0;
Fitchburg;12;12;5007;8416;0;
Florida;1;1;131;267;0;
Foxborough;5;5;4010;4618;0;
Framingham;18;18;8433;17195;0;
Franklin;8;8;6851;8135;0;
Freetown;3;3;1909;2428;0;
Gardner;11;11;2950;5014;0;
Georgetown;2;2;2088;2095;0;
Gill;1;1;262;618;0;
Gloucester;10;10;5054;9280;0;
Goshen;1;1;202;361;0;
Gosnold;1;1;34;41;0;
Grafton;4;4;3651;4293;0;
Granby;1;1;1405;1894;0;
Granville;1;1;449;374;0;
Great Barrington;4;4;727;2927;0;
Greenfield;9;9;2366;5955;0;
Groton;3;3;2540;3162;0;
Groveland;1;1;1754;1780;0;
Hadley;1;1;953;2049;0;
Halifax;2;2;1893;1894;0;
Hamilton;3;3;2374;2117;0;
Hampden;1;1;1420;1376;0;
Hancock;1;1;143;251;0;
Hanover;4;4;3967;3563;0;
Hanson;3;3;2534;2570;0;
Hardwick;1;1;548;778;0;
Harvard;1;1;1199;2082;0;
Harwich;4;4;3687;4329;0;
Hatfield;1;1;689;1369;0;
