   County Total Precincts Precincts Reporting Bush Kerry Nader
   Abington 4 4 3,442 4,179 0
   Acton 6 6 3,478 7,047 0
   Acushnet 3 3 1,696 3,789 0
   Adams 5 5 972 3,042 0
   Agawam 8 8 5,971 7,683 0
   Alford 1 1 88 205 0
   Amesbury 6 6 3,225 4,588 0
   Amherst 10 10 1,463 9,705 0
   Andover 9 9 7,883 9,177 0
   Aquinnah 1 1 22 270 0
   Arlington 21 21 6,422 17,821 0
   Ashburnham 1 1 1,424 1,651 0
   Ashby 1 1 889 829 0
   Ashfield 1 1 236 836 0
   Ashland 4 4 3,036 4,712 0
   Athol 3 3 2,092 2,463 0
   Attleboro 12 12 7,702 9,838 0
   Auburn 5 5 3,729 4,979 0
   Avon 1 1 1,039 1,351 0
   Ayer 2 2 1,315 1,613 0
   Barnstable 13 13 11,913 13,183 0
   Barre 2 2 1,173 1,321 0
   Becket 1 1 280 538 0
   Bedford 4 4 2,593 4,158 0
   Belchertown 4 4 2,458 4,300 0
   Bellingham 5 5 3,388 4,354 0
   Belmont 8 8 4,274 8,923 0
   Berkley 1 1 1,357 1,541 0
   Berlin 1 1 696 843 0
   Bernardston 1 1 447 762 0
   Beverly 12 12 7,785 11,513 0
   Billerica 11 11 8,422 9,399 0
   Blackstone 3 3 1,816 2,206 0
   Blandford 1 1 322 309 0
   Bolton 1 1 1,177 1,421 0
   Boston 254 254 44,103 158,922 0
   Bourne 6 6 4,034 4,190 0
   Boxborough 1 1 989 1,528 0
   Boxford 3 3 2,664 2,059 0
   Boylston 1 1 1,113 1,302 0
   Braintree 12 12 7,792 10,207 0
   Brewster 3 3 2,725 3,822 0
   Bridgewater 7 7 5,499 5,561 0
   Brimfield 1 1 893 917 0
   Brockton 28 28 10,041 20,019 0
   Brookfield 1 1 782 816 0
   Brookline 16 16 5,202 21,065 0
   Buckland 1 1 312 684 0
   Burlington 6 6 5,238 6,745 0
   Cambridge 33 33 5,275 35,241 0
   Canton 6 6 4,864 6,461 0
   Carlisle 1 1 1,124 1,946 0
   Carver 3 3 2,728 3,050 0
   Charlemont 1 1 223 431 0
   Charlton 3 3 2,983 1,639 0
   Chatham 2 2 2,340 2,421 0
   Chelmsford 9 9 8,478 9,670 0
   Chelsea 16 16 1,823 5,116 0
   Cheshire 1 1 542 1,251 0
   Chester 1 1 330 322 0
   Chesterfield 1 1 293 362 0
   Chicopee 26 26 7,956 14,640 0
   Chilmark 1 1 156 577 0
   Clarksburg 1 1 267 592 0
   Clinton 4 4 2,397 3,514 0
   Cohasset 2 2 2,164 2,284 0
   Colrain 1 1 314 545 0
   Concord 5 5 3,179 6,774 0
   Conway 1 1 309 844 0
   Cummington 1 1 173 370 0
   Dalton 2 2 1,039 2,446 0
   Danvers 8 8 6,086 7,046 0
   Dartmouth 10 10 4,848 10,204 0
   Dedham 7 7 4,859 7,392 0
   Deerfield 1 1 861 2,114 0
   Dennis 5 5 4,320 5,236 0
   Dighton 1 1 1,475 1,743 0
   Douglas 2 2 2,048 1,866 0
   Dover 1 1 1,685 1,602 0
   Dracut 10 10 6,671 6,972 0
   Dudley 4 4 2,173 2,617 0
   Dunstable 1 1 883 842 0
   Duxbury 6 6 4,581 4,454 0
   East Bridgewater 4 4 3,393 3,116 0
   East Brookfield 1 1 623 467 0
   East Longmeadow 4 4 3,993 4,204 0
   Eastham 1 1 1,479 2,227 0
   Easthampton 5 5 2,651 5,496 0
   Easton 6 6 5,418 5,856 0
   Edgartown 1 1 793 1,532 0
   Egremont 1 1 199 591 0
   Erving 1 1 263 499 0
   Essex 1 1 954 1,123 0
   Everett 18 18 4,025 8,719 0
   Fairhaven 6 6 2,413 5,663 0
   Fall River 30 30 7,225 23,396 0
   Falmouth 9 9 7,775 11,212 0
   Fitchburg 12 12 5,007 8,416 0
   Florida 1 1 131 267 0
   Foxborough 5 5 4,010 4,618 0
   Framingham 18 18 8,433 17,195 0
   Franklin 8 8 6,851 8,135 0
   Freetown 3 3 1,909 2,428 0
   Gardner 11 11 2,950 5,014 0
   Georgetown 2 2 2,088 2,095 0
   Gill 1 1 262 618 0
   Gloucester 10 10 5,054 9,280 0
   Goshen 1 1 202 361 0
   Gosnold 1 1 34 41 0
   Grafton 4 4 3,651 4,293 0
   Granby 1 1 1,405 1,894 0
   Granville 1 1 449 374 0
   Great Barrington 4 4 727 2,927 0
   Greenfield 9 9 2,366 5,955 0
   Groton 3 3 2,540 3,162 0
   Groveland 1 1 1,754 1,780 0
   Hadley 1 1 953 2,049 0
   Halifax 2 2 1,893 1,894 0
