County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Allegany;41;41;17825;9769;156;
Anne Arundel;185;185;124071;95171;1145;
Baltimore;214;214;155371;170104;1909;
Baltimore City;316;316;33736;165055;898;
Calvert;21;21;21619;14812;156;
Caroline;8;8;6947;3538;63;
Carroll;44;44;51840;21143;395;
Cecil;18;18;21428;13777;166;
Charles;33;33;26357;27445;194;
Dorchester;36;36;7260;4971;50;
Frederick;61;61;56243;36470;454;
Garrett;19;19;8431;2952;41;
Harford;65;65;67397;36868;549;
Howard;98;98;54768;65704;712;
Kent;10;10;4437;3883;45;
Montgomery;235;235;123472;244211;1994;
Prince Georges;209;209;50594;236698;953;
Queen Annes;11;11;14380;7019;106;
Somerset;22;22;4604;3737;27;
St Marys;28;28;22015;12625;153;
Talbot;16;16;10249;6531;85;
Washington;46;46;34726;18859;252;
Wicomico;33;33;20262;13873;164;
Worcester;18;18;13860;8598;105;
