   County Total Precincts Precincts Reporting Bush Kerry Nader
   Allegany 41 41 17,825 9,769 156
   Anne Arundel 185 185 124,071 95,171 1,145
   Baltimore 214 214 155,371 170,104 1,909
   Baltimore City 316 316 33,736 165,055 898
   Calvert 21 21 21,619 14,812 156
   Caroline 8 8 6,947 3,538 63
   Carroll 44 44 51,840 21,143 395
   Cecil 18 18 21,428 13,777 166
   Charles 33 33 26,357 27,445 194
   Dorchester 36 36 7,260 4,971 50
   Frederick 61 61 56,243 36,470 454
   Garrett 19 19 8,431 2,952 41
   Harford 65 65 67,397 36,868 549
   Howard 98 98 54,768 65,704 712
   Kent 10 10 4,437 3,883 45
   Montgomery 235 235 123,472 244,211 1,994
   Prince Georges 209 209 50,594 236,698 953
   Queen Annes 11 11 14,380 7,019 106
   Somerset 22 22 4,604 3,737 27
   St. Marys 28 28 22,015 12,625 153
   Talbot 16 16 10,249 6,531 85
   Washington 46 46 34,726 18,859 252
   Wicomico 33 33 20,262 13,873 164
   Worcester 18 18 13,860 8,598 105
