   County Total Precincts Precincts Reporting Bush Kerry Nader
   Abbot 1 1 239 169 6
   Acton 1 1 624 547 3
   Addison 1 1 368 277 12
   Albany Twp. 1 1 102 155 4
   Albion 1 1 607 442 18
   Alexander 1 1 172 124 1
   Alfred 1 1 873 881 19
   Allagash 1 1 89 90 2
   Alna 1 1 186 276 4
   Alton 1 1 269 250 5
   Amherst 1 1 86 65 2
   Amity 1 1 54 47 1
   Andover 1 1 283 217 3
   Anson 1 1 573 608 23
   Appleton 1 1 368 408 9
   Arrowsic 1 1 104 238 9
   Arundel 1 1 1,019 1,044 24
   Ashland 1 1 338 332 11
   Athens 1 1 203 241 5
   Atkinson 1 1 109 104 5
   Auburn 5 5 5,216 6,865 135
   Augusta 5 5 4,128 5,492 122
   Aurora 1 1 56 22 2
   Avon 1 1 143 112 2
   Baileyville 1 1 376 410 7
   Baldwin 1 1 453 339 2
   Bancroft 1 1 17 12 1
   Bangor 9 9 7,119 9,145 138
   Bar Harbor 1 1 944 2,188 53
   Baring 1 1 56 64 0
   Bath 8 8 2,569 3,521 83
   Beals 1 1 147 139 3
   Beaver Cove 1 1 67 39 1
   Beddington 1 1 22 13 0
   Belfast 3 3 1,533 2,270 41
   Belgrade 1 1 1,003 930 16
   Belmont 1 1 234 240 1
   Benedicta Twp. 1 1 53 43 3
   Benton 1 1 712 756 19
   Berwick 1 1 1,862 1,588 31
   Bethel 1 1 712 849 24
   Biddeford 7 7 3,754 6,427 111
   Bingham 1 1 297 309 4
   Blaine 1 1 316 138 1
   Blue Hill 1 1 613 1,005 22
   Boothbay 1 1 1,010 1,053 14
   Boothbay Harbor 1 1 744 824 10
   Bowdoin 1 1 862 628 23
   Bowdoinham 1 1 734 942 31
   Bowerbank 1 1 57 32 0
   Bradford 1 1 337 274 10
   Bradley 1 1 313 463 11
   Bremen 1 1 230 298 3
   Brewer 2 2 2,850 2,510 46
   Bridgewater 1 1 204 135 0
   Bridgton 1 1 1,372 1,458 43
   Brighton Plt. 1 0 0 0 0
   Bristol 1 1 893 1,033 24
   Brooklin 1 1 222 385 4
   Brooks 1 1 298 253 10
   Brooksville 1 1 257 447 8
   Brookton Twp. 1 1 82 36 2
   Brownfield 1 1 360 458 7
   Brownville 1 1 404 371 19
   Brunswick 8 8 4,212 7,233 156
   Buckfield 1 1 540 525 17
   Bucksport 1 1 1,307 1,450 29
   Burlington 1 1 122 90 0
   Burnham 1 1 298 335 8
   Buxton 1 1 2,252 2,172 30
   Byron 1 1 40 39 1
   Calais 1 1 878 720 14
   Cambridge 1 1 175 100 8
   Camden 1 1 1,153 2,277 33
   Canaan 1 1 460 558 12
   Canton 1 1 279 286 17
   Cape Elizabeth 1 1 2,548 3,679 52
   Caratunk 1 1 50 23 0
   Caribou 1 1 1,863 2,044 35
   Carmel 1 1 832 607 11
   Carrabassett Valley 1 1 181 263 5
   Carroll Plt. 1 1 42 23 0
   Carthage 1 1 138 142 4
   Cary Plt. 1 1 67 38 0
   Casco 1 1 1,007 1,036 21
   Castine 1 1 332 483 11
   Castle Hill 1 1 124 89 3
   Caswell 1 1 52 107 0
   Centerville 1 1 8 7 0
   Chapman 1 1 132 125 1
   Charleston 1 1 455 207 6
   Charlotte 1 1 114 72 3
   Chelsea 1 1 671 660 16
   Cherryfield 1 1 360 295 5
   Chester 1 1 176 101 9
   Chesterville 1 1 306 383 7
   China 1 1 1,206 1,114 22
   Clifton 1 1 220 224 2
   Clinton 1 1 837 837 13
   Codyville Plt. 1 1 5 5 0
   Columbia 1 1 142 94 2
   Columbia Falls 1 1 183 147 1
   Connor Twp. 1 1 56 150 1
   Cooper 1 1 38 56 1
   Coplin Plt. 1 1 40 54 0
   Corinna 1 1 647 451 14
   Corinth 1 1 920 523 24
   Cornish 1 1 377 431 10
   Cornville 1 1 366 314 26
   Cranberry Isles 2 2 51 119 1
   Crawford 1 1 43 13 1
   Crystal 1 1 90 56 3
   Cumberland 2 2 2,428 2,504 44
   Cushing 1 1 384 397 8
   Cutler 1 1 164 97 5
   Cyr Plt. 1 1 11 36 0
   Dallas Plt. 1 1 108 109 0
   Damariscotta 1 1 598 770 19
   Danforth 1 1 184 102 5
   Dayton 1 1 613 507 15
   Deblois 1 1 22 13 0
   Dedham 1 1 530 478 11
   Deer Isle 1 1 413 785 11
   Denmark 1 1 348 297 8
   Dennistown Plt. 1 1 20 1 1
   Dennysville 1 1 84 97 3
   Detroit 1 1 201 212 0
   Dexter 1 1 1,039 871 21
   Dixfield 1 1 545 748 22
   Dixmont 1 1 350 300 7
   Dover-Foxcroft 1 1 1,248 1,046 34
   Dresden 1 1 458 517 13
   Drew Plt. 1 1 21 3 0
   DTT9 T10 Twp 1 1 0 0 0
   Durham 1 1 1,171 1,129 23
   Dyer Brook 1 1 83 57 1
   Eagle Lake 1 1 162 326 6
   East Machias 1 1 383 297 5
   East Millinocket 1 1 474 640 11
   Eastbrook 1 1 126 99 7
   Easton 1 1 397 294 10
   Eastport 1 1 370 536 8
   Eddington 1 1 683 589 11
   Edgecomb 1 1 363 421 3
   Edinburg 1 1 43 51 2
   Edmunds Twp. 1 1 92 74 6
   Eliot 1 1 1,721 2,164 27
   Ellsworth 4 4 2,096 1,896 53
   Embden 1 1 265 224 6
   Enfield 1 1 439 401 16
   Etna 1 1 301 249 5
   Eustis 1 1 184 199 9
   Exeter 1 1 329 238 5
   Fairfield 1 1 1,492 1,917 41
   Falmouth 1 1 3,305 3,683 68
   Farmingdale 1 1 807 879 15
   Farmington 1 1 1,540 2,484 48
   Fayette 1 1 291 402 12
   Fort Fairfield 1 1 858 983 15
   Fort Kent 1 1 624 1,655 27
   Frankfort 1 1 282 289 3
   Franklin 1 1 425 345 10
   Freedom 1 1 178 216 7
   Freeman Twp 1 1 49 40 1
   Freeport 1 1 1,906 3,007 64
   Frenchboro 1 1 24 20 0
   Frenchville 1 1 156 511 3
   Friendship 1 1 461 301 11
   Frye Island 1 1 55 29 0
   Fryeburg 1 1 836 873 17
   Gardiner 4 4 1,483 1,716 46
   Garfield Plt. 1 1 32 29 0
   Garland 1 1 321 236 14
   Georgetown 1 1 340 438 4
   Gilead 1 1 45 60 2
   Glenburn 1 1 1,296 1,047 17
   Glenwood Plt. 1 1 2 0 0
   Gorham 4 4 4,133 4,393 72
   Gouldsboro 1 1 552 533 13
   Grand Isle 1 1 45 257 5
   Grand Lake Stream Plt 1 1 54 33 1
   Gray 1 1 2,108 2,102 51
   Great Pond 1 1 17 12 3
   Greenbush 1 1 392 296 8
