County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Alcona;22;22;3590;2871;29;
Alger;13;13;2316;2395;30;
Allegan;45;45;32952;19227;301;
Alpena;20;20;7665;7406;78;
Antrim;16;16;8379;5072;89;
Arenac;18;18;4071;4076;42;
Baraga;9;9;1977;1660;20;
Barry;25;25;18638;11312;181;
Bay;75;75;25443;31041;345;
Benzie;22;22;5283;4383;53;
Berrien;73;73;41069;32830;384;
Branch;29;29;10784;7004;93;
Calhoun;61;61;31643;29482;363;
Cass;23;23;12915;9522;83;
Charlevoix;21;21;8214;5729;95;
Cheboygan;21;21;7795;5941;70;
Chippewa;20;20;9122;7203;100;
Clare;27;27;7087;6981;78;
Clinton;32;32;21976;15473;168;
Crawford;11;11;4017;3126;43;
Delta;26;26;9678;9381;105;
Dickinson;16;16;7688;5624;107;
Eaton;68;68;29777;25410;283;
Emmet;23;23;10329;6845;119;
Genesee;228;228;83890;128382;916;
Gladwin;21;21;6770;6343;66;
Gogebic;12;12;3935;4421;59;
Grand Traverse;40;40;27446;18255;258;
Gratiot;25;25;9831;7377;85;
Hillsdale;36;36;12804;7123;106;
Houghton;34;34;8889;6731;125;
Huron;31;31;9670;7629;106;
Ingham;159;159;54713;76826;783;
Ionia;48;48;16589;10645;180;
Iosco;20;20;7294;6555;97;
Iron;16;16;3224;3135;42;
Isabella;28;28;11754;12334;143;
Jackson;82;82;39713;31013;412;
Kalamazoo;138;138;57139;61425;620;
Kalkaska;22;22;5088;3185;44;
Kent;285;285;171157;116814;1410;
Keweenaw;5;5;781;630;16;
Lake;20;20;2502;2675;33;
Lapeer;37;37;25555;18084;254;
Leelanau;13;13;7733;6048;72;
Lenawee;45;45;25669;20785;277;
Livingston;81;81;58854;33980;416;
Luce;4;4;1749;1045;19;
Mackinac;15;15;3687;2793;48;
Macomb;426;426;201283;195683;2077;
Manistee;25;25;6286;6269;82;
Marquette;40;40;14689;17409;229;
Mason;26;26;8124;6333;82;
Mecosta;22;22;9710;7730;70;
Menominee;20;20;5945;5327;97;
Midland;50;50;24369;18355;219;
Missaukee;17;17;5055;2319;20;
Monroe;70;70;37469;36086;339;
Montcalm;29;29;14967;11466;183;
Montmorency;9;9;3300;2196;37;
Muskegon;92;92;35943;45248;391;
Newaygo;30;30;13607;9054;101;
Oakland;605;605;316567;319607;2768;
Oceana;29;29;6677;5441;73;
Ogemaw;25;25;5454;5213;71;
Ontonagon;14;14;2267;1863;30;
Osceola;24;24;6599;4467;62;
Oscoda;9;9;2570;1792;33;
Otsego;14;14;7470;4674;88;
Ottawa;108;108;92039;35551;545;
Presque Isle;18;18;3982;3432;45;
Roscommon;14;14;7364;6810;119;
Saginaw;90;90;47157;54865;446;
Sanilac;30;30;12632;7883;145;
Schoolcraft;12;12;2267;2137;20;
Shiawassee;36;36;19405;16881;205;
St Clair;77;77;42739;36174;435;
St Joseph;26;26;15339;9645;138;
Tuscola;31;31;15388;12631;193;
Van Buren;53;53;17631;16152;184;
Washtenaw;152;152;61425;109872;923;
Wayne;1402;1402;257267;596208;3616;
Wexford;20;20;4494;2998;2;
