   County Total Precincts Precincts Reporting Bush Kerry Nader
   Alcona 22 22 3,590 2,871 29
   Alger 13 13 2,316 2,395 30
   Allegan 45 45 32,952 19,227 301
   Alpena 20 20 7,665 7,406 78
   Antrim 16 16 8,379 5,072 89
   Arenac 18 18 4,071 4,076 42
   Baraga 9 9 1,977 1,660 20
   Barry 25 25 18,638 11,312 181
   Bay 75 75 25,443 31,041 345
   Benzie 22 22 5,283 4,383 53
   Berrien 73 73 41,069 32,830 384
   Branch 29 29 10,784 7,004 93
   Calhoun 61 61 31,643 29,482 363
   Cass 23 23 12,915 9,522 83
   Charlevoix 21 21 8,214 5,729 95
   Cheboygan 21 21 7,795 5,941 70
   Chippewa 20 20 9,122 7,203 100
   Clare 27 27 7,087 6,981 78
   Clinton 32 32 21,976 15,473 168
   Crawford 11 11 4,017 3,126 43
   Delta 26 26 9,678 9,381 105
   Dickinson 16 16 7,688 5,624 107
   Eaton 68 68 29,777 25,410 283
   Emmet 23 23 10,329 6,845 119
   Genesee 228 228 83,890 128,382 916
   Gladwin 21 21 6,770 6,343 66
   Gogebic 12 12 3,935 4,421 59
   Grand Traverse 40 40 27,446 18,255 258
   Gratiot 25 25 9,831 7,377 85
   Hillsdale 36 36 12,804 7,123 106
   Houghton 34 34 8,889 6,731 125
   Huron 31 31 9,670 7,629 106
   Ingham 159 159 54,713 76,826 783
   Ionia 48 48 16,589 10,645 180
   Iosco 20 20 7,294 6,555 97
   Iron 16 16 3,224 3,135 42
   Isabella 28 28 11,754 12,334 143
   Jackson 82 82 39,713 31,013 412
   Kalamazoo 138 138 57,139 61,425 620
   Kalkaska 22 22 5,088 3,185 44
   Kent 285 285 171,157 116,814 1,410
   Keweenaw 5 5 781 630 16
   Lake 20 20 2,502 2,675 33
   Lapeer 37 37 25,555 18,084 254
   Leelanau 13 13 7,733 6,048 72
   Lenawee 45 45 25,669 20,785 277
   Livingston 81 81 58,854 33,980 416
   Luce 4 4 1,749 1,045 19
   Mackinac 15 15 3,687 2,793 48
   Macomb 426 426 201,283 195,683 2,077
   Manistee 25 25 6,286 6,269 82
   Marquette 40 40 14,689 17,409 229
   Mason 26 26 8,124 6,333 82
   Mecosta 22 22 9,710 7,730 70
   Menominee 20 20 5,945 5,327 97
   Midland 50 50 24,369 18,355 219
   Missaukee 17 17 5,055 2,319 20
   Monroe 70 70 37,469 36,086 339
   Montcalm 29 29 14,967 11,466 183
   Montmorency 9 9 3,300 2,196 37
   Muskegon 92 92 35,943 45,248 391
   Newaygo 30 30 13,607 9,054 101
   Oakland 605 605 316,567 319,607 2,768
   Oceana 29 29 6,677 5,441 73
   Ogemaw 25 25 5,454 5,213 71
   Ontonagon 14 14 2,267 1,863 30
   Osceola 24 24 6,599 4,467 62
   Oscoda 9 9 2,570 1,792 33
   Otsego 14 14 7,470 4,674 88
   Ottawa 108 108 92,039 35,551 545
   Presque Isle 18 18 3,982 3,432 45
   Roscommon 14 14 7,364 6,810 119
   Saginaw 90 90 47,157 54,865 446
   Sanilac 30 30 12,632 7,883 145
   Schoolcraft 12 12 2,267 2,137 20
   Shiawassee 36 36 19,405 16,881 205
   St. Clair 77 77 42,739 36,174 435
   St. Joseph 26 26 15,339 9,645 138
   Tuscola 31 31 15,388 12,631 193
   Van Buren 53 53 17,631 16,152 184
   Washtenaw 152 152 61,425 109,872 923
   Wayne 1,402 1,402 257,267 596,208 3,616
   Wexford 20 20 4,494 2,998 2
