County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Aitkin;54;54;4768;4539;75;
Anoka;121;121;91853;80226;978;
Becker;46;46;9795;6756;143;
Beltrami;62;62;10003;10285;125;
Benton;31;31;10053;8059;140;
Big Stone;23;23;1483;1536;26;
Blue Earth;54;54;15737;16865;276;
Brown;32;32;8405;5159;117;
Carlton;39;39;6643;11464;118;
Carver;34;34;28510;16456;222;
Cass;72;72;8813;6764;112;
Chippewa;23;23;3089;3424;46;
Chisago;23;23;15705;12219;166;
Clay;54;54;14365;12989;201;
Clearwater;29;29;2438;1871;34;
Cook;12;12;1489;1733;41;
Cottonwood;28;28;3558;2727;50;
Crow Wing;59;59;19106;14005;259;
Dakota;137;137;108923;104609;1109;
Dodge;19;19;5593;4118;87;
Douglas;37;37;11793;8219;195;
Faribault;33;33;4794;3770;59;
Fillmore;37;37;5694;5825;91;
Freeborn;40;40;7681;9733;136;
Goodhue;44;44;13135;12100;209;
Grant;23;23;1893;1856;31;
Hennepin;430;430;255112;383823;4008;
Houston;27;27;5631;5276;93;
Hubbard;34;34;6444;4741;92;
Isanti;17;17;11093;7568;112;
Itasca;80;80;10705;13290;171;
Jackson;30;30;3033;2657;62;
Kanabec;20;20;4527;3592;58;
Kandiyohi;47;47;11704;9337;155;
Kittson;37;37;1307;1333;26;
Koochiching;35;35;3489;3662;54;
Lac Qui Parle;31;31;2093;2390;36;
Lake;18;18;2769;4212;43;
Lake of the Woods;15;15;1428;921;27;
Le Sueur;27;27;7746;6466;103;
Lincoln;20;20;1737;1557;27;
Lyon;33;33;7202;5292;88;
Mahnomen;19;19;1132;1339;18;
Marshall;60;60;3187;2308;36;
Martin;37;37;6311;4590;67;
McLeod;28;28;11409;6713;132;
Meeker;30;30;6854;5292;94;
Mille Lacs;25;25;7194;5667;110;
Morrison;48;48;9698;6794;147;
Mower;39;39;7591;12334;153;
Murray;29;29;2719;2218;34;
Nicollet;33;33;8688;8797;130;
Nobles;40;40;5159;3898;67;
Norman;33;33;1794;1954;28;
Olmsted;75;75;37370;33287;482;
Otter Tail;91;91;19737;12042;217;
Pennington;34;34;3767;3117;75;
Pine;47;47;7033;7128;119;
Pipestone;22;22;3066;1900;46;
Polk;82;82;8724;6729;122;
Pope;30;30;3303;3301;51;
Ramsey;178;178;95074;169979;1752;
Red Lake;21;21;1164;963;27;
Redwood;43;43;4897;3103;71;
Renville;37;37;4431;3789;77;
Rice;33;33;13881;16425;255;
Rock;24;24;3086;1981;35;
Roseau;44;44;5355;2442;67;
Scott;44;44;36055;23958;323;
Sherburne;30;30;25182;15816;239;
Sibley;24;24;4669;3108;96;
St Louis;184;183;40105;77903;725;
Stearns;103;103;42881;34171;669;
Steele;26;26;10388;7992;129;
Stevens;25;25;3030;2821;49;
Swift;31;31;2481;3165;54;
Todd;38;38;6945;5034;103;
Traverse;20;20;1076;1026;26;
Wabasha;33;33;6120;5548;97;
Wadena;24;24;4214;2791;52;
Waseca;22;22;5456;4177;92;
Washington;84;84;65751;61372;661;
Watonwan;21;21;2970;2514;57;
Wilkin;31;31;2303;1169;26;
Winona;47;47;12525;14112;130;
Wright;39;39;36176;22574;352;
Yellow Medicine;33;33;2878;2799;44;
