   County Total Precincts Precincts Reporting Bush Kerry Nader
   Aitkin 54 54 4,768 4,539 75
   Anoka 121 121 91,853 80,226 978
   Becker 46 46 9,795 6,756 143
   Beltrami 62 62 10,003 10,285 125
   Benton 31 31 10,053 8,059 140
   Big Stone 23 23 1,483 1,536 26
   Blue Earth 54 54 15,737 16,865 276
   Brown 32 32 8,405 5,159 117
   Carlton 39 39 6,643 11,464 118
   Carver 34 34 28,510 16,456 222
   Cass 72 72 8,813 6,764 112
   Chippewa 23 23 3,089 3,424 46
   Chisago 23 23 15,705 12,219 166
   Clay 54 54 14,365 12,989 201
   Clearwater 29 29 2,438 1,871 34
   Cook 12 12 1,489 1,733 41
   Cottonwood 28 28 3,558 2,727 50
   Crow Wing 59 59 19,106 14,005 259
   Dakota 137 137 108,923 104,609 1,109
   Dodge 19 19 5,593 4,118 87
   Douglas 37 37 11,793 8,219 195
   Faribault 33 33 4,794 3,770 59
   Fillmore 37 37 5,694 5,825 91
   Freeborn 40 40 7,681 9,733 136
   Goodhue 44 44 13,135 12,100 209
   Grant 23 23 1,893 1,856 31
   Hennepin 430 430 255,112 383,823 4,008
   Houston 27 27 5,631 5,276 93
   Hubbard 34 34 6,444 4,741 92
   Isanti 17 17 11,093 7,568 112
   Itasca 80 80 10,705 13,290 171
   Jackson 30 30 3,033 2,657 62
   Kanabec 20 20 4,527 3,592 58
   Kandiyohi 47 47 11,704 9,337 155
   Kittson 37 37 1,307 1,333 26
   Koochiching 35 35 3,489 3,662 54
   Lac Qui Parle 31 31 2,093 2,390 36
   Lake 18 18 2,769 4,212 43
   Lake of the Woods 15 15 1,428 921 27
   Le Sueur 27 27 7,746 6,466 103
   Lincoln 20 20 1,737 1,557 27
   Lyon 33 33 7,202 5,292 88
   Mahnomen 19 19 1,132 1,339 18
   Marshall 60 60 3,187 2,308 36
   Martin 37 37 6,311 4,590 67
   McLeod 28 28 11,409 6,713 132
   Meeker 30 30 6,854 5,292 94
   Mille Lacs 25 25 7,194 5,667 110
   Morrison 48 48 9,698 6,794 147
   Mower 39 39 7,591 12,334 153
   Murray 29 29 2,719 2,218 34
   Nicollet 33 33 8,688 8,797 130
   Nobles 40 40 5,159 3,898 67
   Norman 33 33 1,794 1,954 28
   Olmsted 75 75 37,370 33,287 482
   Otter Tail 91 91 19,737 12,042 217
   Pennington 34 34 3,767 3,117 75
   Pine 47 47 7,033 7,128 119
   Pipestone 22 22 3,066 1,900 46
   Polk 82 82 8,724 6,729 122
   Pope 30 30 3,303 3,301 51
   Ramsey 178 178 95,074 169,979 1,752
   Red Lake 21 21 1,164 963 27
   Redwood 43 43 4,897 3,103 71
   Renville 37 37 4,431 3,789 77
   Rice 33 33 13,881 16,425 255
   Rock 24 24 3,086 1,981 35
   Roseau 44 44 5,355 2,442 67
   Scott 44 44 36,055 23,958 323
   Sherburne 30 30 25,182 15,816 239
   Sibley 24 24 4,669 3,108 96
   St. Louis 184 183 40,105 77,903 725
   Stearns 103 103 42,881 34,171 669
   Steele 26 26 10,388 7,992 129
   Stevens 25 25 3,030 2,821 49
   Swift 31 31 2,481 3,165 54
   Todd 38 38 6,945 5,034 103
   Traverse 20 20 1,076 1,026 26
   Wabasha 33 33 6,120 5,548 97
   Wadena 24 24 4,214 2,791 52
   Waseca 22 22 5,456 4,177 92
   Washington 84 84 65,751 61,372 661
   Watonwan 21 21 2,970 2,514 57
   Wilkin 31 31 2,303 1,169 26
   Winona 47 47 12,525 14,112 130
   Wright 39 39 36,176 22,574 352
   Yellow Medicine 33 33 2,878 2,799 44
