   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adair 10 10 6,367 4,938 0
   Andrew 19 19 5,135 3,069 0
   Atchison 6 6 2,137 1,005 0
   Audrain 21 21 6,294 4,318 0
   Barry 19 19 9,599 4,223 0
   Barton 16 16 4,572 1,373 0
   Bates 16 16 5,005 3,397 0
   Benton 13 13 5,575 3,381 0
   Bollinger 15 15 4,102 1,754 0
   Boone 92 92 37,515 37,480 0
   Buchanan 51 51 19,812 17,798 0
   Butler 25 25 11,696 4,666 0
   Caldwell 10 10 2,593 1,645 0
   Callaway 28 28 11,108 6,559 0
   Camden 26 26 13,122 6,296 0
   Cape Girardeau 36 36 23,814 10,568 0
   Carroll 17 17 3,155 1,568 0
   Carter 8 8 1,797 964 0
   Cass 48 48 27,248 16,681 0
   Cedar 14 14 4,238 1,910 0
   Chariton 17 17 2,419 1,890 0
   Christian 28 28 22,101 9,058 0
   Clark 12 12 1,899 1,794 0
   Clay 75 75 51,033 44,522 0
   Clinton 9 9 5,282 4,164 0
   Cole 41 41 24,750 11,753 0
   Cooper 15 15 5,058 2,400 0
   Crawford 18 18 5,686 3,632 0
   Dade 13 13 2,963 1,104 0
   Dallas 14 14 4,788 2,407 0
   Daviess 12 12 2,351 1,402 0
   DeKalb 12 12 2,941 1,707 0
   Dent 8 8 4,369 1,865 0
   Douglas 25 25 4,498 1,741 0
   Dunklin 21 21 6,721 4,901 0
   Franklin 57 57 26,428 18,556 0
   Gasconade 22 22 4,753 2,355 0
   Gentry 11 11 2,085 1,200 0
   Greene 140 140 77,841 46,626 0
   Grundy 22 22 3,171 1,561 0
   Harrison 12 12 2,729 1,279 0
   Henry 20 20 6,357 4,456 0
   Hickory 12 12 2,790 2,043 0
   Holt 7 7 1,864 811 0
   Howard 10 10 2,915 1,972 0
   Howell 21 21 11,093 5,118 0
   Iron 12 12 2,477 2,157 0
   Jackson 704 704 129,612 180,944 0
   Jasper 68 68 31,846 13,002 0
   Jefferson 84 84 46,624 46,057 0
   Johnson 21 21 12,194 7,778 0
   Knox 6 6 1,205 761 0
   LaClede 25 25 10,576 4,212 0
   Lafayette 20 20 9,642 6,397 0
   Lawrence 20 20 11,194 4,506 0
   Lewis 11 11 2,862 1,754 0
   Lincoln 24 24 11,316 8,367 0
   Linn 21 21 3,420 2,440 0
   Livingston 14 14 4,029 2,278 0
   Macon 13 13 4,673 2,857 0
   Madison 8 8 2,905 1,970 0
   Maries 11 11 2,825 1,563 0
   Marion 22 22 7,815 4,568 0
   McDonald 18 18 5,443 2,215 0
   Mercer 10 10 1,207 582 0
   Miller 21 21 7,795 2,956 0
   Mississippi 9 9 2,903 2,374 0
   Moniteau 15 15 4,743 1,913 0
   Monroe 9 9 2,632 1,645 0
   Montgomery 11 11 3,561 2,147 0
   Morgan 11 11 5,654 3,053 0
   New Madrid 24 24 4,154 3,714 0
   Newton 24 24 17,186 6,563 0
   Nodaway 20 20 6,226 3,830 0
   Oregon 16 16 2,769 1,823 0
   Osage 20 20 4,975 1,673 0
   Ozark 11 11 3,083 1,560 0
   Pemiscot 17 17 3,398 3,381 0
   Perry 19 19 5,583 2,621 0
   Pettis 26 26 11,600 5,801 0
   Phelps 39 39 11,874 6,666 0
   Pike 17 17 4,312 3,664 0
   Platte 35 35 23,298 18,404 0
   Polk 24 24 8,586 3,775 0
   Pulaski 10 10 8,618 3,550 0
   Putnam 11 11 1,659 771 0
   Ralls 9 9 2,986 2,031 0
   Randolph 15 15 6,550 3,585 0
   Ray 13 13 5,672 5,034 0
   Reynolds 14 14 1,895 1,449 0
   Ripley 14 14 3,693 1,907 0
   Saline 19 19 5,333 4,428 0
   Schuyler 6 6 1,124 894 0
   Scotland 8 8 1,352 828 0
   Scott 27 27 11,330 6,057 0
   Shannon 11 11 2,086 1,160 0
   Shelby 9 9 2,280 1,200 0
   St. Charles 164 164 95,789 66,826 0
   St. Clair 18 18 3,098 1,841 0
   St. Francois 29 29 12,087 10,748 0
   St. Louis City 208 208 27,460 115,414 0
   St. Louis County 480 480 244,388 294,402 0
   Ste. Genevieve 14 14 3,791 4,281 0
   Stoddard 22 22 9,241 3,946 0
   Stone 21 21 10,521 4,576 0
   Sullivan 15 15 1,880 1,178 0
   Taney 22 22 13,550 5,585 0
   Texas 22 22 7,234 3,664 0
   Vernon 34 34 5,731 3,206 0
   Warren 25 25 7,882 5,461 0
   Washington 19 19 4,638 4,455 0
   Wayne 19 19 3,919 2,249 0
   Webster 15 15 10,181 4,648 0
   Worth 7 7 691 436 0
   Wright 19 19 6,090 2,188 0
