County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;27;27;6487;7844;23;
Alcorn;16;16;8605;5425;69;
Amite;21;21;4106;2973;15;
Attala;21;21;4882;3014;14;
Benton;11;11;1962;2234;12;
Bolivar;28;28;4722;8560;21;
Calhoun;22;22;4096;2211;13;
Carroll;16;16;3652;1897;4;
Chickasaw;18;18;4193;4078;27;
Choctaw;17;17;2598;1290;5;
Claiborne;19;19;941;4338;8;
Clarke;33;33;5027;2377;17;
Clay;15;15;4333;4732;12;
Coahoma;19;19;3643;6741;13;
Copiah;20;20;6316;4902;18;
Covington;17;17;5010;3135;21;
DeSoto;35;35;35437;13247;128;
Forrest;33;33;15966;9781;106;
Franklin;14;14;2883;1566;9;
George;22;22;6182;1715;19;
Greene;14;14;3850;1421;16;
Grenada;22;22;5844;4154;16;
Hancock;26;26;12332;5023;96;
Harrison;61;61;38781;22555;235;
Hinds;120;120;34269;51370;208;
Holmes;17;17;1925;6170;7;
Humphreys;13;13;1626;2975;13;
Issaquena;5;5;437;510;1;
Itawamba;31;31;6751;2771;35;
Jackson;58;58;34035;15046;174;
Jasper;20;20;3808;4081;16;
Jeff Davis;21;21;2668;2959;24;
Jefferson;16;16;627;2798;2;
Jones;48;48;19032;7344;68;
Kemper;23;23;2107;2454;10;
Lafayette;17;17;9004;6218;76;
Lamar;40;40;16288;3876;59;
Lauderdale;54;54;19395;10026;60;
Lawrence;26;26;4119;2355;21;
Leake;21;21;4926;3212;16;
Lee;42;42;19878;9895;107;
Leflore;19;19;4427;7240;7;
Lincoln;32;32;9889;4372;28;
Lowndes;22;22;13690;10408;68;
Madison;42;42;24015;12942;75;
Marion;24;24;7845;3828;26;
Marshall;24;24;5932;8472;24;
Monroe;63;63;9223;6149;44;
Montgomery;18;18;2953;2422;9;
Neshoba;38;38;7581;2515;14;
Newton;19;19;6156;2274;11;
Noxubee;21;21;1698;4293;5;
Oktibbeha;25;25;9068;7015;83;
Panola;27;27;6734;6540;21;
Pearl River;34;34;14612;4392;60;
Perry;15;15;3729;1259;5;
Pike;32;32;8547;7578;41;
Pontotoc;33;33;8375;2591;52;
Prentiss;21;21;6503;3306;38;
Quitman;11;11;1360;2032;3;
Rankin;51;51;41971;10738;178;
Scott;24;24;6364;3780;9;
Sharkey;10;10;1115;1553;52;
Simpson;31;31;6810;3262;1;
Smith;18;18;5566;1493;13;
Stone;17;17;4072;1502;18;
Sunflower;18;18;3492;6057;18;
Tallahatchie;22;22;2725;3377;11;
Tate;18;18;6663;4279;30;
Tippah;28;28;6048;2983;34;
Tishomingo;19;19;5288;2775;56;
Tunica;12;12;845;1934;6;
Union;39;39;7422;2710;29;
Walthall;21;21;3873;2550;15;
Warren;22;22;11773;8244;40;
Washington;20;20;7031;10562;38;
Wayne;25;25;5333;3155;15;
Webster;18;18;3668;1318;6;
Wilkinson;10;10;1563;2794;4;
Winston;29;29;5375;3960;17;
Yalobusha;13;13;3278;2656;16;
Yazoo;27;27;5672;5013;30;
