County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Beaverhead;16;16;3066;1103;41;
Big Horn;20;20;2026;2213;49;
Blaine;11;11;1484;1300;28;
Broadwater;5;5;1778;533;26;
Carbon;16;16;3341;1847;75;
Carter;4;4;623;76;5;
Cascade;38;38;18933;13616;371;
Chouteau;12;12;1921;941;37;
Custer;14;14;3294;1629;70;
Daniels;7;7;764;326;21;
Dawson;10;10;2884;1494;63;
Deer Lodge;18;18;1725;2699;81;
Fallon;6;6;1178;289;16;
Fergus;16;16;4425;1582;75;
Flathead;40;40;25966;11566;509;
Gallatin;46;46;22368;16381;570;
Garfield;7;7;590;52;8;
Glacier;16;16;1828;2641;49;
Golden Valley;2;2;396;119;4;
Granite;4;4;1144;404;18;
Hill;22;22;3505;2997;105;
Jefferson;14;14;3843;1880;62;
Judith Basin;4;4;943;322;7;
Lake;22;22;7240;4952;201;
Lewis & Clark;54;54;16432;12655;386;
Liberty;4;4;734;281;10;
Lincoln;14;14;5884;2320;101;
Madison;6;6;2868;983;45;
McCone;9;9;791;320;16;
Meagher;5;5;698;247;16;
Mineral;6;6;1242;542;43;
Missoula;101;101;23951;26937;992;
Musselshell;6;6;1662;538;27;
Park;15;15;4771;3199;124;
Petroleum;1;1;228;55;4;
Phillips;13;13;1677;456;20;
Pondera;8;8;1852;956;24;
Powder River;9;9;856;154;11;
Powell;12;12;1968;751;41;
Prairie;4;4;546;181;6;
Ravalli;22;22;13224;6128;222;
Richland;15;15;3110;1120;47;
Roosevelt;13;13;1760;2193;52;
Rosebud;12;12;1982;1520;49;
Sanders;10;10;3461;1501;98;
Sheridan;8;8;1159;845;20;
Silver Bow;47;47;6381;9307;288;
Stillwater;8;8;2856;987;52;
Sweet Grass;5;5;1502;443;15;
Teton;5;5;2232;1047;47;
Toole;12;12;1582;690;21;
Treasure;3;3;348;121;8;
Valley;9;9;2476;1429;59;
Wheatland;5;5;705;250;9;
Wibaux;1;1;407;144;6;
Yellowstone;69;69;40863;24101;793;
