   County Total Precincts Precincts Reporting Bush Kerry Nader
   Beaverhead 16 16 3,066 1,103 41
   Big Horn 20 20 2,026 2,213 49
   Blaine 11 11 1,484 1,300 28
   Broadwater 5 5 1,778 533 26
   Carbon 16 16 3,341 1,847 75
   Carter 4 4 623 76 5
   Cascade 38 38 18,933 13,616 371
   Chouteau 12 12 1,921 941 37
   Custer 14 14 3,294 1,629 70
   Daniels 7 7 764 326 21
   Dawson 10 10 2,884 1,494 63
   Deer Lodge 18 18 1,725 2,699 81
   Fallon 6 6 1,178 289 16
   Fergus 16 16 4,425 1,582 75
   Flathead 40 40 25,966 11,566 509
   Gallatin 46 46 22,368 16,381 570
   Garfield 7 7 590 52 8
   Glacier 16 16 1,828 2,641 49
   Golden Valley 2 2 396 119 4
   Granite 4 4 1,144 404 18
   Hill 22 22 3,505 2,997 105
   Jefferson 14 14 3,843 1,880 62
   Judith Basin 4 4 943 322 7
   Lake 22 22 7,240 4,952 201
   Lewis & Clark 54 54 16,432 12,655 386
   Liberty 4 4 734 281 10
   Lincoln 14 14 5,884 2,320 101
   Madison 6 6 2,868 983 45
   McCone 9 9 791 320 16
   Meagher 5 5 698 247 16
   Mineral 6 6 1,242 542 43
   Missoula 101 101 23,951 26,937 992
   Musselshell 6 6 1,662 538 27
   Park 15 15 4,771 3,199 124
   Petroleum 1 1 228 55 4
   Phillips 13 13 1,677 456 20
   Pondera 8 8 1,852 956 24
   Powder River 9 9 856 154 11
   Powell 12 12 1,968 751 41
   Prairie 4 4 546 181 6
   Ravalli 22 22 13,224 6,128 222
   Richland 15 15 3,110 1,120 47
   Roosevelt 13 13 1,760 2,193 52
   Rosebud 12 12 1,982 1,520 49
   Sanders 10 10 3,461 1,501 98
   Sheridan 8 8 1,159 845 20
   Silver Bow 47 47 6,381 9,307 288
   Stillwater 8 8 2,856 987 52
   Sweet Grass 5 5 1,502 443 15
   Teton 5 5 2,232 1,047 47
   Toole 12 12 1,582 690 21
   Treasure 3 3 348 121 8
   Valley 9 9 2,476 1,429 59
   Wheatland 5 5 705 250 9
   Wibaux 1 1 407 144 6
   Yellowstone 69 69 40,863 24,101 793
