County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Alamance;37;37;32914;20334;0;
Alexander;17;17;10678;4657;0;
Alleghany;7;7;2844;1898;0;
Anson;11;11;3788;5350;0;
Ashe;17;17;7254;4453;0;
Avery;19;19;5589;1772;0;
Beaufort;21;21;12355;6936;0;
Bertie;12;12;3018;4770;0;
Bladen;17;17;6145;6009;0;
Brunswick;23;23;22819;14809;0;
Buncombe;71;71;51686;50903;0;
Burke;31;31;16075;10153;0;
Cabarrus;42;42;40270;19464;0;
Caldwell;24;24;20799;9839;0;
Camden;3;3;2271;1329;0;
Carteret;34;34;16904;7369;0;
Caswell;11;11;4873;4543;0;
Catawba;40;40;39017;18520;0;
Chatham;22;22;12712;12679;0;
Cherokee;16;16;7382;3617;0;
Chowan;6;6;2240;1780;0;
Clay;9;9;3185;1620;0;
Cleveland;28;28;22509;14028;0;
Columbus;26;26;10585;10101;0;
Craven;26;26;23389;15072;0;
Cumberland;65;65;48042;44328;0;
Currituck;11;11;5954;2887;0;
Dare;16;16;9247;6075;0;
Davidson;42;42;41780;16962;0;
Davie;14;14;12343;4225;0;
Duplin;19;19;9468;6780;0;
Durham;61;61;34124;72986;0;
Edgecombe;21;21;7990;12478;0;
Forsyth;101;101;74743;62333;0;
Franklin;17;17;11341;9127;0;
Gaston;46;46;34492;15186;0;
Gates;5;5;1920;2117;0;
Graham;4;4;2687;1270;0;
Granville;14;14;9438;8962;0;
Greene;10;10;3790;2648;0;
Guilford;160;160;97905;99223;0;
Halifax;30;30;7996;11322;0;
Harnett;22;22;20649;11289;0;
Haywood;29;29;14607;11222;0;
Henderson;35;35;27390;14608;0;
Hertford;13;13;2827;4903;0;
Hoke;13;13;5180;5663;0;
Hyde;7;7;1222;1042;0;
Iredell;29;29;37841;17673;0;
Jackson;18;18;7283;6700;0;
Johnston;34;34;31304;14384;0;
Jones;7;7;2564;1837;0;
Lee;13;13;11443;7319;0;
Lenoir;22;22;12745;9539;0;
Lincoln;29;29;19878;9318;0;
Macon;15;15;9416;5465;0;
Madison;12;12;5113;4178;0;
Martin;13;13;5302;5055;0;
McDowell;17;17;10484;5274;0;
Mecklenburg;190;190;154177;167051;0;
Mitchell;9;9;7218;2054;0;
Montgomery;14;14;5619;4212;0;
Moore;23;23;24149;13186;0;
Nash;26;26;13709;10167;0;
New Hanover;46;46;44804;35103;0;
Northampton;18;18;3163;5558;0;
Onslow;23;23;25396;10996;0;
Orange;43;43;20673;42683;0;
Pamlico;8;8;3650;2320;0;
Pasquotank;13;13;6546;6895;0;
Pender;17;17;9917;6928;0;
Perquimans;7;7;2964;1971;0;
Person;14;14;8928;6152;0;
Pitt;38;38;28099;24386;0;
Polk;10;10;4846;3516;0;
Randolph;40;40;37109;12575;0;
Richmond;16;16;7604;8229;0;
Robeson;41;41;15471;17172;0;
Rockingham;31;31;22450;14068;0;
Rowan;46;46;34549;16517;0;
Rutherford;24;24;16190;8106;0;
Sampson;23;23;12374;9389;0;
Scotland;10;10;5097;6330;0;
Stanly;24;24;17744;7567;0;
Stokes;20;20;13404;5702;0;
Surry;29;29;17241;8153;0;
Swain;5;5;2591;2416;0;
Transylvania;18;18;9172;5707;0;
Tyrrell;6;6;850;727;0;
Union;43;43;42266;17639;0;
Vance;16;16;6870;8749;0;
Wake;197;197;172563;162750;0;
Warren;14;14;2737;4973;0;
Washington;6;6;2465;2931;0;
Watauga;20;20;12485;11064;0;
Wayne;30;30;23826;14267;0;
Wilkes;29;29;18935;7783;0;
Wilson;25;25;16287;13924;0;
Yadkin;12;12;12220;3544;0;
Yancey;11;11;4769;4315;0;
