   County Total Precincts Precincts Reporting Bush Kerry Nader
   Alamance 37 37 32,914 20,334 0
   Alexander 17 17 10,678 4,657 0
   Alleghany 7 7 2,844 1,898 0
   Anson 11 11 3,788 5,350 0
   Ashe 17 17 7,254 4,453 0
   Avery 19 19 5,589 1,772 0
   Beaufort 21 21 12,355 6,936 0
   Bertie 12 12 3,018 4,770 0
   Bladen 17 17 6,145 6,009 0
   Brunswick 23 23 22,819 14,809 0
   Buncombe 71 71 51,686 50,903 0
   Burke 31 31 16,075 10,153 0
   Cabarrus 42 42 40,270 19,464 0
   Caldwell 24 24 20,799 9,839 0
   Camden 3 3 2,271 1,329 0
   Carteret 34 34 16,904 7,369 0
   Caswell 11 11 4,873 4,543 0
   Catawba 40 40 39,017 18,520 0
   Chatham 22 22 12,712 12,679 0
   Cherokee 16 16 7,382 3,617 0
   Chowan 6 6 2,240 1,780 0
   Clay 9 9 3,185 1,620 0
   Cleveland 28 28 22,509 14,028 0
   Columbus 26 26 10,585 10,101 0
   Craven 26 26 23,389 15,072 0
   Cumberland 65 65 48,042 44,328 0
   Currituck 11 11 5,954 2,887 0
   Dare 16 16 9,247 6,075 0
   Davidson 42 42 41,780 16,962 0
   Davie 14 14 12,343 4,225 0
   Duplin 19 19 9,468 6,780 0
   Durham 61 61 34,124 72,986 0
   Edgecombe 21 21 7,990 12,478 0
   Forsyth 101 101 74,743 62,333 0
   Franklin 17 17 11,341 9,127 0
   Gaston 46 46 34,492 15,186 0
   Gates 5 5 1,920 2,117 0
   Graham 4 4 2,687 1,270 0
   Granville 14 14 9,438 8,962 0
   Greene 10 10 3,790 2,648 0
   Guilford 160 160 97,905 99,223 0
   Halifax 30 30 7,996 11,322 0
   Harnett 22 22 20,649 11,289 0
   Haywood 29 29 14,607 11,222 0
   Henderson 35 35 27,390 14,608 0
   Hertford 13 13 2,827 4,903 0
   Hoke 13 13 5,180 5,663 0
   Hyde 7 7 1,222 1,042 0
   Iredell 29 29 37,841 17,673 0
   Jackson 18 18 7,283 6,700 0
   Johnston 34 34 31,304 14,384 0
   Jones 7 7 2,564 1,837 0
   Lee 13 13 11,443 7,319 0
   Lenoir 22 22 12,745 9,539 0
   Lincoln 29 29 19,878 9,318 0
   Macon 15 15 9,416 5,465 0
   Madison 12 12 5,113 4,178 0
   Martin 13 13 5,302 5,055 0
   McDowell 17 17 10,484 5,274 0
   Mecklenburg 190 190 154,177 167,051 0
   Mitchell 9 9 7,218 2,054 0
   Montgomery 14 14 5,619 4,212 0
   Moore 23 23 24,149 13,186 0
   Nash 26 26 13,709 10,167 0
   New Hanover 46 46 44,804 35,103 0
   Northampton 18 18 3,163 5,558 0
   Onslow 23 23 25,396 10,996 0
   Orange 43 43 20,673 42,683 0
   Pamlico 8 8 3,650 2,320 0
   Pasquotank 13 13 6,546 6,895 0
   Pender 17 17 9,917 6,928 0
   Perquimans 7 7 2,964 1,971 0
   Person 14 14 8,928 6,152 0
   Pitt 38 38 28,099 24,386 0
   Polk 10 10 4,846 3,516 0
   Randolph 40 40 37,109 12,575 0
   Richmond 16 16 7,604 8,229 0
   Robeson 41 41 15,471 17,172 0
   Rockingham 31 31 22,450 14,068 0
   Rowan 46 46 34,549 16,517 0
   Rutherford 24 24 16,190 8,106 0
   Sampson 23 23 12,374 9,389 0
   Scotland 10 10 5,097 6,330 0
   Stanly 24 24 17,744 7,567 0
   Stokes 20 20 13,404 5,702 0
   Surry 29 29 17,241 8,153 0
   Swain 5 5 2,591 2,416 0
   Transylvania 18 18 9,172 5,707 0
   Tyrrell 6 6 850 727 0
   Union 43 43 42,266 17,639 0
   Vance 16 16 6,870 8,749 0
   Wake 197 197 172,563 162,750 0
   Warren 14 14 2,737 4,973 0
   Washington 6 6 2,465 2,931 0
   Watauga 20 20 12,485 11,064 0
   Wayne 30 30 23,826 14,267 0
   Wilkes 29 29 18,935 7,783 0
   Wilson 25 25 16,287 13,924 0
   Yadkin 12 12 12,220 3,544 0
   Yancey 11 11 4,769 4,315 0
