County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;3;3;910;351;15;
Barnes;15;15;3519;2175;64;
Benson;8;8;1000;1195;26;
Billings;3;3;449;99;9;
Bottineau;15;15;2457;1163;33;
Bowman;4;4;1280;397;29;
Burke;6;6;807;334;13;
Burleigh;38;38;26370;11511;481;
Cass;59;59;39517;25927;732;
Cavalier;10;10;1530;882;28;
Dickey;3;3;1889;881;34;
Divide;6;6;748;483;25;
Dunn;11;11;1176;569;16;
Eddy;4;4;653;533;18;
Emmons;11;11;1449;608;43;
Foster;6;6;1215;518;20;
Golden Valley;5;5;715;194;6;
Grand Forks;43;43;17255;12611;347;
Grant;7;7;950;264;16;
Griggs;7;7;903;504;14;
Hettinger;3;3;1042;403;35;
Kidder;9;9;901;433;20;
LaMoure;9;9;1589;712;17;
Logan;5;5;844;265;15;
McHenry;8;8;1743;1028;36;
McIntosh;6;6;1253;437;24;
McKenzie;17;17;1884;840;14;
McLean;16;16;2995;1651;56;
Mercer;15;15;3277;1243;68;
Morton;18;18;8279;4041;191;
Mountrail;9;9;1520;1463;30;
Nelson;7;7;1107;778;26;
Oliver;7;7;789;309;15;
Pembina;14;14;2461;1320;53;
Pierce;9;9;1466;684;24;
Ramsey;8;8;2941;1884;58;
Ransom;6;6;1351;1197;40;
Renville;5;5;944;494;18;
Richland;18;18;5255;2820;94;
Rolette;5;5;1391;2559;66;
Sargent;5;5;1145;1017;28;
Sheridan;6;6;725;199;12;
Sioux;9;9;318;801;12;
Slope;6;6;345;89;5;
Stark;13;13;7195;3001;126;
Steele;5;5;584;614;7;
Stutsman;18;18;6495;3429;133;
Towner;3;3;754;606;25;
Traill;13;13;2539;1650;43;
Walsh;18;18;3189;1905;61;
Ward;32;32;16970;8223;276;
Wells;6;6;1651;858;35;
Williams;15;15;6264;2510;109;
