   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 3 3 910 351 15
   Barnes 15 15 3,519 2,175 64
   Benson 8 8 1,000 1,195 26
   Billings 3 3 449 99 9
   Bottineau 15 15 2,457 1,163 33
   Bowman 4 4 1,280 397 29
   Burke 6 6 807 334 13
   Burleigh 38 38 26,370 11,511 481
   Cass 59 59 39,517 25,927 732
   Cavalier 10 10 1,530 882 28
   Dickey 3 3 1,889 881 34
   Divide 6 6 748 483 25
   Dunn 11 11 1,176 569 16
   Eddy 4 4 653 533 18
   Emmons 11 11 1,449 608 43
   Foster 6 6 1,215 518 20
   Golden Valley 5 5 715 194 6
   Grand Forks 43 43 17,255 12,611 347
   Grant 7 7 950 264 16
   Griggs 7 7 903 504 14
   Hettinger 3 3 1,042 403 35
   Kidder 9 9 901 433 20
   LaMoure 9 9 1,589 712 17
   Logan 5 5 844 265 15
   McHenry 8 8 1,743 1,028 36
   McIntosh 6 6 1,253 437 24
   McKenzie 17 17 1,884 840 14
   McLean 16 16 2,995 1,651 56
   Mercer 15 15 3,277 1,243 68
   Morton 18 18 8,279 4,041 191
   Mountrail 9 9 1,520 1,463 30
   Nelson 7 7 1,107 778 26
   Oliver 7 7 789 309 15
   Pembina 14 14 2,461 1,320 53
   Pierce 9 9 1,466 684 24
   Ramsey 8 8 2,941 1,884 58
   Ransom 6 6 1,351 1,197 40
   Renville 5 5 944 494 18
   Richland 18 18 5,255 2,820 94
   Rolette 5 5 1,391 2,559 66
   Sargent 5 5 1,145 1,017 28
   Sheridan 6 6 725 199 12
   Sioux 9 9 318 801 12
   Slope 6 6 345 89 5
   Stark 13 13 7,195 3,001 126
   Steele 5 5 584 614 7
   Stutsman 18 18 6,495 3,429 133
   Towner 3 3 754 606 25
   Traill 13 13 2,539 1,650 43
   Walsh 18 18 3,189 1,905 61
   Ward 32 32 16,970 8,223 276
   Wells 6 6 1,651 858 35
   Williams 15 15 6,264 2,510 109
