County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;28;28;9119;3752;130;
Antelope;14;14;2739;610;26;
Arthur;1;1;238;24;2;
Banner;2;2;373;56;1;
Blaine;3;3;296;36;0;
Boone;9;9;2304;545;20;
Box Butte;10;10;3396;1657;55;
Boyd;3;3;904;223;5;
Brown;4;4;1417;266;13;
Buffalo;35;35;13888;4025;152;
Burt;11;11;2327;1260;23;
Butler;20;20;2994;1056;53;
Cass;30;30;7120;3310;72;
Cedar;20;20;3387;1083;43;
Chase;8;8;1597;280;5;
Cherry;21;21;2503;481;28;
Cheyenne;11;11;3719;870;31;
Clay;12;12;2501;738;30;
Colfax;10;10;2589;990;40;
Cuming;10;10;3305;964;29;
Custer;31;31;4518;1040;24;
Dakota;14;14;3446;2935;29;
Dawes;12;12;2715;1084;38;
Dawson;20;20;6025;1711;45;
Deuel;4;4;812;218;5;
Dixon;14;14;2015;934;22;
Dodge;32;32;10111;4924;112;
Douglas;342;342;100675;68415;1226;
Dundy;6;6;858;186;4;
Fillmore;13;13;2292;816;27;
Franklin;10;10;1277;412;11;
Frontier;8;8;1157;274;12;
Furnas;9;9;1941;491;16;
Gage;29;29;6541;3627;80;
Garden;5;5;970;201;9;
Garfield;2;2;805;196;12;
Gosper;4;4;890;222;5;
Grant;1;1;352;41;2;
Greeley;4;4;862;361;15;
Hall;38;38;14168;6064;193;
Hamilton;12;12;3724;1007;46;
Harlan;9;9;1454;396;21;
Hayes;3;3;524;66;2;
Hitchcock;6;6;1171;296;9;
Holt;24;24;4080;871;25;
Hooker;2;2;392;64;2;
Howard;8;8;2007;894;34;
Jefferson;11;11;2586;1347;29;
Johnson;8;8;1458;885;25;
Kearney;12;12;2604;706;27;
Keith;12;12;3290;736;24;
Keya Paha;5;5;441;96;5;
Kimball;6;6;1473;362;7;
Knox;19;19;3062;1086;38;
Lancaster;211;211;64897;48539;917;
Lincoln;28;28;10546;4665;118;
Logan;1;1;316;60;1;
Loup;1;1;310;68;3;
Madison;27;27;10809;2866;93;
McPherson;1;1;258;49;1;
Merrick;15;15;2770;833;30;
Morrill;10;10;1734;494;20;
Nance;6;6;1208;457;17;
Nemaha;13;13;2595;1066;30;
Nuckolls;9;9;1884;541;23;
Otoe;20;20;4967;2252;47;
Pawnee;7;7;979;477;5;
Perkins;7;7;1276;261;5;
Phelps;14;14;3798;825;18;
Pierce;8;8;2824;546;14;
Platte;31;31;10995;2609;105;
Polk;7;7;1886;454;20;
Red Willow;18;18;4063;1040;40;
Richardson;15;15;2903;1283;26;
Rock;5;5;743;130;8;
Saline;14;14;3031;2389;37;
Sarpy;80;80;42263;18361;314;
Saunders;19;19;6866;3090;82;
Scotts Bluff;30;30;10131;3747;88;
Seward;17;17;5257;2086;46;
Sheridan;9;9;2127;429;16;
Sherman;7;7;1065;536;19;
Sioux;2;2;657;123;3;
Stanton;9;9;2147;555;14;
Thayer;8;8;2043;751;18;
Thomas;3;3;378;60;4;
Thurston;10;10;1808;1115;17;
Valley;8;8;1692;562;15;
Washington;16;16;7009;2728;47;
Wayne;12;12;2971;1059;24;
Webster;5;5;1401;557;15;
Wheeler;2;2;366;81;5;
York;15;15;5381;1302;48;
