   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 28 28 9,119 3,752 130
   Antelope 14 14 2,739 610 26
   Arthur 1 1 238 24 2
   Banner 2 2 373 56 1
   Blaine 3 3 296 36 0
   Boone 9 9 2,304 545 20
   Box Butte 10 10 3,396 1,657 55
   Boyd 3 3 904 223 5
   Brown 4 4 1,417 266 13
   Buffalo 35 35 13,888 4,025 152
   Burt 11 11 2,327 1,260 23
   Butler 20 20 2,994 1,056 53
   Cass 30 30 7,120 3,310 72
   Cedar 20 20 3,387 1,083 43
   Chase 8 8 1,597 280 5
   Cherry 21 21 2,503 481 28
   Cheyenne 11 11 3,719 870 31
   Clay 12 12 2,501 738 30
   Colfax 10 10 2,589 990 40
   Cuming 10 10 3,305 964 29
   Custer 31 31 4,518 1,040 24
   Dakota 14 14 3,446 2,935 29
   Dawes 12 12 2,715 1,084 38
   Dawson 20 20 6,025 1,711 45
   Deuel 4 4 812 218 5
   Dixon 14 14 2,015 934 22
   Dodge 32 32 10,111 4,924 112
   Douglas 342 342 100,675 68,415 1,226
   Dundy 6 6 858 186 4
   Fillmore 13 13 2,292 816 27
   Franklin 10 10 1,277 412 11
   Frontier 8 8 1,157 274 12
   Furnas 9 9 1,941 491 16
   Gage 29 29 6,541 3,627 80
   Garden 5 5 970 201 9
   Garfield 2 2 805 196 12
   Gosper 4 4 890 222 5
   Grant 1 1 352 41 2
   Greeley 4 4 862 361 15
   Hall 38 38 14,168 6,064 193
   Hamilton 12 12 3,724 1,007 46
   Harlan 9 9 1,454 396 21
   Hayes 3 3 524 66 2
   Hitchcock 6 6 1,171 296 9
   Holt 24 24 4,080 871 25
   Hooker 2 2 392 64 2
   Howard 8 8 2,007 894 34
   Jefferson 11 11 2,586 1,347 29
   Johnson 8 8 1,458 885 25
   Kearney 12 12 2,604 706 27
   Keith 12 12 3,290 736 24
   Keya Paha 5 5 441 96 5
   Kimball 6 6 1,473 362 7
   Knox 19 19 3,062 1,086 38
   Lancaster 211 211 64,897 48,539 917
   Lincoln 28 28 10,546 4,665 118
   Logan 1 1 316 60 1
   Loup 1 1 310 68 3
   Madison 27 27 10,809 2,866 93
   McPherson 1 1 258 49 1
   Merrick 15 15 2,770 833 30
   Morrill 10 10 1,734 494 20
   Nance 6 6 1,208 457 17
   Nemaha 13 13 2,595 1,066 30
   Nuckolls 9 9 1,884 541 23
   Otoe 20 20 4,967 2,252 47
   Pawnee 7 7 979 477 5
   Perkins 7 7 1,276 261 5
   Phelps 14 14 3,798 825 18
   Pierce 8 8 2,824 546 14
   Platte 31 31 10,995 2,609 105
   Polk 7 7 1,886 454 20
   Red Willow 18 18 4,063 1,040 40
   Richardson 15 15 2,903 1,283 26
   Rock 5 5 743 130 8
   Saline 14 14 3,031 2,389 37
   Sarpy 80 80 42,263 18,361 314
   Saunders 19 19 6,866 3,090 82
   Scotts Bluff 30 30 10,131 3,747 88
   Seward 17 17 5,257 2,086 46
   Sheridan 9 9 2,127 429 16
   Sherman 7 7 1,065 536 19
   Sioux 2 2 657 123 3
   Stanton 9 9 2,147 555 14
   Thayer 8 8 2,043 751 18
   Thomas 3 3 378 60 4
   Thurston 10 10 1,808 1,115 17
   Valley 8 8 1,692 562 15
   Washington 16 16 7,009 2,728 47
   Wayne 12 12 2,971 1,059 24
   Webster 5 5 1,401 557 15
   Wheeler 2 2 366 81 5
   York 15 15 5,381 1,302 48
