County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Atlantic;158;158;46197;52181;535;
Bergen;557;557;178304;192827;1891;
Burlington;359;357;90112;103971;945;
Camden;331;331;76925;129918;894;
Cape May;131;131;26316;19614;241;
Cumberland;93;93;23186;26410;154;
Essex;567;566;80822;191999;1052;
Gloucester;237;237;59760;66476;734;
Hudson;452;416;55530;113603;831;
Hunterdon;113;113;39449;25727;484;
Mercer;265;264;53469;85682;771;
Middlesex;597;597;119436;156168;1701;
Monmouth;437;437;161693;131808;2005;
Morris;395;395;126761;90476;1154;
Ocean;346;346;143797;92621;1571;
Passaic;288;288;73568;91939;833;
Salem;45;45;15635;13650;165;
Somerset;277;277;67505;61550;739;
Sussex;107;106;42085;22282;480;
Union;443;443;77621;112542;980;
Warren;87;87;29323;17876;454;
