   County Total Precincts Precincts Reporting Bush Kerry Nader
   Atlantic 158 158 46,197 52,181 535
   Bergen 557 557 178,304 192,827 1,891
   Burlington 359 357 90,112 103,971 945
   Camden 331 331 76,925 129,918 894
   Cape May 131 131 26,316 19,614 241
   Cumberland 93 93 23,186 26,410 154
   Essex 567 566 80,822 191,999 1,052
   Gloucester 237 237 59,760 66,476 734
   Hudson 452 416 55,530 113,603 831
   Hunterdon 113 113 39,449 25,727 484
   Mercer 265 264 53,469 85,682 771
   Middlesex 597 597 119,436 156,168 1,701
   Monmouth 437 437 161,693 131,808 2,005
   Morris 395 395 126,761 90,476 1,154
   Ocean 346 346 143,797 92,621 1,571
   Passaic 288 288 73,568 91,939 833
   Salem 45 45 15,635 13,650 165
   Somerset 277 277 67,505 61,550 739
   Sussex 107 106 42,085 22,282 480
   Union 443 443 77,621 112,542 980
   Warren 87 87 29,323 17,876 454
