County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Bernalillo;413;412;119161;128531;1419;
Catron;9;9;1415;550;7;
Chaves;53;53;14748;6716;103;
Cibola;32;31;3428;3969;86;
Colfax;22;22;3080;2825;33;
Curry;40;40;10647;3536;57;
DeBaca;6;6;705;280;2;
Dona Ana;106;106;28710;30174;355;
Eddy;44;44;13240;6866;66;
Grant;38;38;5974;7020;81;
Guadalupe;7;7;914;1340;10;
Harding;4;4;380;259;4;
Hidalgo;8;8;1054;830;12;
Lea;47;47;14349;3615;45;
Lincoln;21;21;6079;2833;51;
Los Alamos;19;19;5810;5206;81;
Luna;16;16;4164;3340;48;
McKinley;68;68;7132;12725;97;
Mora;13;13;928;1876;9;
Otero;45;45;13935;6355;127;
Quay;15;15;2661;1422;25;
Rio Arriba;43;43;5136;9737;44;
Roosevelt;21;21;4954;2069;35;
San Juan;73;73;29371;14717;236;
San Miguel;32;32;3216;8435;67;
Sandoval;70;70;22482;21215;214;
Santa Fe;89;89;18315;46553;317;
Sierra;11;11;3135;1910;41;
Socorro;26;26;3677;3991;47;
Taos;37;37;3605;10772;103;
Torrance;17;17;4001;2373;40;
Union;11;11;1454;411;11;
Valencia;39;39;14355;11176;126;
