   County Total Precincts Precincts Reporting Bush Kerry Nader
   Bernalillo 413 412 119,161 128,531 1,419
   Catron 9 9 1,415 550 7
   Chaves 53 53 14,748 6,716 103
   Cibola 32 31 3,428 3,969 86
   Colfax 22 22 3,080 2,825 33
   Curry 40 40 10,647 3,536 57
   DeBaca 6 6 705 280 2
   Dona Ana 106 106 28,710 30,174 355
   Eddy 44 44 13,240 6,866 66
   Grant 38 38 5,974 7,020 81
   Guadalupe 7 7 914 1,340 10
   Harding 4 4 380 259 4
   Hidalgo 8 8 1,054 830 12
   Lea 47 47 14,349 3,615 45
   Lincoln 21 21 6,079 2,833 51
   Los Alamos 19 19 5,810 5,206 81
   Luna 16 16 4,164 3,340 48
   McKinley 68 68 7,132 12,725 97
   Mora 13 13 928 1,876 9
   Otero 45 45 13,935 6,355 127
   Quay 15 15 2,661 1,422 25
   Rio Arriba 43 43 5,136 9,737 44
   Roosevelt 21 21 4,954 2,069 35
   San Juan 73 73 29,371 14,717 236
   San Miguel 32 32 3,216 8,435 67
   Sandoval 70 70 22,482 21,215 214
   Santa Fe 89 89 18,315 46,553 317
   Sierra 11 11 3,135 1,910 41
   Socorro 26 26 3,677 3,991 47
   Taos 37 37 3,605 10,772 103
   Torrance 17 17 4,001 2,373 40
   Union 11 11 1,454 411 11
   Valencia 39 39 14,355 11,176 126
