County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Carson City;28;28;13164;9441;147;
Churchill;21;21;7335;2705;66;
Clark;1042;1042;253432;279575;3052;
Douglas;39;39;15192;8269;137;
Elko;42;42;11935;3047;85;
Esmeralda;5;5;367;98;4;
Eureka;4;4;571;144;8;
Humboldt;16;16;3896;1360;35;
Lander;11;11;1602;414;12;
Lincoln;6;6;1579;418;12;
Lyon;31;31;11136;5637;122;
Mineral;12;12;1336;931;26;
Nye;32;32;8498;5623;128;
Pershing;7;7;1341;538;17;
Storey;7;7;1253;871;17;
Washoe;489;489;79698;73219;879;
White Pine;10;10;2604;1082;38;
