   County Total Precincts Precincts Reporting Bush Kerry Nader
   Carson City 28 28 13,164 9,441 147
   Churchill 21 21 7,335 2,705 66
   Clark 1,042 1,042 253,432 279,575 3,052
   Douglas 39 39 15,192 8,269 137
   Elko 42 42 11,935 3,047 85
   Esmeralda 5 5 367 98 4
   Eureka 4 4 571 144 8
   Humboldt 16 16 3,896 1,360 35
   Lander 11 11 1,602 414 12
   Lincoln 6 6 1,579 418 12
   Lyon 31 31 11,136 5,637 122
   Mineral 12 12 1,336 931 26
   Nye 32 32 8,498 5,623 128
   Pershing 7 7 1,341 538 17
   Storey 7 7 1,253 871 17
   Washoe 489 489 79,698 73,219 879
   White Pine 10 10 2,604 1,082 38
