County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Albany;343;343;51297;81666;2618;
Allegany;40;40;11560;6067;305;
Bronx;975;975;52752;260438;2270;
Brooklyn;2030;2030;156612;468403;5216;
Broome;197;197;40207;42092;1644;
Cattaraugus;79;79;18665;12410;577;
Cayuga;65;65;15511;16157;702;
Chautauqua;134;134;29993;25459;1051;
Chemung;85;85;20639;16486;896;
Chenango;42;42;10751;8413;395;
Clinton;70;70;14095;16217;655;
Columbia;55;55;11237;14055;554;
Cortland;42;42;10708;9902;403;
Delaware;59;59;11558;7971;490;
Dutchess;254;254;59122;53034;1837;
Erie;985;962;171061;230986;8980;
Essex;39;39;8971;7855;371;
Franklin;49;49;7875;8674;324;
Fulton;50;50;11686;8486;390;
Genesee;53;53;15799;9615;410;
Greene;52;52;13641;9079;466;
Hamilton;11;11;2210;1075;53;
Herkimer;58;58;14894;10706;527;
Jefferson;91;91;19368;15305;728;
Lewis;30;30;6144;4273;197;
Livingston;57;57;17632;11244;622;
Madison;51;51;15345;11947;504;
Manhattan;1234;1234;95362;468841;7996;
Monroe;829;829;158856;166355;5186;
Montgomery;48;48;10645;8833;374;
Nassau;1142;1142;278727;312388;6020;
Niagara;181;181;43808;44072;1675;
Oneida;192;192;49256;37601;2038;
Onondaga;458;458;87694;107429;3537;
Ontario;92;92;26308;19585;754;
Orange;318;318;74397;58944;1806;
Orleans;40;40;9893;5570;249;
Oswego;120;120;24724;23202;976;
Otsego;57;57;12547;11474;482;
Putnam;85;85;25147;18067;499;
Queens;1494;1494;155363;393482;5135;
Rensselaer;134;134;32540;33195;1453;
Rockland;270;270;60627;59326;1828;
Saint Lawrence;102;101;16609;20814;726;
Saratoga;193;193;52798;45033;1822;
Schenectady;128;128;30113;33248;1161;
Schoharie;29;29;7892;5128;273;
Schuyler;17;17;4805;3309;159;
Seneca;27;27;7407;6420;293;
Staten Island;357;357;84270;62603;1238;
Steuben;84;84;25292;13318;664;
Suffolk;1038;1038;301710;303375;13251;
Sullivan;63;63;13930;13643;547;
Tioga;48;48;12869;8938;367;
Tompkins;70;70;12957;24589;936;
Ulster;164;164;36279;45402;1930;
Warren;69;69;15269;11879;556;
Washington;52;52;12947;9803;548;
Wayne;67;67;23250;14620;640;
Westchester;1022;1020;153426;218336;5544;
Wyoming;39;38;11086;5757;236;
Yates;20;20;5794;3772;159;
