   County Total Precincts Precincts Reporting Bush Kerry Nader
   Albany 343 343 51,297 81,666 2,618
   Allegany 40 40 11,560 6,067 305
   Bronx 975 975 52,752 260,438 2,270
   Brooklyn 2,030 2,030 156,612 468,403 5,216
   Broome 197 197 40,207 42,092 1,644
   Cattaraugus 79 79 18,665 12,410 577
   Cayuga 65 65 15,511 16,157 702
   Chautauqua 134 134 29,993 25,459 1,051
   Chemung 85 85 20,639 16,486 896
   Chenango 42 42 10,751 8,413 395
   Clinton 70 70 14,095 16,217 655
   Columbia 55 55 11,237 14,055 554
   Cortland 42 42 10,708 9,902 403
   Delaware 59 59 11,558 7,971 490
   Dutchess 254 254 59,122 53,034 1,837
   Erie 985 962 171,061 230,986 8,980
   Essex 39 39 8,971 7,855 371
   Franklin 49 49 7,875 8,674 324
   Fulton 50 50 11,686 8,486 390
   Genesee 53 53 15,799 9,615 410
   Greene 52 52 13,641 9,079 466
   Hamilton 11 11 2,210 1,075 53
   Herkimer 58 58 14,894 10,706 527
   Jefferson 91 91 19,368 15,305 728
   Lewis 30 30 6,144 4,273 197
   Livingston 57 57 17,632 11,244 622
   Madison 51 51 15,345 11,947 504
   Manhattan 1,234 1,234 95,362 468,841 7,996
   Monroe 829 829 158,856 166,355 5,186
   Montgomery 48 48 10,645 8,833 374
   Nassau 1,142 1,142 278,727 312,388 6,020
   Niagara 181 181 43,808 44,072 1,675
   Oneida 192 192 49,256 37,601 2,038
   Onondaga 458 458 87,694 107,429 3,537
   Ontario 92 92 26,308 19,585 754
   Orange 318 318 74,397 58,944 1,806
   Orleans 40 40 9,893 5,570 249
   Oswego 120 120 24,724 23,202 976
   Otsego 57 57 12,547 11,474 482
   Putnam 85 85 25,147 18,067 499
   Queens 1,494 1,494 155,363 393,482 5,135
   Rensselaer 134 134 32,540 33,195 1,453
   Rockland 270 270 60,627 59,326 1,828
   Saint Lawrence 102 101 16,609 20,814 726
   Saratoga 193 193 52,798 45,033 1,822
   Schenectady 128 128 30,113 33,248 1,161
   Schoharie 29 29 7,892 5,128 273
   Schuyler 17 17 4,805 3,309 159
   Seneca 27 27 7,407 6,420 293
   Staten Island 357 357 84,270 62,603 1,238
   Steuben 84 84 25,292 13,318 664
   Suffolk 1,038 1,038 301,710 303,375 13,251
   Sullivan 63 63 13,930 13,643 547
   Tioga 48 48 12,869 8,938 367
   Tompkins 70 70 12,957 24,589 936
   Ulster 164 164 36,279 45,402 1,930
   Warren 69 69 15,269 11,879 556
   Washington 52 52 12,947 9,803 548
   Wayne 67 67 23,250 14,620 640
   Westchester 1,022 1,020 153,426 218,336 5,544
   Wyoming 39 38 11,086 5,757 236
   Yates 20 20 5,794 3,772 159
