County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;35;35;7480;4189;0;
Allen;141;141;31629;15822;0;
Ashland;65;65;15826;8345;0;
Ashtabula;127;127;20621;23545;0;
Athens;85;85;9912;17369;0;
Auglaize;39;39;16437;5729;0;
Belmont;83;83;15275;17256;0;
Brown;35;35;12480;7058;0;
Butler;289;289;106735;54185;0;
Carroll;26;26;7531;6190;0;
Champaign;29;29;11432;6752;0;
Clark;100;100;34444;32824;0;
Clermont;191;191;61694;25318;0;
Clinton;32;32;12625;5244;0;
Columbiana;103;103;25212;22884;0;
Coshocton;43;43;9121;6763;0;
Crawford;46;46;13667;7626;0;
Cuyahoga;1437;1437;215624;433262;0;
Darke;43;43;17869;7663;0;
Defiance;42;42;11018;6683;0;
Delaware;123;123;52237;26491;0;
Erie;63;63;18019;20652;0;
Fairfield;118;118;42057;24321;0;
Fayette;38;38;7221;4244;0;
Franklin;825;825;234196;275573;0;
Fulton;35;35;13443;8098;0;
Gallia;35;35;8320;5188;0;
Geauga;96;96;29957;19571;0;
Greene;142;142;46841;29349;0;
Guernsey;37;37;9095;7072;0;
Hamilton;1018;1018;215639;190956;0;
Hancock;62;62;24345;9930;0;
Hardin;39;39;8187;4723;0;
Harrison;24;24;4318;3824;0;
Henry;33;33;9770;5027;0;
Highland;37;37;11871;6012;0;
Hocking;32;32;6821;6065;0;
Holmes;19;19;8299;2622;0;
Huron;59;59;14553;10354;0;
Jackson;38;38;8382;5519;0;
Jefferson;91;91;16887;18674;0;
Knox;56;56;16677;9613;0;
Lake;217;217;60615;57471;0;
Lawrence;84;84;15178;11874;0;
Licking;125;125;48092;29350;0;
Logan;52;52;14084;6644;0;
Lorain;242;242;59751;76512;0;
Lucas;495;495;85405;128874;0;
Madison;44;44;10931;6080;0;
Mahoning;312;312;47968;81500;0;
Marion;84;84;16729;11492;0;
Medina;149;149;47499;35725;0;
Meigs;27;27;6156;4334;0;
Mercer;39;39;15022;4924;0;
Miami;82;82;33039;17039;0;
Monroe;29;29;3370;4164;0;
Montgomery;589;589;134716;138262;0;
Morgan;22;22;3695;2810;0;
Morrow;36;36;10313;5651;0;
Muskingum;85;85;21901;16050;0;
Noble;27;27;3799;2618;0;
Ottawa;78;78;11820;10915;0;
Paulding;30;30;6074;3544;0;
Perry;46;46;7767;7205;0;
Pickaway;53;53;13864;8388;0;
Pike;24;24;6385;5865;0;
Portage;129;129;35054;39915;0;
Preble;45;45;13512;7165;0;
Putnam;35;35;14196;4348;0;
Richland;126;126;36253;24056;0;
Ross;76;76;16940;13701;0;
Sandusky;72;72;17824;13909;0;
Scioto;107;107;17938;16438;0;
Seneca;54;54;15624;10770;0;
Shelby;35;35;15825;6337;0;
Stark;364;364;89859;92295;0;
Summit;498;498;116184;152897;0;
Trumbull;274;274;40220;65321;0;
Tuscarawas;81;81;23359;18460;0;
Union;46;46;15593;6546;0;
Van Wert;39;39;10484;4026;0;
Vinton;20;20;3194;2612;0;
Warren;165;165;66523;25399;0;
Washington;56;56;17029;12137;0;
Wayne;97;97;31433;19455;0;
Williams;44;44;11633;6231;0;
Wood;105;105;32574;28216;0;
Wyandot;27;27;6956;3554;0;
