   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 35 35 7,480 4,189 0
   Allen 141 141 31,629 15,822 0
   Ashland 65 65 15,826 8,345 0
   Ashtabula 127 127 20,621 23,545 0
   Athens 85 85 9,912 17,369 0
   Auglaize 39 39 16,437 5,729 0
   Belmont 83 83 15,275 17,256 0
   Brown 35 35 12,480 7,058 0
   Butler 289 289 106,735 54,185 0
   Carroll 26 26 7,531 6,190 0
   Champaign 29 29 11,432 6,752 0
   Clark 100 100 34,444 32,824 0
   Clermont 191 191 61,694 25,318 0
   Clinton 32 32 12,625 5,244 0
   Columbiana 103 103 25,212 22,884 0
   Coshocton 43 43 9,121 6,763 0
   Crawford 46 46 13,667 7,626 0
   Cuyahoga 1,437 1,437 215,624 433,262 0
   Darke 43 43 17,869 7,663 0
   Defiance 42 42 11,018 6,683 0
   Delaware 123 123 52,237 26,491 0
   Erie 63 63 18,019 20,652 0
   Fairfield 118 118 42,057 24,321 0
   Fayette 38 38 7,221 4,244 0
   Franklin 825 825 234,196 275,573 0
   Fulton 35 35 13,443 8,098 0
   Gallia 35 35 8,320 5,188 0
   Geauga 96 96 29,957 19,571 0
   Greene 142 142 46,841 29,349 0
   Guernsey 37 37 9,095 7,072 0
   Hamilton 1,018 1,018 215,639 190,956 0
   Hancock 62 62 24,345 9,930 0
   Hardin 39 39 8,187 4,723 0
   Harrison 24 24 4,318 3,824 0
   Henry 33 33 9,770 5,027 0
   Highland 37 37 11,871 6,012 0
   Hocking 32 32 6,821 6,065 0
   Holmes 19 19 8,299 2,622 0
   Huron 59 59 14,553 10,354 0
   Jackson 38 38 8,382 5,519 0
   Jefferson 91 91 16,887 18,674 0
   Knox 56 56 16,677 9,613 0
   Lake 217 217 60,615 57,471 0
   Lawrence 84 84 15,178 11,874 0
   Licking 125 125 48,092 29,350 0
   Logan 52 52 14,084 6,644 0
   Lorain 242 242 59,751 76,512 0
   Lucas 495 495 85,405 128,874 0
   Madison 44 44 10,931 6,080 0
   Mahoning 312 312 47,968 81,500 0
   Marion 84 84 16,729 11,492 0
   Medina 149 149 47,499 35,725 0
   Meigs 27 27 6,156 4,334 0
   Mercer 39 39 15,022 4,924 0
   Miami 82 82 33,039 17,039 0
   Monroe 29 29 3,370 4,164 0
   Montgomery 589 589 134,716 138,262 0
   Morgan 22 22 3,695 2,810 0
   Morrow 36 36 10,313 5,651 0
   Muskingum 85 85 21,901 16,050 0
   Noble 27 27 3,799 2,618 0
   Ottawa 78 78 11,820 10,915 0
   Paulding 30 30 6,074 3,544 0
   Perry 46 46 7,767 7,205 0
   Pickaway 53 53 13,864 8,388 0
   Pike 24 24 6,385 5,865 0
   Portage 129 129 35,054 39,915 0
   Preble 45 45 13,512 7,165 0
   Putnam 35 35 14,196 4,348 0
   Richland 126 126 36,253 24,056 0
   Ross 76 76 16,940 13,701 0
   Sandusky 72 72 17,824 13,909 0
   Scioto 107 107 17,938 16,438 0
   Seneca 54 54 15,624 10,770 0
   Shelby 35 35 15,825 6,337 0
   Stark 364 364 89,859 92,295 0
   Summit 498 498 116,184 152,897 0
   Trumbull 274 274 40,220 65,321 0
   Tuscarawas 81 81 23,359 18,460 0
   Union 46 46 15,593 6,546 0
   Van Wert 39 39 10,484 4,026 0
   Vinton 20 20 3,194 2,612 0
   Warren 165 165 66,523 25,399 0
   Washington 56 56 17,029 12,137 0
   Wayne 97 97 31,433 19,455 0
   Williams 44 44 11,633 6,231 0
   Wood 105 105 32,574 28,216 0
   Wyandot 27 27 6,956 3,554 0
