County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adair;18;18;4971;2560;0;
Alfalfa;11;11;2201;470;0;
Atoka;15;15;3140;1946;0;
Beaver;9;9;2271;297;0;
Beckham;13;13;5454;1931;0;
Blaine;11;11;3199;1222;0;
Bryan;29;29;8614;5742;0;
Caddo;25;25;6491;3916;0;
Canadian;54;54;33297;9712;0;
Carter;28;28;12173;6464;0;
Cherokee;26;26;9563;8622;0;
Choctaw;18;18;3168;2639;0;
Cimarron;7;7;1242;184;0;
Cleveland;92;92;65704;33998;0;
Coal;12;12;1396;1203;0;
Comanche;43;43;21163;12020;0;
Cotton;12;12;1742;898;0;
Craig;17;17;3894;2504;0;
Creek;43;43;18845;9927;0;
Custer;13;13;7839;2801;0;
Delaware;22;22;10016;5591;0;
Dewey;11;11;1843;408;0;
Ellis;10;10;1685;395;0;
Garfield;34;34;17685;5586;0;
Garvin;24;24;7610;3706;0;
Grady;42;42;14129;5969;0;
Grant;10;10;1950;571;0;
Greer;16;16;1529;719;0;
Harmon;8;8;838;354;0;
Harper;9;9;1397;268;0;
Haskell;17;17;2946;2378;0;
Hughes;16;16;3066;2283;0;
Jackson;19;19;7024;2232;0;
Jefferson;11;11;1546;1057;0;
Johnston;13;13;2634;1711;0;
Kay;34;34;14121;5956;0;
Kingfisher;17;17;5629;1022;0;
Kiowa;14;14;2608;1413;0;
Latimer;13;13;2535;1945;0;
LeFlore;39;39;10681;6740;0;
Lincoln;23;23;10149;4041;0;
Logan;23;23;11467;4869;0;
Love;13;13;2295;1538;0;
Major;14;14;3122;537;0;
Marshall;12;12;3363;2088;0;
Mayes;26;26;9946;6933;0;
McClain;26;26;10038;3742;0;
McCurtain;32;32;7472;3684;0;
McIntosh;17;17;4692;4488;0;
Murray;13;13;3665;2310;0;
Muskogee;34;34;15121;12585;0;
Noble;17;17;3993;1335;0;
Nowata;12;12;2805;1659;0;
Okfuskee;16;16;2542;1743;0;
Oklahoma;303;303;174707;97283;0;
Okmulgee;39;39;8363;7367;0;
Osage;31;31;11467;8068;0;
Ottawa;22;22;7441;5084;0;
Pawnee;12;12;4412;2563;0;
Payne;40;40;19560;10101;0;
Pittsburg;50;50;11134;7452;0;
Pontotoc;26;26;9647;5165;0;
Pottawatomie;31;31;17212;8636;0;
Pushmataha;17;17;2862;1934;0;
Roger Mills;10;10;1388;382;0;
Rogers;34;34;24974;11917;0;
Seminole;16;16;5623;3648;0;
Sequoyah;33;33;8865;5910;0;
Stephens;29;29;13645;5514;0;
Texas;16;16;5449;1016;0;
Tillman;10;10;2273;1175;0;
Tulsa;268;268;163434;90204;0;
Wagoner;43;43;19081;9157;0;
Washington;24;24;16551;6862;0;
Washita;13;13;3705;1340;0;
Woods;8;8;3165;930;0;
Woodward;16;16;6188;1457;0;
