   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adair 18 18 4,971 2,560 0
   Alfalfa 11 11 2,201 470 0
   Atoka 15 15 3,140 1,946 0
   Beaver 9 9 2,271 297 0
   Beckham 13 13 5,454 1,931 0
   Blaine 11 11 3,199 1,222 0
   Bryan 29 29 8,614 5,742 0
   Caddo 25 25 6,491 3,916 0
   Canadian 54 54 33,297 9,712 0
   Carter 28 28 12,173 6,464 0
   Cherokee 26 26 9,563 8,622 0
   Choctaw 18 18 3,168 2,639 0
   Cimarron 7 7 1,242 184 0
   Cleveland 92 92 65,704 33,998 0
   Coal 12 12 1,396 1,203 0
   Comanche 43 43 21,163 12,020 0
   Cotton 12 12 1,742 898 0
   Craig 17 17 3,894 2,504 0
   Creek 43 43 18,845 9,927 0
   Custer 13 13 7,839 2,801 0
   Delaware 22 22 10,016 5,591 0
   Dewey 11 11 1,843 408 0
   Ellis 10 10 1,685 395 0
   Garfield 34 34 17,685 5,586 0
   Garvin 24 24 7,610 3,706 0
   Grady 42 42 14,129 5,969 0
   Grant 10 10 1,950 571 0
   Greer 16 16 1,529 719 0
   Harmon 8 8 838 354 0
   Harper 9 9 1,397 268 0
   Haskell 17 17 2,946 2,378 0
   Hughes 16 16 3,066 2,283 0
   Jackson 19 19 7,024 2,232 0
   Jefferson 11 11 1,546 1,057 0
   Johnston 13 13 2,634 1,711 0
   Kay 34 34 14,121 5,956 0
   Kingfisher 17 17 5,629 1,022 0
   Kiowa 14 14 2,608 1,413 0
   Latimer 13 13 2,535 1,945 0
   LeFlore 39 39 10,681 6,740 0
   Lincoln 23 23 10,149 4,041 0
   Logan 23 23 11,467 4,869 0
   Love 13 13 2,295 1,538 0
   Major 14 14 3,122 537 0
   Marshall 12 12 3,363 2,088 0
   Mayes 26 26 9,946 6,933 0
   McClain 26 26 10,038 3,742 0
   McCurtain 32 32 7,472 3,684 0
   McIntosh 17 17 4,692 4,488 0
   Murray 13 13 3,665 2,310 0
   Muskogee 34 34 15,121 12,585 0
   Noble 17 17 3,993 1,335 0
   Nowata 12 12 2,805 1,659 0
   Okfuskee 16 16 2,542 1,743 0
   Oklahoma 303 303 174,707 97,283 0
   Okmulgee 39 39 8,363 7,367 0
   Osage 31 31 11,467 8,068 0
   Ottawa 22 22 7,441 5,084 0
   Pawnee 12 12 4,412 2,563 0
   Payne 40 40 19,560 10,101 0
   Pittsburg 50 50 11,134 7,452 0
   Pontotoc 26 26 9,647 5,165 0
   Pottawatomie 31 31 17,212 8,636 0
   Pushmataha 17 17 2,862 1,934 0
   Roger Mills 10 10 1,388 382 0
   Rogers 34 34 24,974 11,917 0
   Seminole 16 16 5,623 3,648 0
   Sequoyah 33 33 8,865 5,910 0
   Stephens 29 29 13,645 5,514 0
   Texas 16 16 5,449 1,016 0
   Tillman 10 10 2,273 1,175 0
   Tulsa 268 268 163,434 90,204 0
   Wagoner 43 43 19,081 9,157 0
   Washington 24 24 16,551 6,862 0
   Washita 13 13 3,705 1,340 0
   Woods 8 8 3,165 930 0
   Woodward 16 16 6,188 1,457 0
