County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Baker;5;5;6155;2585;0;
Benton;24;24;18057;25877;0;
Clackamas;105;105;91399;88388;0;
Clatsop;11;11;8168;10116;0;
Columbia;13;13;11821;12488;0;
Coos;19;19;16164;12849;0;
Crook;6;6;6815;3016;0;
Curry;7;7;7302;5195;0;
Deschutes;41;41;41203;30721;0;
Douglas;31;31;35508;17924;0;
Gilliam;1;1;754;369;0;
Grant;2;2;2809;683;0;
Harney;2;2;2804;832;0;
Hood River;5;5;4089;5525;0;
Jackson;57;57;53035;41586;0;
Jefferson;5;5;4723;3202;0;
Josephine;26;26;25869;14959;0;
Klamath;18;18;22412;8158;0;
Lake;2;2;3033;800;0;
Lane;97;97;69289;99048;0;
Lincoln;13;13;9964;13460;0;
Linn;28;28;30461;19376;0;
Malheur;6;6;8077;2552;0;
Marion;69;69;62682;51432;0;
Morrow;2;2;2719;1355;0;
Multnomah;199;199;93219;245733;0;
Polk;20;20;19140;15175;0;
Sherman;1;1;690;389;0;
Tillamook;8;8;6834;6576;0;
Umatilla;16;16;16789;8738;0;
Union;8;8;8730;4346;0;
Wallowa;2;2;3122;1265;0;
Wasco;7;7;5988;5557;0;
Washington;124;124;101324;113921;0;
Wheeler;1;1;610;244;0;
Yamhill;23;23;21452;16258;0;
