   County Total Precincts Precincts Reporting Bush Kerry Nader
   Baker 5 5 6,155 2,585 0
   Benton 24 24 18,057 25,877 0
   Clackamas 105 105 91,399 88,388 0
   Clatsop 11 11 8,168 10,116 0
   Columbia 13 13 11,821 12,488 0
   Coos 19 19 16,164 12,849 0
   Crook 6 6 6,815 3,016 0
   Curry 7 7 7,302 5,195 0
   Deschutes 41 41 41,203 30,721 0
   Douglas 31 31 35,508 17,924 0
   Gilliam 1 1 754 369 0
   Grant 2 2 2,809 683 0
   Harney 2 2 2,804 832 0
   Hood River 5 5 4,089 5,525 0
   Jackson 57 57 53,035 41,586 0
   Jefferson 5 5 4,723 3,202 0
   Josephine 26 26 25,869 14,959 0
   Klamath 18 18 22,412 8,158 0
   Lake 2 2 3,033 800 0
   Lane 97 97 69,289 99,048 0
   Lincoln 13 13 9,964 13,460 0
   Linn 28 28 30,461 19,376 0
   Malheur 6 6 8,077 2,552 0
   Marion 69 69 62,682 51,432 0
   Morrow 2 2 2,719 1,355 0
   Multnomah 199 199 93,219 245,733 0
   Polk 20 20 19,140 15,175 0
   Sherman 1 1 690 389 0
   Tillamook 8 8 6,834 6,576 0
   Umatilla 16 16 16,789 8,738 0
   Union 8 8 8,730 4,346 0
   Wallowa 2 2 3,122 1,265 0
   Wasco 7 7 5,988 5,557 0
   Washington 124 124 101,324 113,921 0
   Wheeler 1 1 610 244 0
   Yamhill 23 23 21,452 16,258 0
