County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;51;51;27883;13600;0;
Allegheny;1307;1307;268387;363674;0;
Armstrong;74;74;18871;11999;0;
Beaver;130;130;39705;41874;0;
Bedford;41;41;16586;6007;0;
Berks;180;180;82486;72499;0;
Blair;97;97;35422;17972;0;
Bradford;61;61;16753;8420;0;
Bucks;298;298;153424;162220;0;
Butler;82;82;54654;29913;0;
Cambria;165;165;33837;32397;0;
Cameron;10;10;1599;794;0;
Carbon;47;47;12458;12169;0;
Centre;85;85;32789;30396;0;
Chester;220;220;119106;108670;0;
Clarion;41;41;10546;5830;0;
Clearfield;71;71;20458;13471;0;
Clinton;37;37;7991;5802;0;
Columbia;57;57;15914;10598;0;
Crawford;67;67;21785;15856;0;
Cumberland;96;96;67175;37577;0;
Dauphin;159;159;64816;54653;0;
Delaware;410;410;116728;157531;0;
Elk;33;33;7813;6578;0;
Erie;153;153;56895;67067;0;
Fayette;105;105;24484;28289;0;
Forest;9;9;1511;953;0;
Franklin;75;75;40764;16127;0;
Fulton;13;13;4731;1461;0;
Greene;44;44;7766;7649;0;
Huntingdon;58;58;12124;5878;0;
Indiana;68;68;20116;15734;0;
Jefferson;52;52;13242;6021;0;
Juniata;20;20;7063;2759;0;
Lackawanna;239;239;44562;59305;0;
Lancaster;225;225;144291;73395;0;
Lawrence;106;106;21542;21131;0;
Lebanon;55;55;36796;17917;0;
Lehigh;145;145;70474;73747;0;
Luzerne;316;316;64751;68665;0;
Lycoming;86;86;33476;15784;0;
McKean;42;42;10780;6193;0;
Mercer;100;100;24545;22761;0;
Mifflin;30;30;11628;4878;0;
Monroe;50;50;27708;27674;0;
Montgomery;407;407;172206;217342;0;
Montour;15;15;4867;2634;0;
Northampton;149;149;61636;62974;0;
Northumberland;94;94;22124;14517;0;
Perry;33;33;13885;5408;0;
Philadelphia;1681;1667;125184;522812;0;
Pike;16;16;12328;8577;0;
Potter;33;33;5602;2244;0;
Schuylkill;167;167;35449;29091;0;
Snyder;25;25;10521;4319;0;
Somerset;68;68;23686;12802;0;
Sullivan;15;15;2018;1201;0;
Susquehanna;43;43;11420;7237;0;
Tioga;44;44;11849;5341;0;
Union;27;27;10288;5665;0;
Venango;49;49;14213;8886;0;
Warren;33;33;10971;8035;0;
Washington;184;184;46944;47357;0;
Wayne;37;37;13596;7995;0;
Westmoreland;306;306;98792;76966;0;
Wyoming;30;30;7726;4914;0;
York;159;159;114621;63628;0;
